date_q,investor,issuer,asset_class,asset_class_code,censored,position_residency,restatement_nat,restatement_uw,restatement_nat_uw
2014q4,AUT,ABW,Debt (All),B,0,.005,.005,.0050099689127553,.0050099689127553
2014q4,AUT,ABW,Equity (All),EF,0,0,0,0,0
2014q4,AUT,AFG,Debt (All),B,0,0,0,0,0
2014q4,AUT,AFG,Equity (All),EF,0,0,0,0,0
2014q4,AUT,AGO,Debt (All),B,0,0,.003161546,.0001235920963504,.0044995835018654
2014q4,AUT,AGO,Equity (All),EF,0,0,9.92366573334e-06,0,9.92366573334e-06
2014q4,AUT,AIA,Debt (All),B,0,0,0,0,0
2014q4,AUT,AIA,Equity (All),EF,0,0,0,0,0
2014q4,AUT,ALB,Debt (All),B,0,.0020000000078125,.0020000000078125,.0019630196764724,.0019630196764724
2014q4,AUT,ALB,Equity (All),EF,0,0,0,0,0
2014q4,AUT,AND,Debt (All),B,0,0,0,0,0
2014q4,AUT,AND,Equity (All),EF,0,0,0,0,0
2014q4,AUT,ANT,Debt (All),B,0,0,0,0,0
2014q4,AUT,ANT,Equity (All),EF,0,0,0,0,0
2014q4,AUT,ARE,Debt (All),B,0,.2679999982082519,.4102115890849609,.2799989638725281,.4387743298882023
2014q4,AUT,ARE,Equity (All),EF,0,.0020000000040588,.0046109763559757,.0162218483351572,.033083881034641
2014q4,AUT,ARG,Debt (All),B,0,.0979999979178311,.1001149222850186,.1189787527675669,.1219443891745522
2014q4,AUT,ARG,Equity (All),EF,0,.0030000001131032,.0077542446782181,.0066435842112048,.0178907563914093
2014q4,AUT,ARM,Debt (All),B,0,.001,.001,.0024394986793778,.0024395029933844
2014q4,AUT,ARM,Equity (All),EF,0,0,0,0,0
2014q4,AUT,ASM,Debt (All),B,0,0,0,0,0
2014q4,AUT,ASM,Equity (All),EF,0,0,0,0,0
2014q4,AUT,ATF,Debt (All),B,0,0,0,0,0
2014q4,AUT,ATF,Equity (All),EF,0,0,0,0,0
2014q4,AUT,ATG,Debt (All),B,0,0,.007073641112793,0,.007073641112793
2014q4,AUT,ATG,Equity (All),EF,0,0,0,.0000920581509666,0
2014q4,AUT,AUS,Debt (All),B,0,1.97099995402285,2.221639769159798,2.06728935247973,2.312060540374437
2014q4,AUT,AUS,Equity (All),EF,0,.2040000070523287,.2491478890134684,.4750361192464681,.5303382260502377
2014q4,AUT,AUT,Debt (All),B,0,174.2848250787001,160.6281299603765,174.0472842170425,160.4130450051575
2014q4,AUT,AUT,Equity (All),EF,0,193.8780618603666,190.1791042971473,194.9469002683664,190.1701164697753
2014q4,AUT,AZE,Debt (All),B,0,.0150000008125,.0150000008125,.0201497811466115,.0202126578439325
2014q4,AUT,AZE,Equity (All),EF,0,0,.0002722681196289,0,.0002697706391096
2014q4,AUT,BDI,Debt (All),B,0,.001,.001,.0010535962333536,.0010535962333536
2014q4,AUT,BDI,Equity (All),EF,0,0,0,0,0
2014q4,AUT,BEL,Debt (All),B,0,5.527999976145264,10.60604821075391,5.652896911744013,10.78557715933887
2014q4,AUT,BEL,Equity (All),EF,0,.2979999932581304,.3123300079042013,.4022727470251293,.4693831188048564
2014q4,AUT,BEN,Debt (All),B,0,0,0,0,0
2014q4,AUT,BEN,Equity (All),EF,0,0,0,0,1.11059639728e-06
2014q4,AUT,BES,Debt (All),B,0,0,0,0,0
2014q4,AUT,BES,Equity (All),EF,0,0,0,0,0
2014q4,AUT,BFA,Debt (All),B,0,0,0,0,0
2014q4,AUT,BFA,Equity (All),EF,0,0,0,0,0
2014q4,AUT,BGD,Debt (All),B,0,0,0,.0005448234497604,9.21949414063e-06
2014q4,AUT,BGD,Equity (All),EF,0,0,0,.0037321566851846,.0013365576019971
2014q4,AUT,BGR,Debt (All),B,0,.3179999984160156,.3179999981699219,.3132367579862863,.3132367579861714
2014q4,AUT,BGR,Equity (All),EF,0,.001000000061913,.0010000000547369,.0009917662813839,.0009917662742078
2014q4,AUT,BHR,Debt (All),B,0,.0150000008828125,.0125875366328125,.0198236461706659,.0146952086870601
2014q4,AUT,BHR,Equity (All),EF,0,0,0,3.52568515778e-07,.0000255838058891
2014q4,AUT,BHS,Debt (All),B,0,.0410000017866211,.0281111166220703,.0443602210855544,.03723961734234
2014q4,AUT,BHS,Equity (All),EF,0,.0069999997390752,.0139734074841924,.0069053090560642,.0169924036246503
2014q4,AUT,BIH,Debt (All),B,0,0,0,.0006076393048075,.0006076393048075
2014q4,AUT,BIH,Equity (All),EF,0,.0050000003776414,.0027125064353445,.0050002354221799,.0027128535196779
2014q4,AUT,BLR,Debt (All),B,0,.0069999993046875,.0069999993046875,.0097249467721558,.0097249467721558
2014q4,AUT,BLR,Equity (All),EF,0,0,0,0,0
2014q4,AUT,BLZ,Debt (All),B,0,.0019999999709473,.0019999999709473,.0024654558916016,.0024654558916016
2014q4,AUT,BLZ,Equity (All),EF,0,0,0,9.81568932533e-09,0
2014q4,AUT,BMU,Debt (All),B,0,.0660000020281906,.230886898849968,.1096429536205122,.2544854436522867
2014q4,AUT,BMU,Equity (All),EF,0,.1150000017116199,.0504650007600355,.2825387604337059,.138866656162317
2014q4,AUT,BOL,Debt (All),B,0,.003999999875,.003999999875,.0045583604801528,.0045583604801528
2014q4,AUT,BOL,Equity (All),EF,0,0,.0000513586895752,0,.0000513586895752
2014q4,AUT,BRA,Debt (All),B,0,.3839999925351715,.7568314986681599,.5260702547474345,.9626598501497811
2014q4,AUT,BRA,Equity (All),EF,0,.108000004814593,.1061394102275721,.3164123834132702,.2831409919908692
2014q4,AUT,BRB,Debt (All),B,0,.0109999993125,.0106338550625,.0145997744703027,.0105970834035695
2014q4,AUT,BRB,Equity (All),EF,0,0,0,0,0
2014q4,AUT,BRN,Debt (All),B,0,0,0,0,0
2014q4,AUT,BRN,Equity (All),EF,0,0,0,0,0
2014q4,AUT,BTN,Debt (All),B,0,0,0,0,0
2014q4,AUT,BTN,Equity (All),EF,0,0,0,0,0
2014q4,AUT,BWA,Debt (All),B,0,0,0,0,0
2014q4,AUT,BWA,Equity (All),EF,0,0,0,.0005288231325936,.0005282950678353
2014q4,AUT,CAF,Debt (All),B,0,0,0,0,0
2014q4,AUT,CAF,Equity (All),EF,0,0,0,0,0
2014q4,AUT,CAN,Debt (All),B,0,1.2709999840896,1.162187243195435,1.372644754087518,1.262559154452697
2014q4,AUT,CAN,Equity (All),EF,0,.5719999957859894,.5924650583729345,.9773940706579445,1.049125863967234
2014q4,AUT,CCK,Debt (All),B,0,0,0,0,0
2014q4,AUT,CCK,Equity (All),EF,0,0,0,0,0
2014q4,AUT,CHE,Debt (All),B,0,.6689999736635437,3.90973857689135,.7782276843463791,3.999166781569127
2014q4,AUT,CHE,Equity (All),EF,0,3.219000125971653,3.228917949700826,3.938042485621784,4.010026328098995
2014q4,AUT,CHL,Debt (All),B,0,.2419999974746094,.2249672144433594,.2695243105623527,.2502164305852806
2014q4,AUT,CHL,Equity (All),EF,0,.0049999998153076,.0034283286622429,.0241953630627613,.0163945696028856
2014q4,AUT,CHN,Debt (All),B,0,.030000000171875,.5765140165834961,.0591187265959057,.7389722642027043
2014q4,AUT,CHN,Equity (All),EF,0,.3570000191711731,.7384677240834351,.7074152286567619,1.427283917925901
2014q4,AUT,CIV,Debt (All),B,0,.011000000625,.011000000625,.020823549754977,.020823549754977
2014q4,AUT,CIV,Equity (All),EF,0,0,1.33176525879e-06,0,1.33281311035e-06
2014q4,AUT,CMR,Debt (All),B,0,0,0,-.0000113104092331,-.0000113104092331
2014q4,AUT,CMR,Equity (All),EF,0,0,0,0,0
2014q4,AUT,COD,Debt (All),B,0,0,0,0,0
2014q4,AUT,COD,Equity (All),EF,0,0,0,0,0
2014q4,AUT,COG,Debt (All),B,0,0,0,.0000598827936788,.0000598827936788
2014q4,AUT,COG,Equity (All),EF,0,0,0,0,0
2014q4,AUT,COK,Debt (All),B,0,0,0,0,.0002950568949476
2014q4,AUT,COK,Equity (All),EF,0,0,.0008245514335937,0,.0038968482923699
2014q4,AUT,COL,Debt (All),B,0,.0910000004829102,.0963618426391602,.1575390416690585,.1649867395404699
2014q4,AUT,COL,Equity (All),EF,0,.0030000000234375,.0030008419842882,.0103162559213441,.0094591384926709
2014q4,AUT,COM,Debt (All),B,0,0,0,0,0
2014q4,AUT,COM,Equity (All),EF,0,0,0,0,0
2014q4,AUT,CPV,Debt (All),B,0,0,0,0,0
2014q4,AUT,CPV,Equity (All),EF,0,0,0,0,0
2014q4,AUT,CRI,Debt (All),B,0,.01800000034375,.01589583728125,.0288817727191476,.0254559768224325
2014q4,AUT,CRI,Equity (All),EF,0,0,0,0,0
2014q4,AUT,CUB,Debt (All),B,0,0,0,0,0
2014q4,AUT,CUB,Equity (All),EF,0,0,0,0,0
2014q4,AUT,CUW,Debt (All),B,0,.1199999991840298,.005185626,.0798165786320817,.005185626
2014q4,AUT,CUW,Equity (All),EF,0,.0460000029946289,.000350792734375,.0724347883081055,.000350792734375
2014q4,AUT,CXR,Debt (All),B,0,0,0,0,0
2014q4,AUT,CXR,Equity (All),EF,0,0,0,0,0
2014q4,AUT,CYM,Debt (All),B,0,1.783000022885845,.6341581213607941,1.953670508270643,.6460114447495455
2014q4,AUT,CYM,Equity (All),EF,0,.6969996906195601,.4804786378074262,1.07644183708464,.4877734865290212
2014q4,AUT,CYP,Debt (All),B,0,.0570000007358398,.0812612046577148,.065173421322006,.0887873470640897
2014q4,AUT,CYP,Equity (All),EF,0,.0040000000488491,.0155570110475508,.0125642503511821,.0176514225914982
2014q4,AUT,CZE,Debt (All),B,0,2.440635774382324,2.244813904669434,2.424724145255191,2.221087498104797
2014q4,AUT,CZE,Equity (All),EF,0,.0390000005726209,.0227754315583386,.0401880625297732,.0240191436557879
2014q4,AUT,DEU,Debt (All),B,0,25.88395363517884,29.53400844344839,26.06050328036475,31.10586445538662
2014q4,AUT,DEU,Equity (All),EF,0,13.65555207018244,14.72147395647722,11.21998422414705,11.973588593883
2014q4,AUT,DJI,Debt (All),B,0,0,0,0,0
2014q4,AUT,DJI,Equity (All),EF,0,0,0,0,0
2014q4,AUT,DMA,Debt (All),B,0,0,0,0,0
2014q4,AUT,DMA,Equity (All),EF,0,0,0,0,0
2014q4,AUT,DNK,Debt (All),B,0,1.676000024604501,1.731443804701913,1.659956863420005,1.719176971686331
2014q4,AUT,DNK,Equity (All),EF,0,.2059999999023743,.2063887397895508,.4570473968124243,.4624491438671608
2014q4,AUT,DOM,Debt (All),B,0,.0129999998125,.013217022140625,.0305904068968825,.0344573972904439
2014q4,AUT,DOM,Equity (All),EF,0,0,1.85258996582e-06,0,2.92526304626e-06
2014q4,AUT,DZA,Debt (All),B,0,0,0,0,0
2014q4,AUT,DZA,Equity (All),EF,0,0,0,0,0
2014q4,AUT,ECU,Debt (All),B,0,.0079999998438721,.0079999998438721,.018304745350872,.018304745350872
2014q4,AUT,ECU,Equity (All),EF,0,0,0,0,0
2014q4,AUT,EGY,Debt (All),B,0,.0020000000078125,.0026354611953125,.0052375197218806,.0056069639885527
2014q4,AUT,EGY,Equity (All),EF,0,.0010000000380859,.0007805093381348,.0121755700516055,.007161386243516
2014q4,AUT,ERI,Debt (All),B,0,0,0,0,0
2014q4,AUT,ERI,Equity (All),EF,0,0,0,0,0
2014q4,AUT,ESH,Debt (All),B,0,0,0,0,0
2014q4,AUT,ESH,Equity (All),EF,0,0,0,0,0
2014q4,AUT,ESP,Debt (All),B,0,7.589999842738114,8.602724405319901,8.16191576837257,9.219906472344393
2014q4,AUT,ESP,Equity (All),EF,0,.4570000076078549,.4547258332949115,.8662123421027231,.8836840577861
2014q4,AUT,EST,Debt (All),B,0,.0500000004296875,.1722834094135742,.0488316008495617,.1735840831114868
2014q4,AUT,EST,Equity (All),EF,0,.0009999999787254,.0010002808105125,.0011536631730072,.0011467004770301
2014q4,AUT,ETH,Debt (All),B,0,.000999999921875,.000999999921875,.0048129193582529,.0048129193582529
2014q4,AUT,ETH,Equity (All),EF,0,0,0,0,0
2014q4,AUT,FIN,Debt (All),B,0,3.040000037045166,3.099003736187012,3.098655892735843,3.146335996402776
2014q4,AUT,FIN,Equity (All),EF,0,.2169999980239072,.2425663867106595,.3449390069706341,.3890821634677284
2014q4,AUT,FJI,Debt (All),B,0,0,0,.0022848111724648,.0022848111724648
2014q4,AUT,FJI,Equity (All),EF,0,0,0,0,0
2014q4,AUT,FRA,Debt (All),B,0,21.45199863227067,20.63627811709122,22.32709766791801,21.46215673719577
2014q4,AUT,FRA,Equity (All),EF,0,4.053942265113799,4.064008206172314,2.840776603414176,2.853673995596701
2014q4,AUT,FRO,Debt (All),B,0,0,0,0,0
2014q4,AUT,FRO,Equity (All),EF,0,.0009999999511719,.0010048469565201,.0023364533537101,.0023910582889892
2014q4,AUT,FSM,Debt (All),B,0,0,0,0,0
2014q4,AUT,FSM,Equity (All),EF,0,0,0,0,0
2014q4,AUT,GAB,Debt (All),B,0,.00400000003125,.00400000003125,.0077801435738043,.0077801435738043
2014q4,AUT,GAB,Equity (All),EF,0,0,0,.0000936926518335,0
2014q4,AUT,GBR,Debt (All),B,0,10.90700005912908,9.123419605654542,11.38692331445048,9.634944359427754
2014q4,AUT,GBR,Equity (All),EF,0,3.272999524315778,4.484926210225059,3.205883400530614,4.676450285872036
2014q4,AUT,GEO,Debt (All),B,0,.0100000000625,.0078934403125,.0113730620302534,.0091105109886732
2014q4,AUT,GEO,Equity (All),EF,0,0,0,.000505402219471,0
2014q4,AUT,GGY,Debt (All),B,0,.3229999922851562,.0034931885078125,.3326684678786591,.0034931885078125
2014q4,AUT,GGY,Equity (All),EF,0,.0459999982510061,.0275347254825735,.0518327152254259,.0303246113667202
2014q4,AUT,GHA,Debt (All),B,0,.038000001,.038000001,.0515422541137004,.0528980910067668
2014q4,AUT,GHA,Equity (All),EF,0,0,0,.0000596761252303,.0000552460882125
2014q4,AUT,GIB,Debt (All),B,0,.0009999999736328,.0032896484979248,0,.0056382825834122
2014q4,AUT,GIB,Equity (All),EF,0,.1499999964487305,.0027805239665527,.1510679446187124,.0088195949919607
2014q4,AUT,GIN,Debt (All),B,0,0,0,0,0
2014q4,AUT,GIN,Equity (All),EF,0,0,0,0,0
2014q4,AUT,GLP,Debt (All),B,0,0,0,0,0
2014q4,AUT,GLP,Equity (All),EF,0,0,0,0,0
2014q4,AUT,GMB,Debt (All),B,0,0,0,0,0
2014q4,AUT,GMB,Equity (All),EF,0,0,0,0,0
2014q4,AUT,GNB,Debt (All),B,0,0,0,0,0
2014q4,AUT,GNB,Equity (All),EF,0,0,0,0,0
2014q4,AUT,GNQ,Debt (All),B,0,0,0,0,0
2014q4,AUT,GNQ,Equity (All),EF,0,0,0,0,0
2014q4,AUT,GRC,Debt (All),B,0,.0729999995500488,.0847699789777832,.0864943293378228,.1030266116145422
2014q4,AUT,GRC,Equity (All),EF,0,.05699999769679,.0415095832744286,.068697533691443,.049698318045179
2014q4,AUT,GRD,Debt (All),B,0,0,0,1.61491000202e-06,1.61491000202e-06
2014q4,AUT,GRD,Equity (All),EF,0,0,0,0,0
2014q4,AUT,GRL,Debt (All),B,0,0,0,0,0
2014q4,AUT,GRL,Equity (All),EF,0,0,0,1.76019577026e-07,1.76019577026e-07
2014q4,AUT,GTM,Debt (All),B,0,.01100000059375,.01253849778125,.011472854391254,.0169860687175228
2014q4,AUT,GTM,Equity (All),EF,0,0,0,0,0
2014q4,AUT,GUF,Debt (All),B,0,0,0,0,0
2014q4,AUT,GUF,Equity (All),EF,0,0,0,0,0
2014q4,AUT,GUM,Debt (All),B,0,0,0,5.27143534966e-08,5.27341874588e-08
2014q4,AUT,GUM,Equity (All),EF,0,0,0,0,0
2014q4,AUT,GUY,Debt (All),B,0,0,0,0,0
2014q4,AUT,GUY,Equity (All),EF,0,0,0,0,0
2014q4,AUT,HKG,Debt (All),B,0,.1039999995947266,.3550479177058106,.1481575703004976,.4092410123680493
2014q4,AUT,HKG,Equity (All),EF,0,.2859999994039805,.2619501489347086,.5895978237359395,.6072911749374769
2014q4,AUT,HND,Debt (All),B,0,.00199999996875,.00199999996875,.0064826513415375,.0064826513415375
2014q4,AUT,HND,Equity (All),EF,0,0,0,0,0
2014q4,AUT,HRV,Debt (All),B,0,.5148117501812745,.5062171954727783,.530900390521452,.5224798622420289
2014q4,AUT,HRV,Equity (All),EF,0,.0539999986624972,.0022158590738474,.0535328247126246,.0018057497122417
2014q4,AUT,HTI,Debt (All),B,0,0,0,0,0
2014q4,AUT,HTI,Equity (All),EF,0,0,0,0,0
2014q4,AUT,HUN,Debt (All),B,0,1.303661394086409,1.311633973305159,1.362904700581436,1.370495519206266
2014q4,AUT,HUN,Equity (All),EF,0,.03599996549991,.0349943904861771,.0387323567899504,.0377764197150036
2014q4,AUT,IDN,Debt (All),B,0,.2089999948847656,.2266048303095703,.2839372216250024,.3171139975471323
2014q4,AUT,IDN,Equity (All),EF,0,.0609999987154019,.0522101130564941,.1627452906487458,.1244394645072219
2014q4,AUT,IMN,Debt (All),B,0,.002000000059082,0,.0069128867330185,0
2014q4,AUT,IMN,Equity (All),EF,0,.0039999998809744,1.79740039063e-06,.0062212149540861,.0001701582757307
2014q4,AUT,IND,Debt (All),B,0,.063000002203125,.1986478770342541,.0984628678347563,.2612091631513608
2014q4,AUT,IND,Equity (All),EF,0,.2560000041259355,.2295206670954442,.7304867122283674,.6742452669155817
2014q4,AUT,IOT,Debt (All),B,0,0,0,0,0
2014q4,AUT,IOT,Equity (All),EF,0,0,0,0,0
2014q4,AUT,IRL,Debt (All),B,0,5.639999799246836,3.426409615517813,5.734936223349967,3.504759761191053
2014q4,AUT,IRL,Equity (All),EF,0,6.44099753663402,6.409963835675058,.5784598880822399,.352596439298596
2014q4,AUT,IRN,Debt (All),B,0,0,0,0,0
2014q4,AUT,IRN,Equity (All),EF,0,0,0,0,0
2014q4,AUT,IRQ,Debt (All),B,0,.004,.004,.008401666573797,.008401666573797
2014q4,AUT,IRQ,Equity (All),EF,0,0,0,0,0
2014q4,AUT,ISL,Debt (All),B,0,.1609999950546942,.1609847093945379,.1705609092720903,.1705447645952317
2014q4,AUT,ISL,Equity (All),EF,0,.0009999999924316,0,.0011318244989572,0
2014q4,AUT,ISR,Debt (All),B,0,.2029999971640625,.3153541490820312,.2219312964283469,.3290361523156166
2014q4,AUT,ISR,Equity (All),EF,0,.0509999999277704,.1731066692201316,.1033184162774075,.2234948560064294
2014q4,AUT,ITA,Debt (All),B,0,16.42400017292866,29.64227923913604,17.20536706029837,30.4600660618654
2014q4,AUT,ITA,Equity (All),EF,0,.6140000141965501,1.042524245294642,.9531184666037369,1.364296904192994
2014q4,AUT,JAM,Debt (All),B,0,.00600000028125,.00600000028125,.0109509130943637,.0109509130943637
2014q4,AUT,JAM,Equity (All),EF,0,0,6.30291426182e-07,0,6.30291426182e-07
2014q4,AUT,JEY,Debt (All),B,0,1.434999953951125,.1156418571768236,1.484977483054181,.137055245892216
2014q4,AUT,JEY,Equity (All),EF,0,.3049999914749298,.0437256537626648,.4515599707947318,.0439641931009492
2014q4,AUT,JOR,Debt (All),B,0,0,0,.0002220530392776,.0002220530392776
2014q4,AUT,JOR,Equity (All),EF,0,0,0,.0002125416726649,.0007197801496165
2014q4,AUT,JPN,Debt (All),B,0,.2839999945649414,.529592930870503,.6656314711772466,.9233163506633525
2014q4,AUT,JPN,Equity (All),EF,0,.9139999999845466,1.01023881560219,2.417902311046146,2.588525066695744
2014q4,AUT,KAZ,Debt (All),B,0,.1250944052555122,.1334067458697395,.1431059302828229,.1543866646566378
2014q4,AUT,KAZ,Equity (All),EF,0,.0740000003271942,.0740239813317871,.076280260517233,.078700715738455
2014q4,AUT,KEN,Debt (All),B,0,.0059999998125,.0059999998125,.015965388476883,.0159854896054764
2014q4,AUT,KEN,Equity (All),EF,0,0,0,.0067908226015863,.0038049792007255
2014q4,AUT,KGZ,Debt (All),B,0,0,0,0,0
2014q4,AUT,KGZ,Equity (All),EF,0,0,0,0,.0000565897595215
2014q4,AUT,KHM,Debt (All),B,0,0,0,0,0
2014q4,AUT,KHM,Equity (All),EF,0,0,0,0,0
2014q4,AUT,KIR,Debt (All),B,0,0,0,0,0
2014q4,AUT,KIR,Equity (All),EF,0,0,0,0,0
2014q4,AUT,KNA,Debt (All),B,0,0,0,0,0
2014q4,AUT,KNA,Equity (All),EF,0,0,0,0,0
2014q4,AUT,KOR,Debt (All),B,0,.3129999990450692,.3165065895470223,.3722911724127085,.3798510077223116
2014q4,AUT,KOR,Equity (All),EF,0,.1959999961903157,.1972500157531281,.5186092653891855,.5205195533994649
2014q4,AUT,KOS,Debt (All),B,0,0,0,0,0
2014q4,AUT,KOS,Equity (All),EF,0,0,0,0,0
2014q4,AUT,KWT,Debt (All),B,0,0,.01151279553125,4.97248172760e-09,.0140426273525054
2014q4,AUT,KWT,Equity (All),EF,0,0,.0004621537853088,.0053785782549313,.0056659620596666
2014q4,AUT,LAO,Debt (All),B,0,0,0,0,0
2014q4,AUT,LAO,Equity (All),EF,0,0,0,0,0
2014q4,AUT,LBN,Debt (All),B,0,.0059999998955078,.0059999998955078,.0208960496690087,.0208960496690087
2014q4,AUT,LBN,Equity (All),EF,0,0,0,.0002901541863098,.0002901541863098
2014q4,AUT,LBR,Debt (All),B,0,0,0,.001900353501208,0
2014q4,AUT,LBR,Equity (All),EF,0,0,0,.0083756626620319,0
2014q4,AUT,LBY,Debt (All),B,0,0,0,0,0
2014q4,AUT,LBY,Equity (All),EF,0,0,0,0,0
2014q4,AUT,LCA,Debt (All),B,0,0,0,0,0
2014q4,AUT,LCA,Equity (All),EF,0,0,0,0,0
2014q4,AUT,LIE,Debt (All),B,0,.0339999993920898,.0078684409838867,.0340407361763573,.0079726378427985
2014q4,AUT,LIE,Equity (All),EF,0,1.485999912128007,1.486042303022935,1.486870148465237,1.486917526928595
2014q4,AUT,LKA,Debt (All),B,0,.0219999991875,.0219999991875,.051480543042984,.051480543042984
2014q4,AUT,LKA,Equity (All),EF,0,0,0,.0104035669677202,.0094157050988115
2014q4,AUT,LSO,Debt (All),B,0,0,0,0,0
2014q4,AUT,LSO,Equity (All),EF,0,0,0,0,0
2014q4,AUT,LTU,Debt (All),B,0,.3683947533867187,.3683947533867187,.3769918685596648,.3769918685596648
2014q4,AUT,LTU,Equity (All),EF,0,0,0,.0001083745927801,.0001084768481252
2014q4,AUT,LUX,Debt (All),B,0,7.90699997046541,1.678887618764711,7.996990412589624,1.753167431668325
2014q4,AUT,LUX,Equity (All),EF,0,23.74760935668692,25.57700077918111,.1914924771687947,1.998912531696781
2014q4,AUT,LVA,Debt (All),B,0,.3794786904375,.3794786904375,.3748228654262992,.3754544399324607
2014q4,AUT,LVA,Equity (All),EF,0,0,5.36708789062e-06,4.67492798921e-06,.0011232702671435
2014q4,AUT,MAC,Debt (All),B,0,0,0,.0002938801900792,0
2014q4,AUT,MAC,Equity (All),EF,0,0,.0011364229406738,0,.0035733216134262
2014q4,AUT,MAR,Debt (All),B,0,.05200000128125,.05200000128125,.0648944020971057,.0648944020971057
2014q4,AUT,MAR,Equity (All),EF,0,0,0,.0005339232620626,.0003568338662265
2014q4,AUT,MCO,Debt (All),B,0,0,.0006922165,0,.0009162275571019
2014q4,AUT,MCO,Equity (All),EF,0,0,.0002046573157959,0,.0009542607704922
2014q4,AUT,MDA,Debt (All),B,0,0,0,0,0
2014q4,AUT,MDA,Equity (All),EF,0,0,0,0,0
2014q4,AUT,MDG,Debt (All),B,0,0,0,0,0
2014q4,AUT,MDG,Equity (All),EF,0,0,0,0,0
2014q4,AUT,MDV,Debt (All),B,0,0,0,0,0
2014q4,AUT,MDV,Equity (All),EF,0,0,0,0,0
2014q4,AUT,MEX,Debt (All),B,0,.7110000122421875,1.253902050931397,.9107245658907323,1.463123579290692
2014q4,AUT,MEX,Equity (All),EF,0,.0270000008413925,1.274348953007715,.1291005535640174,1.371896024694123
2014q4,AUT,MHL,Debt (All),B,0,.00199999996875,0,.0035005591110588,.0000140934868248
2014q4,AUT,MHL,Equity (All),EF,0,.0010000000102789,.0001638094821777,.0030913630927147,.0001881453332967
2014q4,AUT,MKD,Debt (All),B,0,.063999999953125,.063999999953125,.0600369637740912,.0600369637740912
2014q4,AUT,MKD,Equity (All),EF,0,0,0,0,0
2014q4,AUT,MLI,Debt (All),B,0,0,0,2.75781494141e-07,0
2014q4,AUT,MLI,Equity (All),EF,0,0,0,0,0
2014q4,AUT,MLT,Debt (All),B,0,.1,.1,.099260484784768,.0990890612913369
2014q4,AUT,MLT,Equity (All),EF,0,.0009999999894676,.0028467769069481,.0018208870929451,.0040047995477142
2014q4,AUT,MMR,Debt (All),B,0,0,0,0,0
2014q4,AUT,MMR,Equity (All),EF,0,0,2.57642187500e-06,0,2.57642187500e-06
2014q4,AUT,MNE,Debt (All),B,0,.0239999982460938,.0239999982460938,.0243066013762545,.0243066013762545
2014q4,AUT,MNE,Equity (All),EF,0,.0010000000005522,.0001060949777269,.0009996107327032,.000105705709878
2014q4,AUT,MNG,Debt (All),B,0,.005999999796875,.0072604839296875,.012045846180043,.0136157944279352
2014q4,AUT,MNG,Equity (All),EF,0,0,.0000241181700115,0,.0000242753447933
2014q4,AUT,MOZ,Debt (All),B,0,0,.0014739795,0,.0028963997050953
2014q4,AUT,MOZ,Equity (All),EF,0,0,2.89356994629e-08,0,7.15876137614e-08
2014q4,AUT,MRT,Debt (All),B,0,0,0,0,0
2014q4,AUT,MRT,Equity (All),EF,0,0,0,0,0
2014q4,AUT,MSR,Debt (All),B,0,0,0,0,0
2014q4,AUT,MSR,Equity (All),EF,0,0,0,0,0
2014q4,AUT,MTQ,Debt (All),B,0,0,0,0,0
2014q4,AUT,MTQ,Equity (All),EF,0,0,0,0,0
2014q4,AUT,MUS,Debt (All),B,0,.005999999625,.00352836865625,.0072024516284213,.0071681720649896
2014q4,AUT,MUS,Equity (All),EF,0,0,.0000426922788833,.000742361017329,.0011217995633103
2014q4,AUT,MWI,Debt (All),B,0,0,0,0,0
2014q4,AUT,MWI,Equity (All),EF,0,0,0,.0000296062681389,.0000296062681389
2014q4,AUT,MYS,Debt (All),B,0,.1790000097265625,.1701722037890625,.2000279153808597,.2070257664380876
2014q4,AUT,MYS,Equity (All),EF,0,.0680000008096924,.0684787054442791,.1519242153227697,.1448041451053804
2014q4,AUT,MYT,Debt (All),B,0,0,0,0,0
2014q4,AUT,MYT,Equity (All),EF,0,0,0,0,0
2014q4,AUT,NAM,Debt (All),B,0,.0049999995,.0049999995,.0057121080128539,.0057121080128539
2014q4,AUT,NAM,Equity (All),EF,0,0,0,0,0
2014q4,AUT,NER,Debt (All),B,0,0,0,0,0
2014q4,AUT,NER,Equity (All),EF,0,0,0,0,0
2014q4,AUT,NFK,Debt (All),B,0,0,0,0,0
2014q4,AUT,NFK,Equity (All),EF,0,0,0,0,0
2014q4,AUT,NGA,Debt (All),B,0,.0090000000078125,.0100974878046875,.0241048987566044,.026666940226764
2014q4,AUT,NGA,Equity (All),EF,0,0,.0001084018515625,.0142374092357898,.0123953806519192
2014q4,AUT,NIC,Debt (All),B,0,0,0,.0003250600340014,.0003250600340014
