REF_AREA,TIME_PERIOD,measure,OBS_VALUE,Population,OBS_VALUE_per_capita
AUS,1992,GDP,5428434151.833746,17478635,310.5754054497817
AUS,1993,GDP,5603968231.650155,17634808,317.7788060777387
AUS,1994,GDP,5840471491.8877325,17805468,328.0156125010436
AUS,1995,GDP,5955200987.4308195,18004882,330.7547912522181
AUS,1996,GDP,6107355385.646493,18224767,335.1129474328255
AUS,1997,GDP,6451270116.275694,18423037,350.174084559223
AUS,1998,GDP,6750216366.796056,18607584,362.7669431343723
AUS,1999,GDP,7088576716.778476,18812264,376.8061471377648
AUS,2000,GDP,7245292831.845358,19028802,380.75401866314854
AUS,2001,GDP,7418443658.465368,19274701,384.879830741103
AUS,2002,GDP,7648220908.81523,19495210,392.31282498702143
AUS,2003,GDP,8009564148.309969,19720737,406.14933145297607
AUS,1992,consumption,4187033479.545578,17478635,239.5515141511667
AUS,1993,consumption,4260006923.483195,17634808,241.56809212117278
AUS,1994,consumption,4439061295.6723585,17805468,249.30888060186672
AUS,1995,consumption,4508191023.216933,18004882,250.38714628715329
AUS,1996,consumption,4574965473.483289,18224767,251.03012145413376
AUS,1997,consumption,4856259750.977124,18423037,263.59713390235953
AUS,1998,consumption,5152889366.3853445,18607584,276.92414912034496
AUS,1999,consumption,5383541677.125546,18812264,286.1719183361209
AUS,2000,consumption,5547438635.337032,19028802,291.5285279302939
AUS,2001,consumption,5610440036.358723,19274701,291.0779283351126
AUS,2002,consumption,5827152094.708372,19495210,298.9017350779177
AUS,2003,consumption,6060023661.349073,19720737,307.29194661178605
AUT,1992,GDP,3043903395.130084,7840709,388.2178761040722
AUT,1993,GDP,3034111143.2873564,7905632,383.7910926396974
AUT,1994,GDP,3094064179.420519,7936118,389.8712417608356
AUT,1995,GDP,3163270528.641442,7948278,397.98186835455954
AUT,1996,GDP,3204775434.0382047,7959016,402.65975518056564
AUT,1997,GDP,3272141394.2278433,7968041,410.65820246505297
AUT,1998,GDP,3371655423.0828733,7976789,422.683290617675
AUT,1999,GDP,3486330475.0844483,7992323,436.20990731786594
AUT,2000,GDP,3563166108.1534386,8011566,444.7527622132101
AUT,2001,GDP,3585026881.554546,8042293,445.7717322105208
AUT,2002,GDP,3613007552.6691575,8080292,447.1382411265778
AUT,2003,GDP,3651059533.2302704,8114402,449.9480717408714
AUT,1992,consumption,2262711404.3544116,7840709,288.5850507083494
AUT,1993,consumption,2278092834.219869,7905632,288.1607484663932
AUT,1994,consumption,2317413900.68115,7936118,292.0084984473706
AUT,1995,consumption,2349972173.0653377,7948278,295.65802467721153
AUT,1996,consumption,2401505501.757654,7959016,301.73397085238355
AUT,1997,consumption,2426091740.399148,7968041,304.4778183745726
AUT,1998,consumption,2484269147.311042,7976789,311.4372396350263
AUT,1999,consumption,2550166943.1692586,7992323,319.0770622219921
AUT,2000,consumption,2597411037.2219315,8011566,324.20765643345277
AUT,2001,consumption,2616234582.233032,8042293,325.3095332678171
AUT,2002,consumption,2609314623.6257205,8080292,322.92330817075924
AUT,2003,consumption,2666798698.4521823,8114402,328.6500592960741
BEL,1992,GDP,3617211453.133735,10045165,360.0947772519152
BEL,1993,GDP,3625608058.5521383,10084479,359.5235865484115
BEL,1994,GDP,3732251133.3154855,10115601,368.959899991655
BEL,1995,GDP,3811947217.3055644,10136814,376.0498335379898
BEL,1996,GDP,3801764924.7325854,10156641,374.3132128754561
BEL,1997,GDP,3912189765.944456,10181246,384.2545171725009
BEL,1998,GDP,4022779159.9296603,10203012,394.27368701807467
BEL,1999,GDP,4143795997.835969,10226419,405.2049889444163
BEL,2000,GDP,4275599273.6067295,10251251,417.08073225470037
BEL,2001,GDP,4302093489.100065,10286571,418.22425462285395
BEL,2002,GDP,4375300910.03839,10332786,423.4386456893998
BEL,2003,GDP,4432078877.294626,10376131,427.1417619240376
