REF_AREA,TIME_PERIOD,measure,OBS_VALUE,Population,OBS_VALUE_per_capita
AUS,1986,GDP,489743653712.44946,16018350,30573.913899524574
AUS,1987,GDP,511483771496.2444,16263874,31449.07366450603
AUS,1988,GDP,541299311107.20886,16532164,32742.19340596965
AUS,1989,GDP,553178373982.694,16814416,32899.053644366475
AUS,1990,GDP,528933531104.95514,17065128,30994.99348056195
AUS,1991,GDP,522486025668.6795,17284036,30229.399294741084
AUS,1992,GDP,542843415183.37463,17478635,31057.540544978176
AUS,1993,GDP,560396823165.0155,17634808,31777.88060777387
AUS,1994,GDP,584047149188.7732,17805468,32801.56125010436
AUS,1995,GDP,595520098743.0819,18004882,33075.47912522181
AUS,1996,GDP,610735538564.6494,18224767,33511.29474328256
AUS,1997,GDP,645127011627.5695,18423037,35017.408455922305
AUS,1998,GDP,675021636679.6056,18607584,36276.69431343723
AUS,1999,GDP,708857671677.8477,18812264,37680.614713776486
AUS,2000,GDP,724529283184.5358,19028802,38075.40186631485
AUS,2001,GDP,741844365846.5369,19274701,38487.9830741103
AUS,2002,GDP,764822090881.5231,19495210,39231.282498702145
AUS,2003,GDP,800956414830.9968,19720737,40614.933145297604
AUS,2004,GDP,838193011519.901,19932722,42051.10629245223
AUS,2005,GDP,881717178711.3593,20176844,43699.45957412166
AUS,2006,GDP,927760712796.0015,20450966,45365.12909932966
AUS,2007,GDP,982428533851.4019,20827622,47169.500860511194
AUS,2008,GDP,1007789174687.5212,21249199,47427.16065144485
AUS,2009,GDP,1023928983770.1423,21691653,47203.82461263521
AUS,2010,GDP,1081869038264.4806,22031750,49104.997935455904
AUS,2011,GDP,1108228194577.3982,22340024,49607.29650860707
AUS,2012,GDP,1116471255604.9192,22733465,49111.35436700561
AUS,2013,GDP,1133964242601.254,23128129,49029.65746175378
AUS,2014,GDP,1123291922339.7498,23475686,47849.16284617837
AUS,2015,GDP,1129436903665.6938,23815995,47423.460731566905
AUS,2016,GDP,1182365920306.593,24190907,48876.46090767052
AUS,2017,GDP,1215126912336.8123,24592588,49410.29030115953
AUS,1986,consumption,370966106502.84204,16018350,23158.821383153823
AUS,1987,consumption,375527301270.71844,16263874,23089.658790440608
AUS,1988,consumption,388886997653.467,16532164,23523.05467411689
AUS,1989,consumption,400277977256.2976,16814416,23805.64256625372
AUS,1990,consumption,398533446440.9464,17065128,23353.674607125504
AUS,1991,consumption,407189646082.8449,17284036,23558.71314332167
AUS,1992,consumption,418703347954.55786,17478635,23955.151415116678
AUS,1993,consumption,426000692348.3194,17634808,24156.809212117274
AUS,1994,consumption,443906129567.2358,17805468,24930.888060186666
AUS,1995,consumption,450819102321.6933,18004882,25038.71462871533
AUS,1996,consumption,457496547348.3289,18224767,25103.012145413377
AUS,1997,consumption,485625975097.7124,18423037,26359.713390235953
AUS,1998,consumption,515288936638.5344,18607584,27692.414912034492
AUS,1999,consumption,538354167712.55457,18812264,28617.191833612083
AUS,2000,consumption,554743863533.7031,19028802,29152.852793029382
AUS,2001,consumption,561044003635.8723,19274701,29107.79283351126
AUS,2002,consumption,582715209470.8372,19495210,29890.17350779177
AUS,2003,consumption,606002366134.9073,19720737,30729.194661178604
AUS,2004,consumption,631115670579.3151,19932722,31662.29231408109
AUS,2005,consumption,655923705120.302,20176844,32508.73650608103
AUS,2006,consumption,688279783250.5303,20450966,33655.123344810716
AUS,2007,consumption,727030254950.7426,20827622,34907.02178821675
AUS,2008,consumption,730078261203.3239,21249199,34357.91914807348
AUS,2009,consumption,760042627838.1083,21691653,35038.48359726703
AUS,2010,consumption,785405977565.6292,22031750,35648.8239729313
AUS,2011,consumption,804062821105.5205,22340024,35992.03031767202
AUS,2012,consumption,821241568682.3612,22733465,36124.786462704265
AUS,2013,consumption,835691670091.9691,23128129,36133.129060805964
AUS,2014,consumption,846496204080.8794,23475686,36058.422492142694
AUS,2015,consumption,870329668838.3114,23815995,36543.913820871705
AUS,2016,consumption,894007389927.8184,24190907,36956.34024502754
AUS,2017,consumption,916127835356.4661,24592588,37252.193032976684
CAN,1986,GDP,813919734529.4597,26100278,31184.33200326294
CAN,1987,GDP,850597614749.6179,26446601,32162.8331273882
CAN,1988,GDP,892485201314.7219,26791747,33311.944955090905
CAN,1989,GDP,910714884271.3014,27276781,33387.91642134391
CAN,1990,GDP,900124749873.5223,27691138,32505.877868707394
CAN,1991,GDP,859867124025.6206,28037420,30668.55381221313
CAN,1992,GDP,867359044960.4578,28371264,30571.744881033774
CAN,1993,GDP,885375847787.5846,28684764,30865.718392788054
CAN,1994,GDP,937080612096.6577,29000663,32312.385827063943
CAN,1995,GDP,963295312995.0765,29302311,32874.38021509896
CAN,1996,GDP,980575222005.2169,29610218,33116.10951345299
CAN,1997,GDP,1017779468267.9481,29905948,34032.676986797014
CAN,1998,GDP,1045102575297.6003,30155173,34657.488958779984
CAN,1999,GDP,1100873200968.5256,30401286,36211.40240477082
CAN,2000,GDP,1176084593888.8743,30685730,38326.7595031591
CAN,2001,GDP,1187018336730.856,31020855,38265.17150255388
CAN,2002,GDP,1210652065800.7656,31359199,38605.962665078456
CAN,2003,GDP,1238410114877.4612,31642461,39137.604210919664
CAN,2004,GDP,1294301164820.4966,31938807,40524.405461371694
CAN,2005,GDP,1347665704605.478,32242732,41797.50353057793
CAN,2006,GDP,1390932166311.7825,32571193,42704.366595100844
CAN,2007,GDP,1435567970537.5557,32888886,43649.02996524588
CAN,2008,GDP,1472887215427.7485,33247298,44300.95989838779
CAN,2009,GDP,1392535006121.1367,33630069,41407.43826963711
CAN,2010,GDP,1450694570012.6763,34005902,42660.08206495085
CAN,2011,GDP,1501035484752.3027,34339221,43711.984169713774
CAN,2012,GDP,1522913006843.5596,34713395,43871.04767031746
CAN,2013,GDP,1570723581287.7168,35080992,44774.206535770616
CAN,2014,GDP,1616408266548.25,35434066,45617.352142095406
CAN,2015,GDP,1594850974566.561,35704498,44668.06884013776
CAN,2016,GDP,1600107879175.811,36110803,44311.057806601835
CAN,2017,GDP,1664458471961.021,36545075,45545.35657570879
CAN,1986,consumption,631340705763.7168,26100278,24189.041425678177
CAN,1987,consumption,650711559074.374,26446601,24604.73310254025
CAN,1988,consumption,674627891440.3467,26791747,25180.436775561768
CAN,1989,consumption,694209923800.032,27276781,25450.580983145774
CAN,1990,consumption,706236475049.9747,27691138,25504.06108445145
CAN,1991,consumption,699049366676.2175,28037420,24932.72799980232
CAN,1992,consumption,712509892322.3408,28371264,25113.78739848675
CAN,1993,consumption,721902316943.4773,28684764,25166.751134625938
CAN,1994,consumption,742773863932.2164,29000663,25612.30630941839
CAN,1995,consumption,746409915548.5413,29302311,25472.732015865276
CAN,1996,consumption,756854849204.8514,29610218,25560.59699407993
CAN,1997,consumption,780913771365.5426,29905948,26112.322918689708
CAN,1998,consumption,803884543191.7909,30155173,26658.26334976725
CAN,1999,consumption,831906467540.304,30401286,27364.186749873144
CAN,2000,consumption,866074347013.881,30685730,28224.00989039143
CAN,2001,consumption,885550860086.53125,31020855,28546.952045213817
CAN,2002,consumption,917551494166.752,31359199,29259.404685902595
CAN,2003,consumption,935884972540.5758,31642461,29576.870539259755
CAN,2004,consumption,959535811075.3562,31938807,30042.94465586508
CAN,2005,consumption,988931558606.1617,32242732,30671.45670553481
CAN,2006,consumption,1024648455325.2404,32571193,31458.73273125858
CAN,2007,consumption,1062013522923.7703,32888886,32290.95454688767
CAN,2008,consumption,1092598390528.5781,33247298,32862.77250345511
CAN,2009,consumption,1107587725238.6804,33630069,32934.44700451493
CAN,2010,consumption,1138414131993.9602,34005902,33476.95738210268
CAN,2011,consumption,1156527076427.703,34339221,33679.47911304403
CAN,2012,consumption,1173835899239.4954,34713395,33815.070500580405
CAN,2013,consumption,1204199640833.9707,35080992,34326.27107106808
CAN,2014,consumption,1229485973649.739,35434066,34697.8518821334
CAN,2015,consumption,1254937734467.2695,35704498,35147.88905496639
CAN,2016,consumption,1272602146292.1104,36110803,35241.59089710939
CAN,2017,consumption,1309588664341.6313,36545075,35834.8878567531
CHE,1986,GDP,342596470542.5914,6504125,52673.72176005095
CHE,1987,GDP,350612258161.87134,6545107,53568.60600779656
CHE,1988,GDP,365366095164.0315,6593387,55414.02243854812
CHE,1989,GDP,382309730053.541,6646912,57516.89356704903
CHE,1990,GDP,393348608801.66254,6712273,58601.402058834996
CHE,1991,GDP,388087673492.5021,6799979,57071.89294150792
CHE,1992,GDP,380787265745.6194,6875364,55384.30630663619
CHE,1993,GDP,376733960923.9841,6938265,54298.00691152386
CHE,1994,GDP,382774549651.4942,6993795,54730.59328325955
CHE,1995,GDP,380602509991.34076,7040687,54057.58131150281
CHE,1996,GDP,380539254240.09766,7071851,53810.41741972472
CHE,1997,GDP,384658525279.71936,7088906,54262.04343515338
CHE,1998,GDP,394526691112.1577,7110002,55488.9704830122
CHE,1999,GDP,398913980157.5285,7143991,55839.093324379675
CHE,2000,GDP,412939991596.1817,7184250,57478.510853071886
CHE,2001,GDP,419941582642.502,7226647,58110.15573923868
CHE,2002,GDP,416934743521.07526,7284754,57233.8809959918
CHE,2003,GDP,417981197792.43823,7339002,56953.411075843585
CHE,2004,GDP,427214403373.1248,7389626,57812.723319573255
CHE,2005,GDP,438865054123.94806,7437116,59010.11280769966
CHE,2006,GDP,461833471673.9329,7483935,61709.97899820521
CHE,2007,GDP,488515051307.3355,7551117,64694.40896059954
CHE,2008,GDP,495631921972.47504,7647676,64808.17466279626
CHE,2009,GDP,490708775131.04987,7743832,63367.693815032384
CHE,2010,GDP,505514716371.3308,7824910,64603.26270478904
CHE,2011,GDP,511990840715.51764,7912396,64707.43384374564
CHE,2012,GDP,522412098941.10565,7996861,65327.14510619925
CHE,2013,GDP,533003741326.9147,8089346,65889.5961832903
CHE,2014,GDP,543325589115.44214,8188646,66351.09016990625
CHE,2015,GDP,550106794576.2535,8282398,66418.7828906862
CHE,2016,GDP,559638863406.4316,8373334,66835.84620014341
CHE,2017,GDP,562682706389.8002,8451834,66575.2198149893
CHE,1986,consumption,227428744829.1483,6504125,34966.84716685923
CHE,1987,consumption,232499044460.33377,6545107,35522.57349808548
CHE,1988,consumption,238636658688.80753,6593387,36193.33412232704
CHE,1989,consumption,247025934357.07474,6646912,37164.01456150987
CHE,1990,consumption,251800400049.0241,6712273,37513.4324913519
CHE,1991,consumption,256110359877.42514,6799979,37663.40453072357
CHE,1992,consumption,257214211338.11383,6875364,37410.99545247551
CHE,1993,consumption,254503219793.96344,6938265,36681.10396388196
CHE,1994,consumption,255738369172.05695,6993795,36566.4662993492
CHE,1995,consumption,255945650121.76703,7040687,36352.36875631128
CHE,1996,consumption,259396788915.0257,7071851,36680.18301220228
CHE,1997,consumption,263733331624.05585,7088906,37203.671712399046
CHE,1998,consumption,268921190660.54752,7110002,37822.9416335674
CHE,1999,consumption,274131629199.20566,7143991,38372.33686313514
CHE,2000,consumption,279677683839.63556,7184250,38929.28055672277
CHE,2001,consumption,284860188902.07715,7226647,39418.030090867476
CHE,2002,consumption,283720312669.2946,7284754,38947.13708510879
CHE,2003,consumption,287027123578.2283,7339002,39109.83040721726
CHE,2004,consumption,291718100023.9541,7389626,39476.70694348457
CHE,2005,consumption,296096434014.654,7437116,39813.3408184912
CHE,2006,consumption,301094054620.26996,7483935,40232.051002616936
CHE,2007,consumption,309452419550.2,7551117,40981.01241845412
CHE,2008,consumption,313012226964.2543,7647676,40929.06485110696
CHE,2009,consumption,319313930796.19525,7743832,41234.61495499841
CHE,2010,consumption,324100352774.3467,7824910,41419.051819681845
CHE,2011,consumption,327160002840.80884,7912396,41347.779211355046
CHE,2012,consumption,333846296333.77673,7996861,41747.167586603886
CHE,2013,consumption,341059110119.7777,8089346,42161.51838724388
CHE,2014,consumption,344663769007.1133,8188646,42090.446821991485
CHE,2015,consumption,351627362690.375,8282398,42454.77731091587
CHE,2016,consumption,357307629900.4558,8373334,42672.08616071637
CHE,2017,consumption,362817759979.8273,8451834,42927.69592727771
CHL,1986,GDP,80187581631.8544,12317494,6510.056479983217
CHL,1987,GDP,88826194991.33263,12532815,7087.4895218139445
CHL,1988,GDP,100947121500.76784,12748135,7918.579580524354
CHL,1989,GDP,107187902855.092,12963457,8268.465954343197
CHL,1990,GDP,106923329166.2327,13178782,8113.293714565784
CHL,1991,GDP,114908630053.34233,13422010,8561.208794609924
CHL,1992,GDP,124932257163.25613,13737062,9094.539805036633
CHL,1993,GDP,131184746181.80193,13956766,9399.36559671502
CHL,1994,GDP,140113234902.61322,14171821,9886.74884495177
CHL,1995,GDP,156566016902.19095,14381249,10886.816360817544
CHL,1996,GDP,159318679018.53555,14584947,10923.500717454479
CHL,1997,GDP,166576007631.99203,14782706,11268.302814923874
CHL,1998,GDP,166389316896.70926,14974898,11111.215375003507
CHL,1999,GDP,164088821683.2967,15162353,10822.121189455007
CHL,2000,GDP,173435634898.12454,15343326,11303.653125673309
CHL,2001,GDP,180128921866.6237,15520049,11606.208322320612
CHL,2002,GDP,187442137858.83374,15691701,11945.303944985553
CHL,2003,GDP,199140577910.5353,15856977,12558.546178791537
CHL,2004,GDP,224981565417.24744,16022133,14041.923470317432
CHL,2005,GDP,247512818750.86453,16183489,15294.15682556861
CHL,2006,GDP,285229207017.8886,16347890,17447.463068193425
CHL,2007,GDP,301926921183.56366,16517933,18278.735068338374
CHL,2008,GDP,289140831937.0541,16697754,17316.151138473717
CHL,2009,GDP,295095530945.0149,16881078,17480.84636212302
CHL,2010,GDP,335300741211.774,17063927,19649.6821166531
CHL,2011,GDP,355891370594.1924,17254159,20626.4107450379
CHL,2012,GDP,369567513206.7535,17443491,21186.556819776128
CHL,2013,GDP,383562109747.445,17611902,21778.573929575865
CHL,2014,GDP,394666892878.8712,17787617,22187.73278505329
CHL,2015,GDP,405499679728.34814,17971423,22563.582178681572
CHL,2016,GDP,415687142542.1726,18167147,22881.256068560055
CHL,2017,GDP,432238850838.7227,18419192,23466.765037180932
CHL,1986,consumption,59842577527.63307,12317494,4858.340302632424
CHL,1987,consumption,63597594851.03073,12532815,5074.4860473110575
CHL,1988,consumption,67823388808.6975,12748135,5320.259693570668
CHL,1989,consumption,71961138356.81384,12963457,5551.076256650818
CHL,1990,consumption,73212929755.71823,13178782,5555.363899009653
CHL,1991,consumption,80172938076.62044,13422010,5973.243804513663
CHL,1992,consumption,89376824460.35033,13737062,6506.254718829276
CHL,1993,consumption,95247123230.37239,13956766,6824.440793115855
CHL,1994,consumption,99913737358.30988,14171821,7050.169301341717
CHL,1995,consumption,108354790446.8204,14381249,7534.449229466815
CHL,1996,consumption,114930334092.24625,14584947,7880.065254419248
CHL,1997,consumption,120740993328.57443,14782706,8167.719315298189
CHL,1998,consumption,124676063233.54153,14974898,8325.670280595003
CHL,1999,consumption,123931212354.35611,15162353,8173.61344603678
CHL,2000,consumption,129580110194.1943,15343326,8445.372938969967
CHL,2001,consumption,133941939876.01334,15520049,8630.252383611247
CHL,2002,consumption,138446681272.97354,15691701,8822.923739942122
CHL,2003,consumption,143724405198.7858,15856977,9063.796031159394
CHL,2004,consumption,155855155448.8536,16022133,9727.491055582524
CHL,2005,consumption,169406904759.4176,16183489,10467.885185908774
CHL,2006,consumption,181959024080.19733,16347890,11130.428702431771
CHL,2007,consumption,194348240391.1559,16517933,11765.893492312622
CHL,2008,consumption,200821498925.52664,16697754,12026.856960853935
