REF_AREA,TIME_PERIOD,measure,OBS_VALUE,Population,OBS_VALUE_per_capita
AUT,1970,GDP,1584685193.9183009,7467086,212.22270560675221
AUT,1971,GDP,1689606494.7515504,7500482,225.26638884695015
AUT,1972,GDP,1815497664.6956031,7544201,240.64810371510558
AUT,1973,GDP,1913394330.097764,7586115,252.22321703503889
AUT,1974,GDP,1988466485.4778798,7599038,261.67344938634074
AUT,1975,GDP,1944923065.3541658,7578903,256.62329566088465
AUT,1976,GDP,2001868877.6482363,7565525,264.6040925974385
AUT,1977,GDP,2097663440.2379868,7568430,277.1596540151639
AUT,1978,GDP,2142126528.353501,7562305,283.2637044331723
AUT,1979,GDP,2265730592.837858,7549425,300.119624055853
AUT,1980,GDP,2288753111.638939,7549433,303.1688752836059
AUT,1981,GDP,2283602267.964841,7568710,301.7161798991956
AUT,1982,GDP,2327747474.6350946,7574140,307.32828738775555
AUT,1983,GDP,2400052706.813984,7561910,317.3871028369795
AUT,1984,GDP,2385070131.079889,7561434,315.42563633827774
AUT,1985,GDP,2439298866.0481453,7564984,322.4460046509213
AUT,1986,GDP,2525997575.901474,7569794,333.69436155085253
AUT,1987,GDP,2586412127.900232,7574586,341.4592068662541
AUT,1988,GDP,2661463317.4068317,7585317,350.87041417080286
AUT,1989,GDP,2775602244.4352636,7619566,364.2730103571862
AUT,1990,GDP,2888866403.765057,7677850,376.2598128076294
AUT,1991,GDP,2997094142.270918,7754891,386.47791984064224
AUT,1992,GDP,3043903395.130084,7840709,388.2178761040722
AUT,1993,GDP,3034111143.2873564,7905632,383.7910926396974
AUT,1994,GDP,3094064179.420519,7936118,389.8712417608356
AUT,1995,GDP,3163270528.641442,7948278,397.98186835455954
AUT,1996,GDP,3204775434.0382047,7959016,402.65975518056564
AUT,1997,GDP,3272141394.2278433,7968041,410.65820246505297
AUT,1998,GDP,3371655423.0828733,7976789,422.683290617675
AUT,1999,GDP,3486330475.0844483,7992323,436.20990731786594
AUT,2000,GDP,3563166108.1534386,8011566,444.7527622132101
AUT,2001,GDP,3585026881.554546,8042293,445.7717322105208
AUT,2002,GDP,3613007552.6691575,8080292,447.1382411265778
AUT,2003,GDP,3651059533.2302704,8114402,449.9480717408714
AUT,2004,GDP,3732492105.036306,8166432,457.05298287383107
AUT,2005,GDP,3827791306.6310325,8222090,465.54967248364255
AUT,2006,GDP,3976434825.2568493,8265675,481.07805173284083
AUT,2007,GDP,4130218424.6439548,8293654,497.9974357073438
AUT,2008,GDP,4138191549.7881303,8319388,497.4153807693703
AUT,2009,GDP,4038734450.4583173,8338752,484.33320123422754
AUT,2010,GDP,4074551419.347857,8357367,487.5400852143812
AUT,2011,GDP,4134280968.3929687,8384901,493.0625857589694
AUT,2012,GDP,4144259832.0252557,8420328,492.1732065574234
AUT,2013,GDP,4122058016.8652315,8472176,486.5406498714417
AUT,2014,GDP,4169601285.8989124,8538350,488.3380613231962
AUT,2015,GDP,4282398258.4159245,8618709,496.87235738158984
AUT,2016,GDP,4413079272.708614,8737663,505.064028300086
AUT,2017,GDP,4464458763.289588,8790624,507.86596756835326
AUT,2018,GDP,4566935355.623446,8833192,517.0198220103725
AUT,2019,GDP,4644465434.882655,8872344,523.4767086220569
AUT,1970,consumption,1094460880.0294611,7467086,146.57135059505958
AUT,1971,consumption,1171577187.2164984,7500482,156.2002531592634
AUT,1972,consumption,1244683843.7067473,7544201,164.98550922844544
AUT,1973,consumption,1311536570.6539156,7586115,172.88646041536617
AUT,1974,consumption,1372232547.0135198,7599038,180.57977167814133
AUT,1975,consumption,1423338543.8200955,7578903,187.80271284908852
AUT,1976,consumption,1482590521.5424135,7565525,195.9666409855778
AUT,1977,consumption,1568179950.9848514,7568430,207.20016581838655
AUT,1978,consumption,1575470702.8639472,7562305,208.3320763793509
AUT,1979,consumption,1655266587.0512872,7549425,219.2573059605582
AUT,1980,consumption,1687977963.5002823,7549433,223.59003166201782
AUT,1981,consumption,1716841167.9882376,7568710,226.8340533576049
AUT,1982,consumption,1763332209.849291,7574140,232.80956119761333
AUT,1983,consumption,1847267049.927026,7561910,244.28577567400643
AUT,1984,consumption,1810740476.373159,7561434,239.47051265317648
AUT,1985,consumption,1854428388.6385324,7564984,245.13315410033022
AUT,1986,consumption,1905585048.5119138,7569794,251.7353904890825
AUT,1987,consumption,1947419919.2902167,7574586,257.09918922172335
AUT,1988,consumption,1984028830.888745,7585317,261.56175554544984
AUT,1989,consumption,2051053120.2761362,7619566,269.18240753819
AUT,1990,consumption,2126751236.4643042,7677850,276.9982790057509
AUT,1991,consumption,2197185871.222793,7754891,283.3290463041702
AUT,1992,consumption,2262711404.3544116,7840709,288.5850507083494
AUT,1993,consumption,2278092834.219869,7905632,288.1607484663932
AUT,1994,consumption,2317413900.68115,7936118,292.0084984473706
AUT,1995,consumption,2349972173.0653377,7948278,295.65802467721153
AUT,1996,consumption,2401505501.757654,7959016,301.73397085238355
AUT,1997,consumption,2426091740.399148,7968041,304.4778183745726
AUT,1998,consumption,2484269147.311042,7976789,311.4372396350263
AUT,1999,consumption,2550166943.1692586,7992323,319.0770622219921
AUT,2000,consumption,2597411037.2219315,8011566,324.20765643345277
AUT,2001,consumption,2616234582.233032,8042293,325.3095332678171
AUT,2002,consumption,2609314623.6257205,8080292,322.92330817075924
AUT,2003,consumption,2666798698.4521823,8114402,328.6500592960741
AUT,2004,consumption,2713831285.7770114,8166432,332.3154207096822
AUT,2005,consumption,2794462497.285819,8222090,339.8725259983555
AUT,2006,consumption,2875171063.8891673,8265675,347.8446786123538
AUT,2007,consumption,2915557094.6953173,8293654,351.540719530296
AUT,2008,consumption,2937676098.1295476,8319388,353.1120435937773
AUT,2009,consumption,2984563218.503141,8338752,357.91485566462956
AUT,2010,consumption,3011757552.6359625,8357367,360.371580263971
AUT,2011,consumption,3021092129.000725,8384901,360.30146676755334
AUT,2012,consumption,3033177027.196197,8420328,360.22076897671883
AUT,2013,consumption,3027429806.284448,8472176,357.33792667721355
AUT,2014,consumption,3040798389.8854613,8538350,356.1341933611835
AUT,2015,consumption,3098066118.102735,8618709,359.4582573913025
AUT,2016,consumption,3169017778.416988,8737663,362.68482526929546
AUT,2017,consumption,3209713809.291811,8790624,365.1292342036027
AUT,2018,consumption,3245616958.0359225,8833192,367.4342138194123
AUT,2019,consumption,3286562410.717219,8872344,370.42774837373514
BEL,1970,GDP,2144818803.6251075,9655550,222.13326052116219
BEL,1971,GDP,2251993639.4584866,9673162,232.80842804643265
BEL,1972,GDP,2390800787.154968,9711115,246.19220214722694
BEL,1973,GDP,2539847669.4848137,9741721,260.7185803704308
BEL,1974,GDP,2643789225.816907,9772420,270.53577576658665
BEL,1975,GDP,2594605738.5892878,9800700,264.736777841306
BEL,1976,GDP,2703739688.1978383,9818228,275.37959886425926
BEL,1977,GDP,2730375011.670325,9830358,277.7492957703397
BEL,1978,GDP,2806697517.073168,9839534,285.2469961558309
BEL,1979,GDP,2873398673.0064917,9848382,291.76352755269767
BEL,1980,GDP,2930121579.228017,9859243,297.1953910891553
BEL,1981,GDP,2854385116.8269854,9858982,289.5212829100393
BEL,1982,GDP,2840835864.4747977,9856303,288.22529750503793
BEL,1983,GDP,2795466191.048324,9855521,283.64468921007057
BEL,1984,GDP,2840088006.1009755,9855372,288.17664174431724
BEL,1985,GDP,2880366312.0852847,9858309,292.1765093876936
BEL,1986,GDP,2976368970.0501394,9861824,301.8071474455577
BEL,1987,GDP,3048943740.305438,9870234,308.90288318447546
BEL,1988,GDP,3224769190.6200733,9901665,325.67948831030674
BEL,1989,GDP,3391344748.056049,9937697,341.2606309143908
BEL,1990,GDP,3476243633.3868566,9967378,348.7620950451419
BEL,1991,GDP,3528350324.814144,10004486,352.6768216592181
BEL,1992,GDP,3617211453.133735,10045165,360.0947772519152
BEL,1993,GDP,3625608058.5521383,10084479,359.5235865484115
BEL,1994,GDP,3732251133.3154855,10115601,368.959899991655
BEL,1995,GDP,3811947217.3055644,10136814,376.0498335379898
BEL,1996,GDP,3801764924.7325854,10156641,374.3132128754561
BEL,1997,GDP,3912189765.944456,10181246,384.2545171725009
BEL,1998,GDP,4022779159.9296603,10203012,394.27368701807467
BEL,1999,GDP,4143795997.835969,10226419,405.2049889444163
BEL,2000,GDP,4275599273.6067295,10251251,417.08073225470037
BEL,2001,GDP,4302093489.100065,10286571,418.22425462285395
BEL,2002,GDP,4375300910.03839,10332786,423.4386456893998
BEL,2003,GDP,4432078877.294626,10376131,427.1417619240376
BEL,2004,GDP,4582161608.303063,10421136,439.69885896346267
BEL,2005,GDP,4656690233.250543,10478620,444.3991893255546
BEL,2006,GDP,4797760281.266452,10547956,454.8521326090526
BEL,2007,GDP,4979476333.101284,10624835,468.66387413087205
BEL,2008,GDP,4878202199.095806,10709108,455.51900299220125
BEL,2009,GDP,4825178191.852764,10796498,446.920676672451
BEL,2010,GDP,4932376223.907287,10895591,452.6946931017589
BEL,2011,GDP,4967433609.0798235,10993609,451.8473968903045
BEL,2012,GDP,4947466940.351979,11067748,447.0165873267063
BEL,2013,GDP,4977275639.682021,11125033,447.39423601548157
BEL,2014,GDP,5090411170.543657,11179778,455.3230994876336
BEL,2015,GDP,5194237985.594964,11238474,462.18356563310675
BEL,2016,GDP,5252179371.025674,11295003,465.00026348161873
BEL,2017,GDP,5322170210.721959,11349081,468.9516455757042
BEL,2018,GDP,5404273484.338209,11403740,473.9036039350432
BEL,2019,GDP,5559078939.856023,11462023,484.99980674057474
BEL,1970,consumption,1457825001.8241374,9655550,150.9831135278816
BEL,1971,consumption,1562356365.34707,9673162,161.51454564154616
BEL,1972,consumption,1669915438.034214,9711115,171.95918677043923
BEL,1973,consumption,1791021952.1686134,9741721,183.85067198789756
BEL,1974,consumption,1857569290.2496724,9772420,190.08283416489186
BEL,1975,consumption,1913015380.2233355,9800700,195.19170877828478
BEL,1976,consumption,1992991508.3067834,9818228,202.98892104632154
BEL,1977,consumption,2051180944.6079392,9830358,208.65780723427767
BEL,1978,consumption,2123424193.763767,9839534,215.8053616933248
BEL,1979,consumption,2216156462.208654,9848382,225.0274676803412
BEL,1980,consumption,2272912495.167363,9859243,230.5362080199629
BEL,1981,consumption,2293959867.760605,9858982,232.67715345870445
BEL,1982,consumption,2296401346.356686,9856303,232.98810379070997
BEL,1983,consumption,2264891442.7025614,9855521,229.80940761047148
BEL,1984,consumption,2267703563.100709,9855372,230.09822085870618
BEL,1985,consumption,2307374063.126659,9858309,234.05373711928272
BEL,1986,consumption,2354370362.6432095,9861824,238.73579194307356
BEL,1987,consumption,2396717120.69406,9870234,242.8227254484605
BEL,1988,consumption,2449038678.7790394,9901665,247.33604689504637
BEL,1989,consumption,2532223925.4184647,9937697,254.80993487912386
BEL,1990,consumption,2586759606.032596,9967378,259.5225751479071
BEL,1991,consumption,2669262601.0889626,10004486,266.80657068128863
BEL,1992,consumption,2716669009.6725507,10045165,270.44543416385403
BEL,1993,consumption,2717593589.4956684,10084479,269.4827952436282
BEL,1994,consumption,2777437934.1963005,10115601,274.5697397709044
BEL,1995,consumption,2834527825.7832217,10136814,279.6270924753302
BEL,1996,consumption,2858822563.008036,10156641,281.4732314559544
BEL,1997,consumption,2887799944.9677076,10181246,283.63914838789947
BEL,1998,consumption,2977330200.890578,10203012,291.8089482684699
BEL,1999,consumption,3039675740.0830827,10226419,297.2375511000559
BEL,2000,consumption,3136253973.9062915,10251251,305.9386580141576
BEL,2001,consumption,3171464450.519136,10286571,308.31114182939444
BEL,2002,consumption,3223509601.1485043,10332786,311.9690663436274
BEL,2003,consumption,3265459456.897366,10376131,314.708773134935
BEL,2004,consumption,3319262437.841637,10421136,318.51253431887244
BEL,2005,consumption,3365964184.111883,10478620,321.22208688852953
BEL,2006,consumption,3453762066.074154,10547956,327.4342503963947
BEL,2007,consumption,3548452680.0740933,10624835,333.9772034176619
BEL,2008,consumption,3580133936.5217,10709108,334.3073892355647
BEL,2009,consumption,3663267844.5950966,10796498,339.3014887415435
BEL,2010,consumption,3754115859.3370366,10895591,344.55366940049754
BEL,2011,consumption,3762494671.0142627,10993609,342.2438137479933
BEL,2012,consumption,3794564710.0864916,11067748,342.84885327046584
BEL,2013,consumption,3834585258.625749,11125033,344.6807985761255
BEL,2014,consumption,3895196566.05248,11179778,348.41448247473966
BEL,2015,consumption,3947144867.8621697,11238474,351.21715527056165
BEL,2016,consumption,3972740944.3957667,11295003,351.72553246738994
BEL,2017,consumption,4028001232.0532846,11349081,354.9187138635529
BEL,2018,consumption,4094277736.635252,11403740,359.02938304760124
BEL,2019,consumption,4161245295.0961328,11462023,363.04632219775976
DEU,1970,GDP,17560639145.27634,78169285,224.64883931426954
DEU,1971,GDP,18520391615.563038,78312838,236.49240773987833
DEU,1972,GDP,19142302032.75783,78688450,243.26698559646087
DEU,1973,GDP,19919554084.450294,78936672,252.34854193562018
DEU,1974,GDP,20151113010.162632,78967429,255.18258939597277
DEU,1975,GDP,19930487708.678802,78673555,253.33147470809985
DEU,1976,GDP,20728204482.903797,78336948,264.60316634883196
DEU,1977,GDP,21291207481.28065,78159813,272.4060698722584
DEU,1978,GDP,22108360079.836502,78091821,283.10724217631576
DEU,1979,GDP,23077839489.630775,78126353,295.39122976380037
DEU,1980,GDP,23405215068.176125,78288576,298.96079688786426
DEU,1981,GDP,23049182580.453793,78407904,293.96503929570406
DEU,1982,GDP,22814199092.033062,78333354,291.2450179528003
DEU,1983,GDP,23064020779.1391,78128284,295.2070568853029
DEU,1984,GDP,23618620624.81166,77858682,303.35243312764607
DEU,1985,GDP,24182297963.060444,77684878,311.28706880456764
DEU,1986,GDP,25510392661.222694,77720438,328.23274440659605
DEU,1987,GDP,26133799083.948006,77839920,335.7377433577528
DEU,1988,GDP,27214062862.776474,78144617,348.2525592617144
DEU,1989,GDP,28301565728.194233,78751284,359.37910203717104
DEU,1990,GDP,29991913181.767025,79433034,377.57481580984336
DEU,1991,GDP,31232528429.54483,80013901,390.3387791272023
DEU,1992,GDP,31938447180.185513,80624601,396.13773940022986
DEU,1993,GDP,31418881995.183186,81156368,387.1400700827714
DEU,1994,GDP,31999570334.094532,81438346,392.93001277425907
DEU,1995,GDP,32522521569.780815,81678046,398.17947615667515
DEU,1996,GDP,32540848554.423607,81914834,397.25220653469927
DEU,1997,GDP,32561012579.028595,82034775,396.91719248365825
DEU,1998,GDP,33171281789.67007,82047197,404.295125276127
DEU,1999,GDP,33873969051.663395,82100243,412.5927989234258
DEU,2000,GDP,34235703649.7074,82211501,416.4344797658834
DEU,2001,GDP,34608036147.387344,82349926,420.2558256990704
DEU,2002,GDP,34555747254.54789,82488493,418.9159723714178
DEU,2003,GDP,34470454765.645164,82534175,417.6506854965857
DEU,2004,GDP,34695970094.22357,82516268,420.474300827851
DEU,2005,GDP,34654230900.96995,82469421,420.2070352957849
DEU,2006,GDP,35589878194.052475,82376447,432.03949053608096
DEU,2007,GDP,36454239554.79192,82266373,443.1244289181428
DEU,2008,GDP,36178155088.13386,82110097,440.60543599325985
DEU,2009,GDP,34737818652.29183,81902308,424.13723740595725
DEU,2010,GDP,36029535786.35537,81776936,440.5830977374277
DEU,2011,GDP,37073885368.491974,80274981,461.83611514641126
DEU,2012,GDP,37036822690.21415,80425826,460.509074413661
DEU,2013,GDP,37363713242.72399,80645605,463.3074950919395
DEU,2014,GDP,38552088143.92431,80982495,476.0545861661129
DEU,2015,GDP,39672827654.27529,81686608,485.67113539927243
DEU,2016,GDP,40862178741.72195,82348669,496.20934057503644
DEU,2017,GDP,41991823974.401276,82657000,508.0250187449493
DEU,2018,GDP,42526646531.90019,82905788,512.9514785131793
DEU,2019,GDP,43181008516.37353,83092956,519.671108058468
DEU,1970,consumption,12549379747.463482,78169285,160.5410583896665
DEU,1971,consumption,13470648078.210844,78312838,172.0107254727615
DEU,1972,consumption,14110047419.315228,78688450,179.31535592981217
DEU,1973,consumption,14724673194.57039,78936672,186.53780076477497
DEU,1974,consumption,15130364466.719381,78967429,191.60259689750544
DEU,1975,consumption,15673023089.690903,78673555,199.21590030717314
DEU,1976,consumption,16171119937.575798,78336948,206.4303033298642
DEU,1977,consumption,16663983487.504663,78159813,213.20398358047075
DEU,1978,consumption,17201082121.7963,78091821,220.26739678405372
DEU,1979,consumption,18004950602.16762,78126353,230.45937652007922
DEU,1980,consumption,18548331289.75104,78288576,236.9225784583314
DEU,1981,consumption,18519555120.101757,78407904,236.19500299487353
DEU,1982,consumption,18239417965.004677,78333354,232.84357216473427
DEU,1983,consumption,18406149465.823765,78128284,235.5888101397922
DEU,1984,consumption,18753994631.07367,77858682,240.8722335047191
DEU,1985,consumption,19034358007.622467,77684878,245.02011842797086
DEU,1986,consumption,19676852112.067234,77720438,253.17474551632395
DEU,1987,consumption,20322639938.860756,77839920,261.08248748021265
DEU,1988,consumption,20963058332.88483,78144617,268.2597872721653
DEU,1989,consumption,21556298151.68803,78751284,273.7263071379005
DEU,1990,consumption,22494233705.002766,79433034,283.18487375167825
DEU,1991,consumption,23199033342.063553,80013901,289.9375365046075
DEU,1992,consumption,23911518889.875282,80624601,296.5784461975233
DEU,1993,consumption,23827442623.694042,81156368,293.599174173172
DEU,1994,consumption,24106243168.80084,81438346,296.00605062387734
DEU,1995,consumption,24445889111.097317,81678046,299.29571418857546
DEU,1996,consumption,24691619139.792545,81914834,301.4303751112106
DEU,1997,consumption,24607169485.03702,82034775,299.96022400301604
DEU,1998,consumption,24803607761.719814,82047197,302.3090205229048
DEU,1999,consumption,25642974856.023563,82100243,312.3373807313038
DEU,2000,consumption,25974740213.519634,82211501,315.95020036818977
DEU,2001,consumption,26189247881.29684,82349926,318.02393946652535
