REF_AREA,TIME_PERIOD,measure,OBS_VALUE,Population,OBS_VALUE_per_capita
AUS,1970,GDP,3022156110.4608784,12507349,241.63042947477345
AUS,1971,GDP,3141823458.3477674,13067265,240.43466313323924
AUS,1972,GDP,3313954748.9916787,13303664,249.10090550931523
AUS,1973,GDP,3680336397.5672073,13504538,272.52590185367376
AUS,1974,GDP,3764343305.230696,13722571,274.3176410040579
AUS,1975,GDP,3823511654.4771585,13892995,275.2114756017085
AUS,1976,GDP,3894284505.46487,14033083,277.50740913203964
AUS,1977,GDP,3786702400.0632415,14192234,266.81510465957945
AUS,1978,GDP,3963097220.126035,14359255,275.99601930086453
AUS,1979,GDP,4116826374.907194,14515729,283.6114104160524
AUS,1980,GDP,4230856432.4396033,14695356,287.90431701277623
AUS,1981,GDP,4460248013.102472,14923260,298.87893215708044
AUS,1982,GDP,4314248935.522036,15184247,284.1266304165123
AUS,1983,GDP,4421941608.922387,15393472,287.2608342628867
AUS,1984,GDP,4687819726.49217,15579391,300.89877880927247
AUS,1985,GDP,4865363936.736549,15788312,308.1623885274467
AUS,1986,GDP,4897436537.1244955,16018350,305.7391389952458
AUS,1987,GDP,5114837714.962443,16263874,314.4907366450603
AUS,1988,GDP,5412993111.072089,16532164,327.4219340596965
AUS,1989,GDP,5531783739.826939,16814416,328.99053644366467
AUS,1990,GDP,5289335311.049552,17065128,309.9499348056195
AUS,1991,GDP,5224860256.686795,17284036,302.29399294741086
AUS,1992,GDP,5428434151.833746,17478635,310.5754054497817
AUS,1993,GDP,5603968231.650155,17634808,317.7788060777387
AUS,1994,GDP,5840471491.8877325,17805468,328.0156125010436
AUS,1995,GDP,5955200987.4308195,18004882,330.7547912522181
AUS,1996,GDP,6107355385.646493,18224767,335.1129474328255
AUS,1997,GDP,6451270116.275694,18423037,350.174084559223
AUS,1998,GDP,6750216366.796056,18607584,362.7669431343723
AUS,1999,GDP,7088576716.778476,18812264,376.8061471377648
AUS,2000,GDP,7245292831.845358,19028802,380.75401866314854
AUS,2001,GDP,7418443658.465368,19274701,384.879830741103
AUS,2002,GDP,7648220908.81523,19495210,392.31282498702143
AUS,2003,GDP,8009564148.309969,19720737,406.14933145297607
AUS,2004,GDP,8381930115.19901,19932722,420.5110629245223
AUS,2005,GDP,8817171787.113592,20176844,436.99459574121664
AUS,2006,GDP,9277607127.960014,20450966,453.6512909932966
AUS,2007,GDP,9824285338.514017,20827622,471.69500860511187
AUS,2008,GDP,10077891746.875212,21249199,474.2716065144485
AUS,2009,GDP,10239289837.701424,21691653,472.0382461263521
AUS,2010,GDP,10818690382.644806,22031750,491.049979354559
AUS,2011,GDP,11082281945.773981,22340024,496.07296508607067
AUS,2012,GDP,11164712556.04919,22733465,491.11354367005606
AUS,2013,GDP,11339642426.012539,23128129,490.2965746175378
AUS,2014,GDP,11232919223.397497,23475686,478.4916284617837
AUS,2015,GDP,11294369036.656939,23815995,474.2346073156691
AUS,2016,GDP,11823659203.06593,24190907,488.76460907670514
AUS,2017,GDP,12151269123.368122,24592588,494.1029030115953
AUS,2018,GDP,12608580792.352757,24963258,505.08554581908965
AUS,2019,GDP,12623354358.95438,25334826,498.2609455835371
AUS,1970,consumption,2066968809.9172602,12507349,165.26034493138874
AUS,1971,consumption,2169198353.9333363,13067265,166.0024767182219
AUS,1972,consumption,2289320219.2485204,13303664,172.08193316130956
AUS,1973,consumption,2502653105.2891874,13504538,185.31941672415505
AUS,1974,consumption,2737056781.564048,13722571,199.45655821813915
AUS,1975,consumption,2818011506.9245496,13892995,202.83686180874244
AUS,1976,consumption,2889243964.251921,14033083,205.8880407286069
AUS,1977,consumption,2866697266.9173164,14192234,201.99055814027
AUS,1978,consumption,2934824070.0692,14359255,204.38553880888668
AUS,1979,consumption,3012256862.248032,14515729,207.51674698859645
AUS,1980,consumption,3125012419.2130303,14695356,212.6530598655133
AUS,1981,consumption,3294097599.955856,14923260,220.7357909703279
AUS,1982,consumption,3354637409.8190613,15184247,220.9287961279253
AUS,1983,consumption,3323364812.2549233,15393472,215.89442669301138
AUS,1984,consumption,3477925756.6987505,15579391,223.23887735398324
AUS,1985,consumption,3665815292.420895,15788312,232.18538450601275
AUS,1986,consumption,3709661065.028421,16018350,231.58821383153827
AUS,1987,consumption,3755273012.707185,16263874,230.8965879044061
AUS,1988,consumption,3888869976.53467,16532164,235.2305467411689
AUS,1989,consumption,4002779772.5629764,16814416,238.0564256625372
AUS,1990,consumption,3985334464.4094644,17065128,233.53674607125504
AUS,1991,consumption,4071896460.8284492,17284036,235.5871314332167
AUS,1992,consumption,4187033479.545578,17478635,239.5515141511667
AUS,1993,consumption,4260006923.483195,17634808,241.56809212117278
AUS,1994,consumption,4439061295.6723585,17805468,249.30888060186672
AUS,1995,consumption,4508191023.216933,18004882,250.38714628715329
AUS,1996,consumption,4574965473.483289,18224767,251.03012145413376
AUS,1997,consumption,4856259750.977124,18423037,263.59713390235953
AUS,1998,consumption,5152889366.3853445,18607584,276.92414912034496
AUS,1999,consumption,5383541677.125546,18812264,286.1719183361209
AUS,2000,consumption,5547438635.337032,19028802,291.5285279302939
AUS,2001,consumption,5610440036.358723,19274701,291.0779283351126
AUS,2002,consumption,5827152094.708372,19495210,298.9017350779177
AUS,2003,consumption,6060023661.349073,19720737,307.29194661178605
AUS,2004,consumption,6311156705.793151,19932722,316.62292314081094
AUS,2005,consumption,6559237051.20302,20176844,325.0873650608103
AUS,2006,consumption,6882797832.505304,20450966,336.55123344810727
AUS,2007,consumption,7270302549.507426,20827622,349.0702178821675
AUS,2008,consumption,7300782612.033238,21249199,343.5791914807348
AUS,2009,consumption,7600426278.381083,21691653,350.3848359726703
AUS,2010,consumption,7854059775.656292,22031750,356.488239729313
AUS,2011,consumption,8040628211.055206,22340024,359.9203031767202
AUS,2012,consumption,8212415686.823612,22733465,361.24786462704265
AUS,2013,consumption,8356916700.919692,23128129,361.33129060805965
AUS,2014,consumption,8464962040.808794,23475686,360.58422492142694
AUS,2015,consumption,8703296688.383114,23815995,365.43913820871705
AUS,2016,consumption,8940073899.278183,24190907,369.56340245027536
AUS,2017,consumption,9161278353.564661,24592588,372.52193032976686
AUS,2018,consumption,9403428138.720493,24963258,376.69074039616515
AUS,2019,consumption,9376452092.173355,25334826,370.1013021432772
CAN,1970,GDP,4645989935.0309925,21746497,213.64314146922112
CAN,1971,GDP,4936984249.863805,21962032,224.7963325918023
CAN,1972,GDP,5250814304.889138,22218463,236.32662191300713
CAN,1973,GDP,5721799819.153354,22491777,254.39518714565565
CAN,1974,GDP,6132262116.0656595,22807969,268.86489174312976
CAN,1975,GDP,6232838736.828565,23143275,269.31532969420124
CAN,1976,GDP,6709685647.379401,23449808,286.12966244241323
CAN,1977,GDP,6866093288.405514,23725843,289.39301707448345
CAN,1978,GDP,6978201824.738385,23963203,291.2048871237449
CAN,1979,GDP,7294778334.172669,24201544,301.4178902871928
CAN,1980,GDP,7433920957.961941,24515667,303.2314380009298
CAN,1981,GDP,7542854305.016979,24819915,303.90330929888273
CAN,1982,GDP,7175989545.027316,25116942,285.7031538722873
CAN,1983,GDP,7357137407.46421,25366451,290.0341639224269
CAN,1984,GDP,7734380944.17574,25607053,302.0410409653833
CAN,1985,GDP,8052215541.976621,25842116,311.59273265303125
CAN,1986,GDP,8139197345.294599,26100278,311.8433200326295
CAN,1987,GDP,8505976147.496181,26446601,321.62833127388205
CAN,1988,GDP,8924852013.147219,26791747,333.11944955090905
CAN,1989,GDP,9107148842.713015,27276781,333.8791642134391
CAN,1990,GDP,9001247498.735222,27691138,325.05877868707387
CAN,1991,GDP,8598671240.256207,28037420,306.6855381221313
CAN,1992,GDP,8673590449.604578,28371264,305.7174488103377
CAN,1993,GDP,8853758477.875845,28684764,308.6571839278805
CAN,1994,GDP,9370806120.966578,29000663,323.12385827063946
CAN,1995,GDP,9632953129.950766,29302311,328.74380215098955
CAN,1996,GDP,9805752220.052168,29610218,331.16109513452983
CAN,1997,GDP,10177794682.679482,29905948,340.32676986797014
CAN,1998,GDP,10451025752.976004,30155173,346.5748895877999
CAN,1999,GDP,11008732009.685257,30401286,362.11402404770826
CAN,2000,GDP,11760845938.888742,30685730,383.267595031591
CAN,2001,GDP,11870183367.308558,31020855,382.6517150255387
CAN,2002,GDP,12106520658.007656,31359199,386.05962665078454
CAN,2003,GDP,12384101148.774612,31642461,391.37604210919665
CAN,2004,GDP,12943011648.204967,31938807,405.244054613717
CAN,2005,GDP,13476657046.054783,32242732,417.9750353057794
CAN,2006,GDP,13909321663.117825,32571193,427.04366595100845
CAN,2007,GDP,14355679705.375555,32888886,436.49029965245876
CAN,2008,GDP,14728872154.277485,33247298,443.0095989838779
CAN,2009,GDP,13925350061.211365,33630069,414.07438269637106
CAN,2010,GDP,14506945700.126764,34005902,426.60082064950853
CAN,2011,GDP,15010354847.52303,34339221,437.11984169713776
CAN,2012,GDP,15229130068.435598,34713395,438.7104767031746
CAN,2013,GDP,15707235812.877167,35080992,447.74206535770617
CAN,2014,GDP,16164082665.482498,35434066,456.173521420954
CAN,2015,GDP,15948509745.66561,35704498,446.6806884013776
CAN,2016,GDP,16001078791.758108,36110803,443.1105780660183
CAN,2017,GDP,16644584719.610212,36545075,455.453565757088
CAN,2018,GDP,16997982311.83431,37072620,458.5050183082369
