REF_AREA,TIME_PERIOD,measure,OBS_VALUE,Population,OBS_VALUE_per_capita
AUS,1992,GDP,542843415183.37463,17478635,31057.540544978176
AUS,1993,GDP,560396823165.0155,17634808,31777.88060777387
AUS,1994,GDP,584047149188.7732,17805468,32801.56125010436
AUS,1995,GDP,595520098743.0819,18004882,33075.47912522181
AUS,1996,GDP,610735538564.6494,18224767,33511.29474328256
AUS,1997,GDP,645127011627.5695,18423037,35017.408455922305
AUS,1998,GDP,675021636679.6056,18607584,36276.69431343723
AUS,1999,GDP,708857671677.8477,18812264,37680.614713776486
AUS,2000,GDP,724529283184.5358,19028802,38075.40186631485
AUS,2001,GDP,741844365846.5369,19274701,38487.9830741103
AUS,2002,GDP,764822090881.5231,19495210,39231.282498702145
AUS,2003,GDP,800956414830.9968,19720737,40614.933145297604
AUS,1992,consumption,418703347954.55786,17478635,23955.151415116678
AUS,1993,consumption,426000692348.3194,17634808,24156.809212117274
AUS,1994,consumption,443906129567.2358,17805468,24930.888060186666
AUS,1995,consumption,450819102321.6933,18004882,25038.71462871533
AUS,1996,consumption,457496547348.3289,18224767,25103.012145413377
AUS,1997,consumption,485625975097.7124,18423037,26359.713390235953
AUS,1998,consumption,515288936638.5344,18607584,27692.414912034492
AUS,1999,consumption,538354167712.55457,18812264,28617.191833612083
AUS,2000,consumption,554743863533.7031,19028802,29152.852793029382
AUS,2001,consumption,561044003635.8723,19274701,29107.79283351126
AUS,2002,consumption,582715209470.8372,19495210,29890.17350779177
AUS,2003,consumption,606002366134.9073,19720737,30729.194661178604
AUT,1992,GDP,304390339513.00836,7840709,38821.78761040722
AUT,1993,GDP,303411114328.73566,7905632,38379.109263969745
AUT,1994,GDP,309406417942.05194,7936118,38987.12417608356
AUT,1995,GDP,316327052864.14417,7948278,39798.186835455956
AUT,1996,GDP,320477543403.8205,7959016,40265.97551805656
AUT,1997,GDP,327214139422.7843,7968041,41065.8202465053
AUT,1998,GDP,337165542308.2873,7976789,42268.329061767494
AUT,1999,GDP,348633047508.4448,7992323,43620.990731786595
AUT,2000,GDP,356316610815.3439,8011566,44475.27622132101
AUT,2001,GDP,358502688155.4546,8042293,44577.17322105208
AUT,2002,GDP,361300755266.9157,8080292,44713.82411265777
AUT,2003,GDP,365105953323.02704,8114402,44994.80717408714
AUT,1992,consumption,226271140435.44113,7840709,28858.505070834937
AUT,1993,consumption,227809283421.9869,7905632,28816.07484663932
AUT,1994,consumption,231741390068.115,7936118,29200.849844737062
AUT,1995,consumption,234997217306.53375,7948278,29565.802467721154
AUT,1996,consumption,240150550175.76544,7959016,30173.397085238357
AUT,1997,consumption,242609174039.91486,7968041,30447.78183745727
AUT,1998,consumption,248426914731.1042,7976789,31143.72396350263
AUT,1999,consumption,255016694316.92584,7992323,31907.70622219921
AUT,2000,consumption,259741103722.19315,8011566,32420.765643345276
AUT,2001,consumption,261623458223.30325,8042293,32530.95332678171
AUT,2002,consumption,260931462362.57205,8080292,32292.330817075923
AUT,2003,consumption,266679869845.21823,8114402,32865.00592960741
BEL,1992,GDP,361721145313.37354,10045165,36009.47772519153
BEL,1993,GDP,362560805855.21387,10084479,35952.358654841155
BEL,1994,GDP,373225113331.5486,10115601,36895.989999165504
BEL,1995,GDP,381194721730.5564,10136814,37604.983353798976
BEL,1996,GDP,380176492473.2585,10156641,37431.32128754561
BEL,1997,GDP,391218976594.44556,10181246,38425.451717250085
BEL,1998,GDP,402277915992.966,10203012,39427.36870180746
BEL,1999,GDP,414379599783.5969,10226419,40520.49889444163
BEL,2000,GDP,427559927360.6729,10251251,41708.073225470034
BEL,2001,GDP,430209348910.0065,10286571,41822.42546228539
BEL,2002,GDP,437530091003.839,10332786,42343.86456893997
BEL,2003,GDP,443207887729.4626,10376131,42714.17619240376
BEL,1992,consumption,271666900967.2551,10045165,27044.543416385404
BEL,1993,consumption,271759358949.56686,10084479,26948.27952436282
BEL,1994,consumption,277743793419.63007,10115601,27456.97397709044
