REF_AREA,TIME_PERIOD,measure,OBS_VALUE,Population,OBS_VALUE_per_capita
AUS,1993,GDP,388396946564885e6,17634808,22024449972173.5
AUS,1994,GDP,404749618320611e6,17805468,22731759610059.73
AUS,1995,GDP,422021374045802e6,18004882,23439274639278.504
AUS,1996,GDP,438016030534351e6,18224767,24034108668404.43
AUS,1997,GDP,457551908396947e6,18423037,24835856780667.977
AUS,1998,GDP,481848091603053e6,18607584,25895252796013.336
AUS,1999,GDP,49996564885496195e4,18812264,26576580514443.234
AUS,2000,GDP,510248854961832e6,19028802,26814554850159.88
AUS,2001,GDP,530045038167939e6,19274701,27499520649785.387
AUS,2002,GDP,54705419847328196e4,19495210,28060954381783.113
AUS,2003,GDP,567695419847328e6,19720737,28786724342367.53
AUS,1993,consumption,30872076923076896e4,17634808,17506330050815.918
AUS,1994,consumption,32262923076923104e4,17805468,18119671483458.4
AUS,1995,consumption,33518076923076896e4,18004882,18616104744855.81
AUS,1996,consumption,34382461538461496e4,18224767,18865789361510.902
AUS,1997,consumption,35959307692307703e4,18423037,19518664426667.387
AUS,1998,consumption,376388461538461e6,18607584,20227691114464.996
AUS,1999,consumption,390757692307692e6,18812264,20771433587562.453
AUS,2000,consumption,40110923076923104e4,19028802,21079058511893.234
AUS,2001,consumption,412506153846154e6,19274701,21401429461663.453
AUS,2002,consumption,42890923076923104e4,19495210,22000749454313.703
AUS,2003,consumption,44972076923076896e4,19720737,22804460565077.715
AUT,1993,GDP,19036870897155398e4,7905632,24080137928448.223
AUT,1994,GDP,195434354485777e6,7936118,24625938586822.55
AUT,1995,GDP,19916630196936498e4,7948278,25057792640036.617
AUT,1996,GDP,204382932166302e6,7959016,25679422200722.05
AUT,1997,GDP,208142231947484e6,7968041,26122133652108.97
AUT,1998,GDP,215554704595186e6,7976789,27022741180089.633
AUT,1999,GDP,222713347921225e6,7992323,27865909313377.973
AUT,2000,GDP,23018818380744e7,8011566,28731983710480.57
AUT,2001,GDP,23183916849015302e4,8042293,28827495900752.81
AUT,2002,GDP,234542669584245e6,8080292,29026509139056.484
AUT,2003,GDP,23631947483588598e4,8114402,29123461573124.67
AUT,1993,consumption,155677309007982e6,7905632,19691949866624.453
AUT,1994,consumption,160477765108324e6,7936118,20221191911249.81
AUT,1995,consumption,162217787913341e6,7948278,20409173900729.316
AUT,1996,consumption,166986316989738e6,7959016,20980774129583.1
AUT,1997,consumption,168324971493729e6,7968041,21125013223919.03
AUT,1998,consumption,17133409350057e7,7976789,21479080554916.27
AUT,1999,consumption,175152793614595e6,7992323,21915129507978.47
