REF_AREA,TIME_PERIOD,measure,OBS_VALUE,Population,OBS_VALUE_per_capita
AUS,1993,GDP,387400000000,17634808,21967.91708761445
AUS,1994,GDP,403700000000,17805468,22672.810397345354
AUS,1995,GDP,420900000000,18004882,23376.99297335023
AUS,1996,GDP,436800000000,18224767,23967.384603600145
AUS,1997,GDP,456300000000,18423037,24767.90335925613
AUS,1998,GDP,480600000000,18607584,25828.17844594978
AUS,1999,GDP,498600000000,18812264,26503.986973604027
AUS,2000,GDP,508900000000,19028802,26743.669937813214
AUS,2001,GDP,528600000000,19274701,27424.54993205861
AUS,2002,GDP,545600000000,19495210,27986.36177809831
AUS,2003,GDP,566200000000,19720737,28710.89452691347
AUS,1993,consumption,273600000000.00003,17634808,15514.770560586769
AUS,1994,consumption,287100000000,17805468,16124.2602553328
AUS,1995,consumption,298100000000,18004882,16556.620587682828
AUS,1996,consumption,306700000000,18224767,16828.747385357517
AUS,1997,consumption,321300000000,18423037,17440.121300304614
AUS,1998,consumption,337500000000,18607584,18137.765762605184
AUS,1999,consumption,351100000000,18812264,18663.35705261206
AUS,2000,consumption,361200000000,19028802,18981.75197787018
AUS,2001,consumption,372300000000,19274701,19315.47472513322
AUS,2002,consumption,387800000000,19495210,19892.0657946234
AUS,2003,consumption,408500000000,19720737,20714.23598418254
AUT,1993,GDP,190400000000,7905632,24084.09599637322
AUT,1994,GDP,195400000000,7936118,24621.60970892822
AUT,1995,GDP,199200000000,7948278,25062.032304355736
AUT,1996,GDP,204400000000,7959016,25681.56666603007
AUT,1997,GDP,208100000000,7968041,26116.833485169063
AUT,1998,GDP,215600000000,7976789,27028.41958086142
AUT,1999,GDP,222700000000,7992323,27864.23922056203
AUT,2000,GDP,230200000000,8011566,28733.458602225834
AUT,2001,GDP,231800000000,8042293,28822.625587006092
AUT,2002,GDP,234500000000,8080292,29021.22844075437
AUT,2003,GDP,236300000000,8114402,29121.061539716666
AUT,1993,consumption,140100000000,7905632,17721.543325062437
AUT,1994,consumption,144600000000,7936118,18220.495209370627
AUT,1995,consumption,145300000000,7948278,18280.689226018516
AUT,1996,consumption,149600000000,7959016,18796.293411145296
AUT,1997,consumption,151500000000,7968041,19013.456381562293
AUT,1998,consumption,154300000000,7976789,19343.623104484774
AUT,1999,consumption,157300000000,7992323,19681.3867507607
AUT,2000,consumption,162700000000,8011566,20308.13950730731
AUT,2001,consumption,163600000000,8042293,20342.457057955984
AUT,2002,consumption,164000000000,8080292,20296.29622295828
AUT,2003,consumption,165000000000,8114402,20334.215632895684
BEL,1993,GDP,222400000000,10084479,22053.692610198304
BEL,1994,GDP,229600000000,10115601,22697.613320256503
BEL,1995,GDP,235000000000,10136814,23182.826477826267
BEL,1996,GDP,237800000000,10156641,23413.252471954063
BEL,1997,GDP,246000000000,10181246,24162.072107873635
BEL,1998,GDP,251000000000,10203012,24600.578731064907
BEL,1999,GDP,259100000000.00003,10226419,25336.337187044657
BEL,2000,GDP,269100000000.00003,10251251,26250.45470060191
BEL,2001,GDP,271000000000,10286571,26345.027900939975
BEL,2002,GDP,273500000000,10332786,26469.14394626967
