REF_AREA,TIME_PERIOD,measure,OBS_VALUE,Population,OBS_VALUE_per_capita
AUS,1992,GDP,5428434151.833746,17478635,310.5754054497817
AUS,1993,GDP,5603968231.650155,17634808,317.7788060777387
AUS,1994,GDP,5840471491.8877325,17805468,328.0156125010436
AUS,1995,GDP,5955200987.4308195,18004882,330.7547912522181
AUS,1996,GDP,6107355385.646493,18224767,335.1129474328255
AUS,1997,GDP,6451270116.275694,18423037,350.174084559223
AUS,1998,GDP,6750216366.796056,18607584,362.7669431343723
AUS,1999,GDP,7088576716.778476,18812264,376.8061471377648
AUS,2000,GDP,7245292831.845358,19028802,380.75401866314854
AUS,2001,GDP,7418443658.465368,19274701,384.879830741103
AUS,2002,GDP,7648220908.81523,19495210,392.31282498702143
AUS,2003,GDP,8009564148.309969,19720737,406.14933145297607
AUS,1992,GNI,5284159305.19595,17478635,302.32105111159706
AUS,1993,GNI,5480924284.138929,17634808,310.8014719603939
AUS,1994,GNI,5639641665.01439,17805468,316.7365027987127
AUS,1995,GNI,5745066485.717807,18004882,319.0838176955454
AUS,1996,GNI,5902664286.220647,18224767,323.88146779712724
AUS,1997,GNI,6248371734.668923,18423037,339.1607873701238
AUS,1998,GNI,6540086533.176902,18607584,351.4742447583148
AUS,1999,GNI,6884710581.748454,18812264,365.9692731161148
AUS,2000,GNI,7042980651.154675,19028802,370.12212598326863
AUS,2001,GNI,7217700143.245302,19274701,374.4649602214479
AUS,2002,GNI,7433551920.17197,19495210,381.3014540583031
AUS,2003,GNI,7782114519.064143,19720737,394.61580563972547
AUT,1992,GDP,3043903434.3609047,7840709,388.21788110755097
AUT,1993,GDP,3034111181.143323,7905632,383.79109742817815
AUT,1994,GDP,3094064216.1905236,7936118,389.8712463940838
AUT,1995,GDP,3163270564.6046586,7948278,397.9818728792147
AUT,1996,GDP,3204775151.5887957,7959016,402.6597196925846
AUT,1997,GDP,3272140766.909262,7968041,410.6581237357165
AUT,1998,GDP,3371654559.7708983,7976789,422.6831823896681
AUT,1999,GDP,3486330131.713424,7992323,436.2098643552599
AUT,2000,GDP,3563165856.5254874,8011566,444.75273080512443
AUT,2001,GDP,3585026848.870287,8042293,445.7717281464735
AUT,2002,GDP,3613007215.5868373,8080292,447.13819940997644
AUT,2003,GDP,3651059976.6623726,8114402,449.9481263884107
AUT,1992,GNI,3051484339.2667966,7840709,389.1847458267864
AUT,1993,GNI,3042569869.7323,7905632,384.8610547179909
AUT,1994,GNI,3098903571.7410936,7936118,390.48103515359696
AUT,1995,GNI,3151158153.340723,7948278,396.4579690520039
AUT,1996,GNI,3202921577.3400035,7959016,402.42682981665115
AUT,1997,GNI,3256919578.564177,7968041,408.7478438632754
AUT,1998,GNI,3351049029.544557,7976789,420.0999963198923
AUT,1999,GNI,3430877428.206215,7992323,429.27161830249037
AUT,2000,GNI,3531958958.050983,8011566,440.8575000257107
AUT,2001,GNI,3535737352.4781656,8042293,439.6429416931422
AUT,2002,GNI,3591891415.9720893,8080292,444.5249523126255
AUT,2003,GNI,3641833421.5658655,8114402,448.81106723155517
BEL,1992,GDP,3617211453.133735,10045165,360.0947772519152
BEL,1993,GDP,3625608058.5521383,10084479,359.5235865484115
BEL,1994,GDP,3732251133.3154855,10115601,368.959899991655
BEL,1995,GDP,3811947217.3055644,10136814,376.0498335379898
BEL,1996,GDP,3801764924.7325854,10156641,374.3132128754561
BEL,1997,GDP,3912189765.944456,10181246,384.2545171725009
BEL,1998,GDP,4022779159.9296603,10203012,394.27368701807467
BEL,1999,GDP,4143795997.835969,10226419,405.2049889444163
BEL,2000,GDP,4275599273.6067295,10251251,417.08073225470037
BEL,2001,GDP,4302093489.100065,10286571,418.22425462285395
BEL,2002,GDP,4375300910.03839,10332786,423.4386456893998
BEL,2003,GDP,4432078877.294626,10376131,427.1417619240376
