REF_AREA,TIME_PERIOD,measure,OBS_VALUE,Population,OBS_VALUE_per_capita
AUT,1986,GDP,252599759898.0433,7569794,33369.43645996751
AUT,1987,GDP,258641217341.99866,7574586,34145.921287579105
AUT,1988,GDP,266146336207.09473,7585317,35087.042005903604
AUT,1989,GDP,277560228798.0971,7619566,36427.301607217145
AUT,1990,GDP,288886644593.52313,7677850,37625.981830007506
AUT,1991,GDP,299709418307.91437,7754891,38647.79251028987
AUT,1992,GDP,304390343436.09045,7840709,38821.78811075509
AUT,1993,GDP,303411118114.3323,7905632,38379.10974281781
AUT,1994,GDP,309406421619.0524,7936118,38987.12463940839
AUT,1995,GDP,316327056460.4658,7948278,39798.187287921464
AUT,1996,GDP,320477515158.8796,7959016,40265.971969258455
AUT,1997,GDP,327214076690.9263,7968041,41065.81237357166
AUT,1998,GDP,337165455977.0898,7976789,42268.31823896681
AUT,1999,GDP,348633013171.34247,7992323,43620.986435526
AUT,2000,GDP,356316585652.54877,8011566,44475.273080512445
AUT,2001,GDP,358502684887.0287,8042293,44577.172814647354
AUT,2002,GDP,361300721558.6838,8080292,44713.81994099765
AUT,2003,GDP,365105997666.2373,8114402,44994.812638841075
AUT,2004,GDP,373249168607.66187,8166432,45705.29315711707
AUT,2005,GDP,382779080607.7658,8222090,46554.961160455045
AUT,2006,GDP,397643406266.7476,8265675,48107.795947305895
AUT,2007,GDP,413021802948.92896,8293654,49799.738806191934
AUT,2008,GDP,413819150725.00586,8319388,49741.53756562452
AUT,2009,GDP,403873408365.22174,8338752,48433.31572460984
AUT,2010,GDP,407455133620.8057,8357367,48754.00752662959
AUT,2011,GDP,413428036468.58344,8384901,49306.251375965374
AUT,2012,GDP,414425970112.1956,8420328,49217.319101131885
AUT,2013,GDP,412205790136.2493,8472176,48654.06362382572
AUT,2014,GDP,416960150062.2713,8538350,48833.808647135724
AUT,2015,GDP,428239775767.29474,8618709,49687.229928205576
AUT,2016,GDP,441307927270.8615,8737663,50506.40283000861
AUT,2017,GDP,446445872682.4676,8790624,50786.59634201936
AUT,1986,GNI,252297716327.56836,7569794,33329.535298789946
AUT,1987,GNI,258375447976.84103,7574586,34110.83430524665
AUT,1988,GNI,266885024848.2513,7585317,35184.42602309848
AUT,1989,GNI,278610544732.02893,7619566,36565.14619494456
AUT,1990,GNI,290204281182.0593,7677850,37797.59713748762
AUT,1991,GNI,299489561946.09753,7754891,38619.44183949169
AUT,1992,GNI,305148433926.67957,7840709,38918.47458267863
AUT,1993,GNI,304256986973.23004,7905632,38486.1054717991
AUT,1994,GNI,309890357174.1094,7936118,39048.1035153597
AUT,1995,GNI,315115815334.0723,7948278,39645.79690520039
AUT,1996,GNI,320292157734.00037,7959016,40242.682981665115
AUT,1997,GNI,325691957856.4177,7968041,40874.78438632755
AUT,1998,GNI,335104902954.4557,7976789,42009.99963198922
AUT,1999,GNI,343087742820.62146,7992323,42927.16183024904
AUT,2000,GNI,353195895805.0983,8011566,44085.750002571076
AUT,2001,GNI,353573735247.8166,8042293,43964.29416931422
AUT,2002,GNI,359189141597.209,8080292,44452.495231262554
AUT,2003,GNI,364183342156.5865,8114402,44881.106723155506
AUT,2004,GNI,372731055127.13806,8166432,45641.848867061904
AUT,2005,GNI,381963178608.4033,8222090,46455.72824043562
AUT,2006,GNI,398578998757.88495,8265675,48220.98603657717
AUT,2007,GNI,412602939003.785,8293654,49749.234656254645
AUT,2008,GNI,417292951437.0288,8319388,50159.09240403607
AUT,2009,GNI,403697341437.1833,8338752,48412.20142260896
AUT,2010,GNI,410884927495.52734,8357367,49164.399205578426
AUT,2011,GNI,414831588476.92126,8384901,49473.64178502779
AUT,2012,GNI,414848395059.3202,8420328,49267.486380497314
AUT,2013,GNI,413301654457.1435,8472176,48783.41224936114
AUT,2014,GNI,417412080509.5032,8538350,48886.73812967414
AUT,2015,GNI,423871544404.00946,8618709,49180.39864253561
AUT,2016,GNI,441118954265.53467,8737663,50484.77542170425
AUT,2017,GNI,442214848951.3447,8790624,50305.28537579866
BEL,1986,GDP,297636897005.0139,9861824,30180.714744555764
BEL,1987,GDP,304894374030.54376,9870234,30890.288318447543
BEL,1988,GDP,322476919062.0074,9901665,32567.948831030677
BEL,1989,GDP,339134474805.60486,9937697,34126.06309143908
BEL,1990,GDP,347624363338.68567,9967378,34876.20950451419
BEL,1991,GDP,352835032481.4144,10004486,35267.68216592181
BEL,1992,GDP,361721145313.37354,10045165,36009.47772519153
BEL,1993,GDP,362560805855.21387,10084479,35952.358654841155
BEL,1994,GDP,373225113331.5486,10115601,36895.989999165504
BEL,1995,GDP,381194721730.5564,10136814,37604.983353798976
BEL,1996,GDP,380176492473.2585,10156641,37431.32128754561
BEL,1997,GDP,391218976594.44556,10181246,38425.451717250085
BEL,1998,GDP,402277915992.966,10203012,39427.36870180746
BEL,1999,GDP,414379599783.5969,10226419,40520.49889444163
BEL,2000,GDP,427559927360.6729,10251251,41708.073225470034
BEL,2001,GDP,430209348910.0065,10286571,41822.42546228539
BEL,2002,GDP,437530091003.839,10332786,42343.86456893997
BEL,2003,GDP,443207887729.4626,10376131,42714.17619240376
BEL,2004,GDP,458216160830.30634,10421136,43969.88589634626
BEL,2005,GDP,465669023325.05426,10478620,44439.918932555454
BEL,2006,GDP,479776028126.64526,10547956,45485.213260905264
BEL,2007,GDP,497947633310.1284,10624835,46866.38741308721
BEL,2008,GDP,487820219909.58057,10709108,45551.90029922012
BEL,2009,GDP,482517819185.2764,10796498,44692.0676672451
BEL,2010,GDP,493237622390.72864,10895591,45269.46931017589
BEL,2011,GDP,496743360907.98236,10993609,45184.73968903045
BEL,2012,GDP,494746694035.19794,11067748,44701.658732670636
BEL,2013,GDP,497727563968.20215,11125033,44739.42360154816
BEL,2014,GDP,509041117054.3657,11179778,45532.30994876336
BEL,2015,GDP,519423798559.4964,11238474,46218.35656331068
BEL,2016,GDP,525217937102.5674,11295003,46500.026348161875
BEL,2017,GDP,532217021072.1959,11349081,46895.164557570424
BEL,1986,GNI,298246275457.1444,9861824,30242.506402177165
BEL,1987,GNI,306461739195.8069,9870234,31049.085482249648
BEL,1988,GNI,324078748482.6166,9901665,32729.722575204934
BEL,1989,GNI,339792094232.4856,9937697,34192.23731941974
BEL,1990,GNI,348722684757.00616,9967378,34986.401113412794
BEL,1991,GNI,355292985843.17053,10004486,35513.36728775177
BEL,1992,GNI,364151356680.6914,10045165,36251.406192002956
BEL,1993,GNI,368588224095.8419,10084479,36550.05123178321
BEL,1994,GNI,382367904823.2663,10115601,37799.82077419486
BEL,1995,GNI,389565503128.6572,10136814,38430.76366288828
BEL,1996,GNI,389018656191.1746,10156641,38301.90081456799
BEL,1997,GNI,400738749211.60706,10181246,39360.481930365604
BEL,1998,GNI,412047807612.7997,10203012,40384.91845474647
BEL,1999,GNI,424032477576.03314,10226419,41464.41462803677
BEL,2000,GNI,438578947473.48425,10251251,42782.96838829566
BEL,2001,GNI,438256765829.3025,10286571,42604.74805737524
BEL,2002,GNI,445091312367.2108,10332786,43075.634428818215
BEL,2003,GNI,451670599034.7384,10376131,43529.77030019555
BEL,2004,GNI,464578736854.9507,10421136,44580.43123657063
BEL,2005,GNI,471486626828.7743,10478620,44995.10687750622
BEL,2006,GNI,486675829250.4998,10547956,46139.34958114158
BEL,2007,GNI,504874173432.61804,10624835,47518.30719560521
BEL,2008,GNI,499685266664.9894,10709108,46659.84007864982
BEL,2009,GNI,491970306226.6175,10796498,45567.58184242868
BEL,2010,GNI,500752779269.7756,10895591,45959.212241885325
BEL,2011,GNI,497528323316.77576,10993609,45256.141392401325
BEL,2012,GNI,505916327124.9227,11067748,45710.86431719648
BEL,2013,GNI,509161707612.03375,11125033,45767.20874554114
BEL,2014,GNI,519368927897.6807,11179778,46456.10385981553
BEL,2015,GNI,526734566836.4171,11238474,46868.86910415214
BEL,2016,GNI,529926874394.0875,11295003,46916.930822779555
BEL,2017,GNI,536963205944.07825,11349081,47313.36448687592
DEU,1986,GDP,2551039266122.2695,77720438,32823.2744406596
DEU,1987,GDP,2613379908394.8003,77839920,33573.77433577527
DEU,1988,GDP,2721406286277.6475,78144617,34825.25592617144
DEU,1989,GDP,2830156572819.423,78751284,35937.910203717096
DEU,1990,GDP,2999191318176.7026,79433034,37757.481580984335
DEU,1991,GDP,3123252842954.483,80013901,39033.87791272023
DEU,1992,GDP,3193844718018.551,80624601,39613.773940022984
DEU,1993,GDP,3141888199518.319,81156368,38714.00700827714
DEU,1994,GDP,3199957033409.4536,81438346,39293.001277425916
DEU,1995,GDP,3252252156978.0815,81678046,39817.947615667515
DEU,1996,GDP,3254084855442.361,81914834,39725.22065346993
DEU,1997,GDP,3256101257902.8594,82034775,39691.71924836582
DEU,1998,GDP,3317128178967.0073,82047197,40429.5125276127
DEU,1999,GDP,3387396905166.3394,82100243,41259.27989234258
DEU,2000,GDP,3423570364970.74,82211501,41643.44797658834
DEU,2001,GDP,3460803614738.734,82349926,42025.582569907034
DEU,2002,GDP,3455574725454.7886,82488493,41891.597237141774
DEU,2003,GDP,3447045476564.516,82534175,41765.068549658565
DEU,2004,GDP,3469597009422.3574,82516268,42047.4300827851
DEU,2005,GDP,3465423090096.9946,82469421,42020.703529578495
DEU,2006,GDP,3558987819405.2476,82376447,43203.9490536081
DEU,2007,GDP,3645423955479.1924,82266373,44312.44289181428
DEU,2008,GDP,3617815508813.3857,82110097,44060.54359932598
DEU,2009,GDP,3473781865229.183,81902308,42413.72374059573
DEU,2010,GDP,3602953578635.5366,81776936,44058.30977374277
DEU,2011,GDP,3707388536849.1973,80274981,46183.611514641125
DEU,2012,GDP,3703682269021.415,80425826,46050.9074413661
DEU,2013,GDP,3736371324272.3994,80645605,46330.749509193956
DEU,2014,GDP,3855208814392.43,80982495,47605.458616611286
DEU,2015,GDP,3967282765427.5293,81686608,48567.113539927246
DEU,2016,GDP,4086217874172.1943,82348669,49620.93405750364
DEU,2017,GDP,4199182397440.1274,82657000,50802.50187449493
DEU,1986,GNI,2564518233653.735,77720438,32996.70330799905
DEU,1987,GNI,2623380990496.876,77839920,33702.25702309144
DEU,1988,GNI,2745423283951.491,78144617,35132.59632396037
DEU,1989,GNI,2858682130005.921,78751284,36300.13359535726
DEU,1990,GNI,3029161454376.9365,79433034,38134.782241566354
DEU,1991,GNI,3132135068231.436,80013901,39144.88643956299
DEU,1992,GNI,3197732302964.906,80624601,39661.99228650949
DEU,1993,GNI,3144628345318.6016,81156368,38747.77078883818
DEU,1994,GNI,3193404750467.6455,81438346,39212.544302749535
DEU,1995,GNI,3247854607704.542,81678046,39764.1075755478
DEU,1996,GNI,3254471250178.276,81914834,39729.937683549186
DEU,1997,GNI,3249745241254.4863,82034775,39614.23970815409
DEU,1998,GNI,3298069917715.558,82047197,40197.228403982626
DEU,1999,GNI,3362777924655.0376,82100243,40959.41500020941
DEU,2000,GNI,3403202495675.0874,82211501,41395.698342438576
DEU,2001,GNI,3435663281037.3184,82349926,41720.29591183019
DEU,2002,GNI,3419203035883.557,82488493,41450.66677219521
DEU,2003,GNI,3411599891320.342,82534175,41335.60299500591
DEU,2004,GNI,3490495935692.3496,82516268,42300.70045936093
DEU,2005,GNI,3493741481395.692,82469421,42364.0840329859
DEU,2006,GNI,3618636782672.802,82376447,43928.051214357445
DEU,2007,GNI,3697975464443.9556,82266373,44951.23985159715
DEU,2008,GNI,3652352199996.591,82110097,44481.158023678756
DEU,2009,GNI,3551715859191.9424,81902308,43365.27194315381
DEU,2010,GNI,3675308572766.1157,81776936,44943.09462470098
DEU,2011,GNI,3802755357754.7837,80274981,47371.613301967445
DEU,2012,GNI,3793182278698.1724,80425826,47163.734180338695
DEU,2013,GNI,3824140491725.1226,80645605,47419.08119760677
DEU,2014,GNI,3936133489994.88,80982495,48604.74464259072
DEU,2015,GNI,4045526279940.6777,81686608,49524.963503695464
DEU,2016,GNI,4203454566339.2163,82348669,51044.59631690242
DEU,2017,GNI,4305941165185.2896,82657000,52094.089613526856
ESP,1986,GDP,821086325682.9008,38571941,21287.14045484257
ESP,1987,GDP,872365481665.7863,38682322,22552.04539339149
ESP,1988,GDP,926416141450.19,38764307,23898.689623167775
ESP,1989,GDP,972087057086.2926,38821377,25039.994255904232
ESP,1990,GDP,1014559332729.7932,38860827,26107.507509549225
ESP,1991,GDP,1050220254672.1838,38941622,26969.09375454838
ESP,1992,GDP,1067846781062.7123,39147940,27277.215124543265
ESP,1993,GDP,1056510363950.1558,39356082,26844.90707052993
ESP,1994,GDP,1073027119980.0566,39547353,27132.716568415
ESP,1995,GDP,1105347407736.48,39718895,27829.25878820345
ESP,1996,GDP,1133888127661.5525,39884246,28429.473824365454
ESP,1997,GDP,1180253815997.464,40049974,29469.527645572605
ESP,1998,GDP,1240704340603.8125,40214066,30852.49675085858
ESP,1999,GDP,1299308003197.2554,40369667,32185.254418800516
ESP,2000,GDP,1366606032941.6106,40554387,33698.10602590567
ESP,2001,GDP,1428012948713.0076,40766049,35029.46652281676
ESP,2002,GDP,1481969108269.2197,41423520,35776.03033902526
ESP,2003,GDP,1539816856510.7588,42196231,36491.810287766195
ESP,2004,GDP,1601218352781.5474,42859172,37359.99269378203
ESP,2005,GDP,1671620967931.6135,43662613,38284.95028301704
ESP,2006,GDP,1748568979510.7476,44360521,39417.232712635356
ESP,2007,GDP,1823994551810.16,45236004,40321.74353442359
ESP,2008,GDP,1809319971336.9092,45983169,39347.43974119986
ESP,2009,GDP,1750206576968.4043,46367550,37746.36738340508
ESP,2010,GDP,1725919738280.6628,46562483,37066.74616730948
ESP,2011,GDP,1659338222812.3328,46736257,35504.302854469766
ESP,2012,GDP,1570117937700.009,46749303,33585.911167488615
ESP,2013,GDP,1532896615354.2834,46581124,32908.10705543051
ESP,2014,GDP,1555119700774.3022,46433050,33491.65520624431
ESP,2015,GDP,1635394289496.6453,46384379,35257.43633425911
ESP,2016,GDP,1692762207653.1104,46427100,36460.649225411675
ESP,2017,GDP,1729858873764.7458,46510461,37192.89889998609
ESP,1986,GNI,810524393766.9333,38571941,21013.316228160085
ESP,1987,GNI,861328122896.6799,38682322,22266.71198530119
ESP,1988,GNI,913187011800.6539,38764307,23557.41873060323
ESP,1989,GNI,961336462324.1835,38821377,24763.06964392797
ESP,1990,GNI,1002906305327.3135,38860827,25807.641852997967
ESP,1991,GNI,1038432077756.3313,38941622,26666.379683833697
ESP,1992,GNI,1054792222539.7097,39147940,26943.747807412336
ESP,1993,GNI,1047777731297.5675,39356082,26623.019316241072
ESP,1994,GNI,1050260438754.8043,39547353,26557.03502469064
ESP,1995,GNI,1096038893057.2799,39718895,27594.89892801096
ESP,1996,GNI,1117435799276.5793,39884246,28016.971896035826
ESP,1997,GNI,1165843810467.6038,40049974,29109.72702423237
ESP,1998,GNI,1224672855538.2058,40214066,30453.84307914066
ESP,1999,GNI,1287335218350.8618,40369667,31888.675681938665
ESP,2000,GNI,1356830828840.4485,40554387,33457.06665077809
ESP,2001,GNI,1408247739344.6665,40766049,34544.62166163482
ESP,2002,GNI,1465183536570.8503,41423520,35370.8119582993
ESP,2003,GNI,1527190359438.373,42196231,36192.577470683886
ESP,2004,GNI,1586292670317.6118,42859172,37011.74325807348
ESP,2005,GNI,1648550948065.4363,43662613,37756.580167692584
ESP,2006,GNI,1716173573222.9253,44360521,38686.957108166636
ESP,2007,GNI,1779182699852.7212,45236004,39331.11996039087
ESP,2008,GNI,1759054396709.2761,45983169,38254.30989128383
ESP,2009,GNI,1716596751603.3645,46367550,37021.510767840104
ESP,2010,GNI,1700694578771.2632,46562483,36524.99757736853
ESP,2011,GNI,1630167942195.9,46736257,34880.15615362394
ESP,2012,GNI,1557367106387.4631,46749303,33313.16204623335
ESP,2013,GNI,1523042993087.6367,46581124,32696.57024780331
ESP,2014,GNI,1549603918866.4768,46433050,33372.86520843401
ESP,2015,GNI,1634115594066.8533,46384379,35229.86896228261
ESP,2016,GNI,1695490604476.75,46427100,36519.41655793168
ESP,2017,GNI,1729128503888.8801,46510461,37177.19555368157
