REF_AREA,TIME_PERIOD,measure,OBS_VALUE,Population,OBS_VALUE_per_capita
AUS,1986,GDP,489743653712.44946,16018350,30573.913899524574
AUS,1987,GDP,511483771496.2444,16263874,31449.07366450603
AUS,1988,GDP,541299311107.20886,16532164,32742.19340596965
AUS,1989,GDP,553178373982.694,16814416,32899.053644366475
AUS,1990,GDP,528933531104.95514,17065128,30994.99348056195
AUS,1991,GDP,522486025668.6795,17284036,30229.399294741084
AUS,1992,GDP,542843415183.37463,17478635,31057.540544978176
AUS,1993,GDP,560396823165.0155,17634808,31777.88060777387
AUS,1994,GDP,584047149188.7732,17805468,32801.56125010436
AUS,1995,GDP,595520098743.0819,18004882,33075.47912522181
AUS,1996,GDP,610735538564.6494,18224767,33511.29474328256
AUS,1997,GDP,645127011627.5695,18423037,35017.408455922305
AUS,1998,GDP,675021636679.6056,18607584,36276.69431343723
AUS,1999,GDP,708857671677.8477,18812264,37680.614713776486
AUS,2000,GDP,724529283184.5358,19028802,38075.40186631485
AUS,2001,GDP,741844365846.5369,19274701,38487.9830741103
AUS,2002,GDP,764822090881.5231,19495210,39231.282498702145
AUS,2003,GDP,800956414830.9968,19720737,40614.933145297604
AUS,2004,GDP,838193011519.901,19932722,42051.10629245223
AUS,2005,GDP,881717178711.3593,20176844,43699.45957412166
AUS,2006,GDP,927760712796.0015,20450966,45365.12909932966
AUS,2007,GDP,982428533851.4019,20827622,47169.500860511194
AUS,2008,GDP,1007789174687.5212,21249199,47427.16065144485
AUS,2009,GDP,1023928983770.1423,21691653,47203.82461263521
AUS,2010,GDP,1081869038264.4806,22031750,49104.997935455904
AUS,2011,GDP,1108228194577.3982,22340024,49607.29650860707
AUS,2012,GDP,1116471255604.9192,22733465,49111.35436700561
AUS,2013,GDP,1133964242601.254,23128129,49029.65746175378
AUS,2014,GDP,1123291922339.7498,23475686,47849.16284617837
AUS,2015,GDP,1129436903665.6938,23815995,47423.460731566905
AUS,2016,GDP,1182365920306.593,24190907,48876.46090767052
AUS,2017,GDP,1215126912336.8123,24592588,49410.29030115953
AUS,1986,GNI,480835807404.75574,16018350,30017.811285479198
AUS,1987,GNI,501993605086.6418,16263874,30865.56161752371
AUS,1988,GNI,526568909821.37335,16532164,31851.178697560303
AUS,1989,GNI,533932389754.0942,16814416,31754.44153124879
AUS,1990,GNI,507707207488.5008,17065128,29751.15144102645
AUS,1991,GNI,502368079517.2468,17284036,29065.43816023334
AUS,1992,GNI,528415930519.59503,17478635,30232.10511115971
AUS,1993,GNI,548092428413.8929,17634808,31080.147196039383
AUS,1994,GNI,563964166501.439,17805468,31673.65027987127
AUS,1995,GNI,574506648571.7806,18004882,31908.381769554537
AUS,1996,GNI,590266428622.0648,18224767,32388.14677971273
AUS,1997,GNI,624837173466.8922,18423037,33916.07873701237
AUS,1998,GNI,654008653317.6902,18607584,35147.424475831474
AUS,1999,GNI,688471058174.8455,18812264,36596.92731161148
AUS,2000,GNI,704298065115.4674,19028802,37012.21259832686
AUS,2001,GNI,721770014324.5303,19274701,37446.49602214479
AUS,2002,GNI,743355192017.1971,19495210,38130.14540583031
AUS,2003,GNI,778211451906.4142,19720737,39461.580563972544
AUS,2004,GNI,807205560343.6914,19932722,40496.50420768881
AUS,2005,GNI,847540708570.6282,20176844,42005.61339378092
AUS,2006,GNI,886529775573.6659,20450966,43349.0415843274
AUS,2007,GNI,942364820390.9617,20827622,45245.9152749633
AUS,2008,GNI,972486312293.1027,21249199,45765.78685592349
AUS,2009,GNI,984275606432.8995,21691653,45375.77686831426
AUS,2010,GNI,1038540295426.2539,22031750,47138.34785826155
AUS,2011,GNI,1074591505229.1274,22340024,48101.62716159694
AUS,2012,GNI,1088751095391.1848,22733465,47891.99954301664
AUS,2013,GNI,1104412160961.2202,23128129,47751.90249765643
AUS,2014,GNI,1100442930014.048,23475686,46875.85828222647
AUS,2015,GNI,1102737276674.6895,23815995,46302.381096178826
AUS,2016,GNI,1150074680114.0063,24190907,47541.61057764417
AUS,2017,GNI,1176631738231.5781,24592588,47844.9741943214
CAN,1986,GDP,813919734529.4597,26100278,31184.33200326294
CAN,1987,GDP,850597614749.6179,26446601,32162.8331273882
CAN,1988,GDP,892485201314.7219,26791747,33311.944955090905
CAN,1989,GDP,910714884271.3014,27276781,33387.91642134391
CAN,1990,GDP,900124749873.5223,27691138,32505.877868707394
CAN,1991,GDP,859867124025.6206,28037420,30668.55381221313
CAN,1992,GDP,867359044960.4578,28371264,30571.744881033774
CAN,1993,GDP,885375847787.5846,28684764,30865.718392788054
CAN,1994,GDP,937080612096.6577,29000663,32312.385827063943
CAN,1995,GDP,963295312995.0765,29302311,32874.38021509896
CAN,1996,GDP,980575222005.2169,29610218,33116.10951345299
CAN,1997,GDP,1017779468267.9481,29905948,34032.676986797014
CAN,1998,GDP,1045102575297.6003,30155173,34657.488958779984
CAN,1999,GDP,1100873200968.5256,30401286,36211.40240477082
CAN,2000,GDP,1176084593888.8743,30685730,38326.7595031591
CAN,2001,GDP,1187018336730.856,31020855,38265.17150255388
CAN,2002,GDP,1210652065800.7656,31359199,38605.962665078456
CAN,2003,GDP,1238410114877.4612,31642461,39137.604210919664
CAN,2004,GDP,1294301164820.4966,31938807,40524.405461371694
CAN,2005,GDP,1347665704605.478,32242732,41797.50353057793
CAN,2006,GDP,1390932166311.7825,32571193,42704.366595100844
CAN,2007,GDP,1435567970537.5557,32888886,43649.02996524588
CAN,2008,GDP,1472887215427.7485,33247298,44300.95989838779
CAN,2009,GDP,1392535006121.1367,33630069,41407.43826963711
CAN,2010,GDP,1450694570012.6763,34005902,42660.08206495085
CAN,2011,GDP,1501035484752.3027,34339221,43711.984169713774
CAN,2012,GDP,1522913006843.5596,34713395,43871.04767031746
CAN,2013,GDP,1570723581287.7168,35080992,44774.206535770616
CAN,2014,GDP,1616408266548.25,35434066,45617.352142095406
CAN,2015,GDP,1594850974566.561,35704498,44668.06884013776
CAN,2016,GDP,1600107879175.811,36110803,44311.057806601835
CAN,2017,GDP,1664458471961.021,36545075,45545.35657570879
CAN,1986,GNI,786528398192.628,26100278,30134.866693474607
CAN,1987,GNI,824376324826.7471,26446601,31171.352599403872
CAN,1988,GNI,863591979875.8785,26791747,32233.50757514538
CAN,1989,GNI,879401639823.9489,27276781,32239.934757108942
CAN,1990,GNI,867735835996.5691,27691138,31336.22879625132
CAN,1991,GNI,831370830062.382,28037420,29652.187329018932
CAN,1992,GNI,836266553988.5248,28371264,29475.82998024074
CAN,1993,GNI,855282856207.2819,28684764,29816.625167537786
CAN,1994,GNI,903517268136.6013,29000663,31155.055597749655
CAN,1995,GNI,930111345626.9088,29302311,31741.910923916847
CAN,1996,GNI,947995592748.587,29610218,32015.826183670346
CAN,1997,GNI,986207774677.9725,29905948,32976.977512231766
CAN,1998,GNI,1009939807426.8563,30155173,33491.428068638714
CAN,1999,GNI,1063819799935.656,30401286,34992.5920875734
CAN,2000,GNI,1145226582966.2039,30685730,37321.14513704591
CAN,2001,GNI,1153595354861.389,31020855,37187.73563337919
CAN,2002,GNI,1180018976419.8635,31359199,37629.11726220633
CAN,2003,GNI,1207947966105.1765,31642461,38174.90574153434
CAN,2004,GNI,1266404132757.0183,31938807,39650.9529224751
CAN,2005,GNI,1320110221635.165,32242732,40942.87734783656
CAN,2006,GNI,1368797760368.1384,32571193,42024.796585379554
CAN,2007,GNI,1414436564627.291,32888886,43006.5209453215
CAN,2008,GNI,1451246886584.4648,33247298,43650.07004733031
CAN,2009,GNI,1368557654949.7031,33630069,40694.4646753387
CAN,2010,GNI,1422022844587.372,34005902,41816.94238215978
CAN,2011,GNI,1472683505110.9006,34339221,42886.339940876955
CAN,2012,GNI,1495890317217.2505,34713395,43092.59630806064
CAN,2013,GNI,1546800818577.581,35080992,44092.27705355598
CAN,2014,GNI,1590289176513.4797,35434066,44880.23408077074
CAN,2015,GNI,1570419104485.2656,35704498,43983.788946851055
CAN,2016,GNI,1580558540514.1914,36110803,43769.68688605987
CAN,2017,GNI,1643291189365.6702,36545075,44966.14631015726
DNK,1986,GDP,184109390869.4112,5120534,35955.1153980056
DNK,1987,GDP,186020214592.8075,5127024,36282.29838456139
DNK,1988,GDP,184684687902.2095,5129517,36004.30369997984
DNK,1989,GDP,186062476943.80923,5132594,36251.158175341596
DNK,1990,GDP,189407429243.51855,5140939,36842.96375497133
DNK,1991,GDP,192395632352.688,5154298,37327.22329067663
DNK,1992,GDP,195392480611.0632,5171370,37783.50429597248
DNK,1993,GDP,194075039285.2396,5189377,37398.52380839542
DNK,1994,GDP,203877725268.57175,5204994,39169.636942630816
DNK,1995,GDP,208425118051.50464,5227861,39868.144553098224
DNK,1996,GDP,214245019987.9083,5261503,40719.357185182314
DNK,1997,GDP,220667867534.74493,5284220,41759.78054182925
DNK,1998,GDP,224441489302.62143,5301304,42337.034303752705
DNK,1999,GDP,229274199359.25385,5319111,43103.8568962471
DNK,2000,GDP,238066945015.6908,5337344,44604.00997494087
DNK,2001,GDP,240750148171.90372,5355082,44957.32244098293
DNK,2002,GDP,241766237714.91544,5374255,44986.00042515947
DNK,2003,GDP,241451536465.76166,5387174,44819.70258724921
DNK,2004,GDP,250437891151.67612,5401177,46367.28090038081
DNK,2005,GDP,259066819642.26752,5415978,47833.802065345815
DNK,2006,GDP,269387686037.0763,5434567,49569.30074412116
DNK,2007,GDP,274003899616.4369,5457415,50207.634863105864
DNK,2008,GDP,275071941406.1098,5489022,50113.10601526279
DNK,2009,GDP,259497320412.5585,5519441,47015.145267891894
DNK,2010,GDP,265861762813.52704,5543819,47956.42909942172
DNK,2011,GDP,263809995629.69342,5566856,47389.40537166641
DNK,2012,GDP,263821229613.98566,5587085,47219.834603193915
DNK,2013,GDP,267648874632.366,5608784,47719.590312689164
DNK,2014,GDP,272295037196.98233,5639719,48281.667437151096
DNK,2015,GDP,277906473290.7646,5678348,48941.430375659365
DNK,2016,GDP,286950973339.92523,5724456,50127.203936919985
DNK,2017,GDP,295585552925.8434,5760694,51310.75403863552
DNK,1986,GNI,178725960289.32593,5120534,34903.77376447963
DNK,1987,GNI,181227947201.53967,5127024,35347.59096145048
DNK,1988,GNI,179574036065.1736,5129517,35007.98146593015
DNK,1989,GNI,180331803545.1793,5132594,35134.63241884694
DNK,1990,GNI,183151193408.9185,5140939,35626.01956742114
DNK,1991,GNI,185887431049.6676,5154298,36064.54866398249
DNK,1992,GNI,189565400298.5137,5171370,36656.70804806342
DNK,1993,GNI,189577128171.5922,5189377,36531.77022436261
DNK,1994,GNI,199378545330.49393,5204994,38305.2401848098
DNK,1995,GNI,204661331887.33698,5227861,39148.1969178861
DNK,1996,GNI,210045045314.76627,5261503,39921.111004738814
DNK,1997,GNI,216669445766.5942,5284220,41003.108456232745
DNK,1998,GNI,221246863567.49487,5301304,41734.422996209025
DNK,1999,GNI,226858190475.12924,5319111,42649.64398658521
DNK,2000,GNI,232643940290.74414,5337344,43587.96065809963
DNK,2001,GNI,237201028353.15167,5355082,44294.565116491525
DNK,2002,GNI,238760515391.4368,5374255,44426.71875291306
DNK,2003,GNI,239293413373.5747,5387174,44419.09865424334
DNK,2004,GNI,250744951176.90128,5401177,46424.13147669504
DNK,2005,GNI,261149515631.26373,5415978,48218.348677055874
DNK,2006,GNI,272644652905.91312,5434567,50168.60642364205
DNK,2007,GNI,275357143853.1712,5457415,50455.59918994088
DNK,2008,GNI,278125558677.97034,5489022,50669.41955743124
DNK,2009,GNI,262073345153.49274,5519441,47481.86368030617
DNK,2010,GNI,270205691685.5084,5543819,48739.99163491961
DNK,2011,GNI,269367965866.4914,5566856,48387.809181069424
DNK,2012,GNI,269785206277.5857,5587085,48287.2922602011
DNK,2013,GNI,276097931305.47125,5608784,49225.98754123376
DNK,2014,GNI,282183131958.1639,5639719,50034.96308205495
DNK,2015,GNI,286478265196.3484,5678348,50450.98771620697
DNK,2016,GNI,294156289450.25226,5724456,51385.8940395825
DNK,2017,GNI,302082230948.3198,5760694,52438.51364927903
GBR,1986,GDP,1334062050086.255,56683835,23535.141016592384
GBR,1987,GDP,1423441286888.7554,56803958,25058.839859165368
GBR,1988,GDP,1532822985291.0571,56916448,26931.107599881445
GBR,1989,GDP,1603936523284.5737,57076451,28101.546175051662
GBR,1990,GDP,1613417446077.9487,57237493,28188.12218204506
GBR,1991,GDP,1580442685321.6038,57438658,27515.313559756283
GBR,1992,GDP,1567966268811.0203,57584530,27228.949664276504
GBR,1993,GDP,1609328023905.0476,57713889,27884.588125833066
GBR,1994,GDP,1657960034445.2612,57862145,28653.622060593523
GBR,1995,GDP,1853531602965.2188,58024799,31943.783260071592
GBR,1996,GDP,1925830395773.5352,58164374,33110.13707073569
GBR,1997,GDP,1977242728075.5188,58314249,33906.68253440971
GBR,1998,GDP,2030835596225.2637,58474943,34730.0141228913
GBR,1999,GDP,2081828958838.7385,58684427,35474.98144335189
GBR,2000,GDP,2173300238402.651,58886065,36906.86817675202
GBR,2001,GDP,2226957294611.4907,59113016,37672.875540836736
GBR,2002,GDP,2278723300372.5376,59365677,38384.524788162315
GBR,2003,GDP,2376757921971.5166,59636662,39853.97308071194
GBR,2004,GDP,2463124494253.184,59950364,41086.064035460804
GBR,2005,GDP,2551893103766.8,60413276,42240.601283843636
GBR,2006,GDP,2621934118675.8745,60827067,43104.727023511994
GBR,2007,GDP,2689794582595.6333,61319075,43865.544002345654
GBR,2008,GDP,2683875148015.685,61823772,43411.701699722966
GBR,2009,GDP,2561641123511.8247,62260486,41143.93073500622
GBR,2010,GDP,2589533504042.369,62759456,41261.248409201784
GBR,2011,GDP,2576170236566.366,63285145,40707.34508969469
GBR,2012,GDP,2589622761837.5156,63710843,40646.49971493103
GBR,2013,GDP,2630659085681.8706,64138721,41015.1472412721
GBR,2014,GDP,2718350541031.879,64619493,42067.03604176961
GBR,2015,GDP,2783933602001.874,65088058,42771.80311635468
GBR,2016,GDP,2866079091061.971,65607141,43685.474589754966
GBR,2017,GDP,2923027415808.4526,65965992,44311.126493913
GBR,1986,GNI,1408822580316.1975,56683835,24854.044902152396
GBR,1987,GNI,1490511349737.8542,56803958,26239.568547984883
GBR,1988,GNI,1600354617741.3203,56916448,28117.612289180805
GBR,1989,GNI,1654621115041.5452,57076451,28989.558496577603
GBR,1990,GNI,1654895146445.8835,57237493,28912.781809746342
GBR,1991,GNI,1625264159977.7583,57438658,28295.649943244814
GBR,1992,GNI,1631196987670.3342,57584530,28327.000110452133
GBR,1993,GNI,1672973186874.7676,57713889,28987.358430736967
GBR,1994,GNI,1752033578881.306,57862145,30279.44399367334
GBR,1995,GNI,1800405785750.5474,58024799,31028.212364002284
GBR,1996,GNI,1864861499514.6418,58164374,32061.91988784478
GBR,1997,GNI,1944581451144.2893,58314249,33346.59169055387
GBR,1998,GNI,2039817218396.8435,58474943,34883.61191556601
GBR,1999,GNI,2074762418765.9648,58684427,35354.565509619184
GBR,2000,GNI,2179276642418.6104,58886065,37008.35914946278
GBR,2001,GNI,2238934616377.281,59113016,37875.492875837714
GBR,2002,GNI,2305025079802.458,59365677,38827.57169268798
GBR,2003,GNI,2403865156113.299,59636662,40308.51284254137
GBR,2004,GNI,2483330332183.938,59950364,41423.106825238596
GBR,2005,GNI,2578298601199.325,60413276,42677.68232266241
GBR,2006,GNI,2611686423420.144,60827067,42936.25440496981
GBR,2007,GNI,2665348192150.945,61319075,43466.868868308025
