REF_AREA,TIME_PERIOD,measure,OBS_VALUE,Population,OBS_VALUE_per_capita
AUT,1970,GDP,1584685248.688173,7467086,212.222712941591
AUT,1971,GDP,1689606494.7515504,7500482,225.26638884695015
AUT,1972,GDP,1815497664.6956031,7544201,240.64810371510558
AUT,1973,GDP,1913394330.097764,7586115,252.22321703503889
AUT,1974,GDP,1988466485.4778798,7599038,261.67344938634074
AUT,1975,GDP,1944923065.3541658,7578903,256.62329566088465
AUT,1976,GDP,2001868913.5320296,7565525,264.60409734050575
AUT,1977,GDP,2097663474.2528021,7568430,277.15965850946657
AUT,1978,GDP,2142126561.1944726,7562305,283.2637087758921
AUT,1979,GDP,2265730624.5048137,7549425,300.11962825047124
AUT,1980,GDP,2288753171.203419,7549433,303.1688831735336
AUT,1981,GDP,2283602295.850039,7568710,301.71618358346916
AUT,1982,GDP,2327747501.082599,7574140,307.3282908795717
AUT,1983,GDP,2400052732.4068985,7561910,317.38710622143066
AUT,1984,GDP,2385070155.3011074,7561434,315.425639541535
AUT,1985,GDP,2439298889.520703,7564984,322.4460077537114
AUT,1986,GDP,2525997598.9804335,7569794,333.69436459967517
AUT,1987,GDP,2586412173.4199867,7574586,341.4592128757911
AUT,1988,GDP,2661463362.070947,7585317,350.87042005903606
AUT,1989,GDP,2775602287.9809713,7619566,364.27301607217146
AUT,1990,GDP,2888866445.935231,7677850,376.25981830007504
AUT,1991,GDP,2997094183.079144,7754891,386.4779251028988
AUT,1992,GDP,3043903434.3609047,7840709,388.21788110755097
AUT,1993,GDP,3034111181.143323,7905632,383.79109742817815
AUT,1994,GDP,3094064216.1905236,7936118,389.8712463940838
AUT,1995,GDP,3163270564.6046586,7948278,397.9818728792147
AUT,1996,GDP,3204775151.5887957,7959016,402.6597196925846
AUT,1997,GDP,3272140766.909262,7968041,410.6581237357165
AUT,1998,GDP,3371654559.7708983,7976789,422.6831823896681
AUT,1999,GDP,3486330131.713424,7992323,436.2098643552599
AUT,2000,GDP,3563165856.5254874,8011566,444.75273080512443
AUT,2001,GDP,3585026848.870287,8042293,445.7717281464735
AUT,2002,GDP,3613007215.5868373,8080292,447.13819940997644
AUT,2003,GDP,3651059976.6623726,8114402,449.9481263884107
AUT,2004,GDP,3732491686.0766177,8166432,457.0529315711706
AUT,2005,GDP,3827790806.077658,8222090,465.5496116045504
AUT,2006,GDP,3976434062.6674767,8265675,481.07795947305897
AUT,2007,GDP,4130218029.4892893,8293654,497.9973880619193
AUT,2008,GDP,4138191507.250058,8319388,497.41537565624515
AUT,2009,GDP,4038734083.652217,8338752,484.3331572460983
AUT,2010,GDP,4074551336.2080574,8357367,487.5400752662959
AUT,2011,GDP,4134280364.685835,8384901,493.0625137596538
AUT,2012,GDP,4144259701.1219563,8420328,492.17319101131886
AUT,2013,GDP,4122057901.3624926,8472176,486.54063623825715
AUT,2014,GDP,4169601500.6227136,8538350,488.3380864713573
AUT,2015,GDP,4282397757.6729474,8618709,496.87229928205574
AUT,2016,GDP,4413079272.708614,8737663,505.064028300086
AUT,2017,GDP,4464458726.824676,8790624,507.86596342019357
AUT,2018,GDP,4566935153.037462,8833192,517.0197990757432
AUT,2019,GDP,4644465786.996831,8872344,523.4767483087707
AUT,1970,GNI,1591993795.2100496,7467086,213.20148116816247
AUT,1971,GNI,1698615849.7495277,7500482,226.46755898481294
AUT,1972,GNI,1823156901.6432638,7544201,241.663351976341
AUT,1973,GNI,1920328379.0748913,7586115,253.13726183624837
AUT,1974,GNI,1998520048.652606,7599038,262.9964541107185
AUT,1975,GNI,1953380250.1717095,7578903,257.7391807457767
AUT,1976,GNI,2007629733.593985,7565525,265.3655540883131
AUT,1977,GNI,2101966008.2110615,7568430,277.728142852753
AUT,1978,GNI,2145255189.1961298,7562305,283.6774223197993
AUT,1979,GNI,2269891060.758755,7549425,300.6707213806025
AUT,1980,GNI,2291256070.6526513,7549433,303.50041793239984
AUT,1981,GNI,2281048987.6961555,7568710,301.3788330767272
AUT,1982,GNI,2328546189.266628,7574140,307.4337402354099
AUT,1983,GNI,2406111675.7314,7561910,318.1883513201559
AUT,1984,GNI,2388774572.6605573,7561434,315.91554891050527
AUT,1985,GNI,2443655630.8978148,7564984,323.02191662240324
AUT,1986,GNI,2522977163.275684,7569794,333.29535298789955
AUT,1987,GNI,2583754479.76841,7574586,341.1083430524665
AUT,1988,GNI,2668850248.4825134,7585317,351.84426023098484
AUT,1989,GNI,2786105447.3202896,7619566,365.6514619494456
AUT,1990,GNI,2902042811.820593,7677850,377.97597137487617
AUT,1991,GNI,2994895619.460975,7754891,386.19441839491685
AUT,1992,GNI,3051484339.2667966,7840709,389.1847458267864
AUT,1993,GNI,3042569869.7323,7905632,384.8610547179909
AUT,1994,GNI,3098903571.7410936,7936118,390.48103515359696
AUT,1995,GNI,3151158153.340723,7948278,396.4579690520039
AUT,1996,GNI,3202921577.3400035,7959016,402.42682981665115
AUT,1997,GNI,3256919578.564177,7968041,408.7478438632754
AUT,1998,GNI,3351049029.544557,7976789,420.0999963198923
AUT,1999,GNI,3430877428.206215,7992323,429.27161830249037
AUT,2000,GNI,3531958958.050983,8011566,440.8575000257107
AUT,2001,GNI,3535737352.4781656,8042293,439.6429416931422
AUT,2002,GNI,3591891415.9720893,8080292,444.5249523126255
AUT,2003,GNI,3641833421.5658655,8114402,448.81106723155517
AUT,2004,GNI,3727310551.271381,8166432,456.41848867061907
AUT,2005,GNI,3819631786.084034,8222090,464.55728240435633
AUT,2006,GNI,3985789987.57885,8265675,482.2098603657717
AUT,2007,GNI,4126029390.0378494,8293654,497.4923465625464
AUT,2008,GNI,4172929514.3702874,8319388,501.5909240403606
AUT,2009,GNI,4036973414.3718324,8338752,484.1220142260895
AUT,2010,GNI,4108849274.9552736,8357367,491.6439920557843
AUT,2011,GNI,4148315884.7692122,8384901,494.7364178502778
AUT,2012,GNI,4148483950.5932026,8420328,492.6748638049732
AUT,2013,GNI,4133016544.5714345,8472176,487.8341224936114
AUT,2014,GNI,4174120805.095032,8538350,488.8673812967414
AUT,2015,GNI,4238715444.0400944,8618709,491.8039864253561
AUT,2016,GNI,4411189542.655347,8737663,504.84775421704256
AUT,2017,GNI,4422148489.513448,8790624,503.05285375798667
AUT,2018,GNI,4519707593.539257,8833192,511.67319736050763
AUT,2019,GNI,4633918793.727583,8872344,522.2879989467928
BEL,1970,GDP,2144818803.6251075,9655550,222.13326052116219
BEL,1971,GDP,2251993639.4584866,9673162,232.80842804643265
BEL,1972,GDP,2390800787.154968,9711115,246.19220214722694
BEL,1973,GDP,2539847669.4848137,9741721,260.7185803704308
BEL,1974,GDP,2643789225.816907,9772420,270.53577576658665
BEL,1975,GDP,2594605738.5892878,9800700,264.736777841306
BEL,1976,GDP,2703739688.1978383,9818228,275.37959886425926
BEL,1977,GDP,2730375011.670325,9830358,277.7492957703397
BEL,1978,GDP,2806697517.073168,9839534,285.2469961558309
BEL,1979,GDP,2873398673.0064917,9848382,291.76352755269767
BEL,1980,GDP,2930121579.228017,9859243,297.1953910891553
BEL,1981,GDP,2854385116.8269854,9858982,289.5212829100393
BEL,1982,GDP,2840835864.4747977,9856303,288.22529750503793
BEL,1983,GDP,2795466191.048324,9855521,283.64468921007057
BEL,1984,GDP,2840088006.1009755,9855372,288.17664174431724
BEL,1985,GDP,2880366312.0852847,9858309,292.1765093876936
BEL,1986,GDP,2976368970.0501394,9861824,301.8071474455577
BEL,1987,GDP,3048943740.305438,9870234,308.90288318447546
BEL,1988,GDP,3224769190.6200733,9901665,325.67948831030674
BEL,1989,GDP,3391344748.056049,9937697,341.2606309143908
BEL,1990,GDP,3476243633.3868566,9967378,348.7620950451419
BEL,1991,GDP,3528350324.814144,10004486,352.6768216592181
BEL,1992,GDP,3617211453.133735,10045165,360.0947772519152
BEL,1993,GDP,3625608058.5521383,10084479,359.5235865484115
BEL,1994,GDP,3732251133.3154855,10115601,368.959899991655
BEL,1995,GDP,3811947217.3055644,10136814,376.0498335379898
BEL,1996,GDP,3801764924.7325854,10156641,374.3132128754561
BEL,1997,GDP,3912189765.944456,10181246,384.2545171725009
BEL,1998,GDP,4022779159.9296603,10203012,394.27368701807467
BEL,1999,GDP,4143795997.835969,10226419,405.2049889444163
BEL,2000,GDP,4275599273.6067295,10251251,417.08073225470037
BEL,2001,GDP,4302093489.100065,10286571,418.22425462285395
BEL,2002,GDP,4375300910.03839,10332786,423.4386456893998
BEL,2003,GDP,4432078877.294626,10376131,427.1417619240376
BEL,2004,GDP,4582161608.303063,10421136,439.69885896346267
BEL,2005,GDP,4656690233.250543,10478620,444.3991893255546
BEL,2006,GDP,4797760281.266452,10547956,454.8521326090526
BEL,2007,GDP,4979476333.101284,10624835,468.66387413087205
BEL,2008,GDP,4878202199.095806,10709108,455.51900299220125
BEL,2009,GDP,4825178191.852764,10796498,446.920676672451
BEL,2010,GDP,4932376223.907287,10895591,452.6946931017589
BEL,2011,GDP,4967433609.0798235,10993609,451.8473968903045
BEL,2012,GDP,4947466940.351979,11067748,447.0165873267063
BEL,2013,GDP,4977275639.682021,11125033,447.39423601548157
BEL,2014,GDP,5090411170.543657,11179778,455.3230994876336
BEL,2015,GDP,5194237985.594964,11238474,462.18356563310675
BEL,2016,GDP,5252179371.025674,11295003,465.00026348161873
BEL,2017,GDP,5322170210.721959,11349081,468.9516455757042
BEL,2018,GDP,5404273484.338209,11403740,473.9036039350432
BEL,2019,GDP,5559078939.856023,11462023,484.99980674057474
BEL,1970,GNI,2175626859.8781767,9655550,225.32397013926465
BEL,1971,GNI,2281338384.4209304,9673162,235.8420529317022
BEL,1972,GNI,2422678330.417338,9711115,249.47478537915964
BEL,1973,GNI,2569443655.420309,9741721,263.7566458144623
BEL,1974,GNI,2674315121.571476,9772420,273.65945401154227
BEL,1975,GNI,2624246104.275594,9800700,267.761088929933
BEL,1976,GNI,2735426835.770233,9818228,278.60697834377373
BEL,1977,GNI,2754861163.1654887,9830358,280.2401665499353
BEL,1978,GNI,2828602126.303187,9839534,287.473179756601
BEL,1979,GNI,2882470648.6256366,9848382,292.6846916199673
BEL,1980,GNI,2931710288.1953516,9859243,297.3565301306958
BEL,1981,GNI,2858225263.626761,9858982,289.910790345977
BEL,1982,GNI,2831244366.1541867,9856303,287.2521640369809
BEL,1983,GNI,2784598440.935394,9855521,282.54198240107183
BEL,1984,GNI,2835129253.06764,9855372,287.67348944998116
BEL,1985,GNI,2883832961.480318,9858309,292.5281568553307
BEL,1986,GNI,2982462754.571444,9861824,302.4250640217716
BEL,1987,GNI,3064617391.9580684,9870234,310.49085482249643
BEL,1988,GNI,3240787484.826166,9901665,327.29722575204937
BEL,1989,GNI,3397920942.324856,9937697,341.9223731941974
BEL,1990,GNI,3487226847.5700617,9967378,349.8640111341279
BEL,1991,GNI,3552929858.4317055,10004486,355.1336728775177
BEL,1992,GNI,3641513566.806914,10045165,362.5140619200296
BEL,1993,GNI,3685882240.958419,10084479,365.5005123178321
BEL,1994,GNI,3823679048.232663,10115601,377.9982077419486
BEL,1995,GNI,3895655031.2865725,10136814,384.30763662888285
BEL,1996,GNI,3890186561.911747,10156641,383.01900814567995
BEL,1997,GNI,4007387492.1160717,10181246,393.60481930365614
BEL,1998,GNI,4120478076.127997,10203012,403.8491845474647
BEL,1999,GNI,4240324775.7603307,10226419,414.64414628036764
BEL,2000,GNI,4385789474.734843,10251251,427.82968388295666
BEL,2001,GNI,4382567658.293025,10286571,426.0474805737524
BEL,2002,GNI,4450913123.672109,10332786,430.75634428818216
BEL,2003,GNI,4516705990.3473835,10376131,435.2977030019555
BEL,2004,GNI,4645787368.549507,10421136,445.8043123657063
BEL,2005,GNI,4714866268.287743,10478620,449.95106877506225
BEL,2006,GNI,4866758292.504998,10547956,461.3934958114158
BEL,2007,GNI,5048741734.32618,10624835,475.18307195605206
BEL,2008,GNI,4996852666.649894,10709108,466.5984007864982
BEL,2009,GNI,4919703062.266175,10796498,455.6758184242868
BEL,2010,GNI,5007527792.697756,10895591,459.59212241885325
BEL,2011,GNI,4975283233.167758,10993609,452.5614139240133
BEL,2012,GNI,5059163271.249228,11067748,457.10864317196484
BEL,2013,GNI,5091617076.1203375,11125033,457.6720874554114
BEL,2014,GNI,5193689278.976807,11179778,464.5610385981552
BEL,2015,GNI,5267345668.364171,11238474,468.6886910415214
BEL,2016,GNI,5299268743.940875,11295003,469.1693082277955
BEL,2017,GNI,5369632059.440782,11349081,473.1336448687591
BEL,2018,GNI,5458862913.246858,11403740,478.690579866505
BEL,2019,GNI,5605947534.955659,11462023,489.0888401598617
DEU,1970,GDP,17560639145.27634,78169285,224.64883931426954
DEU,1971,GDP,18520391615.563038,78312838,236.49240773987833
DEU,1972,GDP,19142302032.75783,78688450,243.26698559646087
DEU,1973,GDP,19919554084.450294,78936672,252.34854193562018
DEU,1974,GDP,20151113010.162632,78967429,255.18258939597277
DEU,1975,GDP,19930487708.678802,78673555,253.33147470809985
DEU,1976,GDP,20728204482.903797,78336948,264.60316634883196
DEU,1977,GDP,21291207481.28065,78159813,272.4060698722584
DEU,1978,GDP,22108360079.836502,78091821,283.10724217631576
DEU,1979,GDP,23077839489.630775,78126353,295.39122976380037
DEU,1980,GDP,23405215068.176125,78288576,298.96079688786426
DEU,1981,GDP,23049182580.453793,78407904,293.96503929570406
DEU,1982,GDP,22814199092.033062,78333354,291.2450179528003
DEU,1983,GDP,23064020779.1391,78128284,295.2070568853029
DEU,1984,GDP,23618620624.81166,77858682,303.35243312764607
