REF_AREA,TIME_PERIOD,measure,OBS_VALUE,Population,OBS_VALUE_per_capita
AUS,1992,GDP,542843415183.37463,17478635,31057.540544978176
AUS,1993,GDP,560396823165.0155,17634808,31777.88060777387
AUS,1994,GDP,584047149188.7732,17805468,32801.56125010436
AUS,1995,GDP,595520098743.0819,18004882,33075.47912522181
AUS,1996,GDP,610735538564.6494,18224767,33511.29474328256
AUS,1997,GDP,645127011627.5695,18423037,35017.408455922305
AUS,1998,GDP,675021636679.6056,18607584,36276.69431343723
AUS,1999,GDP,708857671677.8477,18812264,37680.614713776486
AUS,2000,GDP,724529283184.5358,19028802,38075.40186631485
AUS,2001,GDP,741844365846.5369,19274701,38487.9830741103
AUS,2002,GDP,764822090881.5231,19495210,39231.282498702145
AUS,2003,GDP,800956414830.9968,19720737,40614.933145297604
AUS,1992,GNI,528415930519.59503,17478635,30232.10511115971
AUS,1993,GNI,548092428413.8929,17634808,31080.147196039383
AUS,1994,GNI,563964166501.439,17805468,31673.65027987127
AUS,1995,GNI,574506648571.7806,18004882,31908.381769554537
AUS,1996,GNI,590266428622.0648,18224767,32388.14677971273
AUS,1997,GNI,624837173466.8922,18423037,33916.07873701237
AUS,1998,GNI,654008653317.6902,18607584,35147.424475831474
AUS,1999,GNI,688471058174.8455,18812264,36596.92731161148
AUS,2000,GNI,704298065115.4674,19028802,37012.21259832686
AUS,2001,GNI,721770014324.5303,19274701,37446.49602214479
AUS,2002,GNI,743355192017.1971,19495210,38130.14540583031
AUS,2003,GNI,778211451906.4142,19720737,39461.580563972544
AUT,1992,GDP,304390343436.09045,7840709,38821.78811075509
AUT,1993,GDP,303411118114.3323,7905632,38379.10974281781
AUT,1994,GDP,309406421619.0524,7936118,38987.12463940839
AUT,1995,GDP,316327056460.4658,7948278,39798.187287921464
AUT,1996,GDP,320477515158.8796,7959016,40265.971969258455
AUT,1997,GDP,327214076690.9263,7968041,41065.81237357166
AUT,1998,GDP,337165455977.0898,7976789,42268.31823896681
AUT,1999,GDP,348633013171.34247,7992323,43620.986435526
AUT,2000,GDP,356316585652.54877,8011566,44475.273080512445
AUT,2001,GDP,358502684887.0287,8042293,44577.172814647354
AUT,2002,GDP,361300721558.6838,8080292,44713.81994099765
AUT,2003,GDP,365105997666.2373,8114402,44994.812638841075
AUT,1992,GNI,305148433926.67957,7840709,38918.47458267863
AUT,1993,GNI,304256986973.23004,7905632,38486.1054717991
AUT,1994,GNI,309890357174.1094,7936118,39048.1035153597
AUT,1995,GNI,315115815334.0723,7948278,39645.79690520039
AUT,1996,GNI,320292157734.00037,7959016,40242.682981665115
AUT,1997,GNI,325691957856.4177,7968041,40874.78438632755
AUT,1998,GNI,335104902954.4557,7976789,42009.99963198922
AUT,1999,GNI,343087742820.62146,7992323,42927.16183024904
AUT,2000,GNI,353195895805.0983,8011566,44085.750002571076
AUT,2001,GNI,353573735247.8166,8042293,43964.29416931422
AUT,2002,GNI,359189141597.209,8080292,44452.495231262554
AUT,2003,GNI,364183342156.5865,8114402,44881.106723155506
BEL,1992,GDP,361721145313.37354,10045165,36009.47772519153
BEL,1993,GDP,362560805855.21387,10084479,35952.358654841155
BEL,1994,GDP,373225113331.5486,10115601,36895.989999165504
BEL,1995,GDP,381194721730.5564,10136814,37604.983353798976
BEL,1996,GDP,380176492473.2585,10156641,37431.32128754561
BEL,1997,GDP,391218976594.44556,10181246,38425.451717250085
BEL,1998,GDP,402277915992.966,10203012,39427.36870180746
BEL,1999,GDP,414379599783.5969,10226419,40520.49889444163
BEL,2000,GDP,427559927360.6729,10251251,41708.073225470034
BEL,2001,GDP,430209348910.0065,10286571,41822.42546228539
BEL,2002,GDP,437530091003.839,10332786,42343.86456893997
BEL,2003,GDP,443207887729.4626,10376131,42714.17619240376
BEL,1992,GNI,364151356680.6914,10045165,36251.406192002956
BEL,1993,GNI,368588224095.8419,10084479,36550.05123178321
BEL,1994,GNI,382367904823.2663,10115601,37799.82077419486
