REF_AREA,TIME_PERIOD,measure,OBS_VALUE,Population,OBS_VALUE_per_capita
AUS,1992,GDP,373830534351145e6,17478635,21387856337245.156
AUS,1993,GDP,388396946564885e6,17634808,22024449972173.5
AUS,1994,GDP,404749618320611e6,17805468,22731759610059.73
AUS,1995,GDP,422021374045802e6,18004882,23439274639278.504
AUS,1996,GDP,438016030534351e6,18224767,24034108668404.43
AUS,1997,GDP,457551908396947e6,18423037,24835856780667.977
AUS,1998,GDP,481848091603053e6,18607584,25895252796013.336
AUS,1999,GDP,49996564885496195e4,18812264,26576580514443.234
AUS,2000,GDP,510248854961832e6,19028802,26814554850159.88
AUS,2001,GDP,530045038167939e6,19274701,27499520649785.387
AUS,2002,GDP,54705419847328196e4,19495210,28060954381783.113
AUS,2003,GDP,567695419847328e6,19720737,28786724342367.53
AUS,1992,GNI,356909160305344e6,17478635,20419738744206.51
AUS,1993,GNI,36863358778626e7,17634808,20903748302009.3
AUS,1994,GNI,38263664122137405e4,17805468,21489839032670.977
AUS,1995,GNI,401103816793893e6,18004882,22277503223508.656
AUS,1996,GNI,420226717557252e6,18224767,23058002198725.066
AUS,1997,GNI,440886259541985e6,18423037,23931247575629.633
AUS,1998,GNI,460176335877863e6,18607584,24730579524878.832
AUS,1999,GNI,482598473282443e6,18812264,25653396809785.523
AUS,2000,GNI,49597251908397e7,19028802,26064306049533.23
AUS,2001,GNI,51734427480915994e4,19274701,26840586259115.508
AUS,2002,GNI,535206870229008e6,19495210,27453249810030.668
AUS,2003,GNI,5634251908396949e5,19720737,28570189381851.953
AUT,1992,GDP,18973632385120302e4,7840709,24198873322706.277
AUT,1993,GDP,19036870897155398e4,7905632,24080137928448.223
AUT,1994,GDP,195434354485777e6,7936118,24625938586822.55
AUT,1995,GDP,19916630196936498e4,7948278,25057792640036.617
AUT,1996,GDP,204382932166302e6,7959016,25679422200722.05
AUT,1997,GDP,208142231947484e6,7968041,26122133652108.97
AUT,1998,GDP,215554704595186e6,7976789,27022741180089.633
AUT,1999,GDP,222713347921225e6,7992323,27865909313377.973
AUT,2000,GDP,23018818380744e7,8011566,28731983710480.57
AUT,2001,GDP,23183916849015302e4,8042293,28827495900752.81
AUT,2002,GDP,234542669584245e6,8080292,29026509139056.484
AUT,2003,GDP,23631947483588598e4,8114402,29123461573124.67
AUT,1992,GNI,18883698030634602e4,7840709,24084171508768.66
AUT,1993,GNI,189176148796499e6,7905632,23929288486549.715
AUT,1994,GNI,193958424507659e6,7936118,24439962272191.39
AUT,1995,GNI,196912472647702e6,7948278,24774230675839.723
AUT,1996,GNI,20295076586433302e4,7959016,25499479566862.664
AUT,1997,GNI,205062363238512e6,7968041,25735605933567.863
AUT,1998,GNI,212375273522976e6,7976789,26624155850552.9
AUT,1999,GNI,21887089715536098e4,7992323,27385141610938.52
AUT,2000,GNI,225761487964989e6,8011566,28179445562202.07
AUT,2001,GNI,227362144420131e6,8042293,28270810876963.945
AUT,2002,GNI,234198030634573e6,8080292,28983857345077.754
AUT,2003,GNI,237324945295405e6,8114402,29247373410314.77
BEL,1992,GDP,22463409337676402e4,10045165,22362409515101.445
BEL,1993,GDP,222473398479913e6,10084479,22060970971322.664
BEL,1994,GDP,22965255157437602e4,10115601,22702808421800.742
BEL,1995,GDP,23512920738327898e4,10136814,23195572828235.676
BEL,1996,GDP,23789359391965302e4,10156641,23422467518508.633
BEL,1997,GDP,246130293159609e6,10181246,24174869476644.508
BEL,1998,GDP,251128121606949e6,10203012,24613135964845.383
BEL,1999,GDP,25914332247557e7,10226419,25340573516063.64
BEL,2000,GDP,269190010857763e6,10251251,26259235176054.418
BEL,2001,GDP,27112486427795902e4,10286571,26357166472477.47
BEL,2002,GDP,27357546145494e7,10332786,26476447054544.633
BEL,2003,GDP,277019543973941e6,10376131,26697768558814.55
BEL,1992,GNI,22959717698154198e4,10045165,22856486377430.53
BEL,1993,GNI,23201954397394102e4,10084479,23007588589746.78
BEL,1994,GNI,24087730727470098e4,10115601,23812456350809.11
BEL,1995,GNI,245953311617807e6,10136814,24263374233541.918
BEL,1996,GNI,247346362649294e6,10156641,24353165839896.676
BEL,1997,GNI,254643865363735e6,10181246,25011070881082.234
BEL,1998,GNI,262369163952226e6,10203012,25714873603228.734
BEL,1999,GNI,26911617806731798e4,10226419,26315778579707.91
BEL,2000,GNI,274259500542888e6,10251251,26753759179527.258
BEL,2001,GNI,276155266015201e6,10286571,26846192576243.434
BEL,2002,GNI,282528773072747e6,10332786,27342942462250.453
BEL,2003,GNI,28435287730727502e4,10376131,27404518823757.625
CAN,1992,GDP,638468292682927e6,28371264,22504048204652.676
CAN,1993,GDP,653440650406504e6,28684764,22780060188276.4
CAN,1994,GDP,684872357723577e6,29000663,23615748292498.59
CAN,1995,GDP,703932520325203e6,29302311,24023105901961.21
CAN,1996,GDP,715266666666667e6,29610218,24156075671805.83
