iso,year,EHB_dev
AUS,1993,0.057931562796874836
AUS,1994,0.05316764023751963
AUS,1995,0.049885965744122074
AUS,1996,0.06956521022296358
AUS,1997,0.06618555889294231
AUS,1998,0.0952939341760789
AUS,1999,0.098055860183073
AUS,2000,0.10741124596153406
AUS,2001,0.126266190673748
AUS,2002,0.12938896242995768
AUS,2003,0.15287497974867348
BEL,1993,-0.2894153627145124
BEL,1994,-0.2770731882026767
BEL,1995,-0.2387705332915907
BEL,1996,-0.1939400777803092
BEL,1997,-0.15232360354348862
BEL,1998,-0.07417647679782091
BEL,1999,-0.17968415922789205
BEL,2000,-0.14811981537819874
BEL,2001,-0.12364492232425617
BEL,2002,-0.17685657883969896
BEL,2003,-0.17601728452859045
CAN,1993,0.05618294448043759
CAN,1994,0.04368911031300726
CAN,1995,0.04277550562260746
CAN,1996,0.0492657611495767
CAN,1997,0.05435249434854117
CAN,1998,0.08020211948071243
CAN,1999,0.08880856008576132
CAN,2000,-0.00663320487817709
CAN,2001,-0.02010661186607765
CAN,2002,0.10200757352710677
CAN,2003,0.048036729280711454
DNK,1993,-0.006163284015765824
DNK,1994,-0.010035901418460336
DNK,1995,-0.010152925328637208
DNK,1996,-0.033414502211177255
DNK,1997,-0.043858269861070776
DNK,1998,-0.07256582569756531
DNK,1999,-0.14749192786304777
DNK,2000,-0.11834906821734681
DNK,2001,-0.13813916148531258
DNK,2002,-0.07557030119759744
DNK,2003,-0.038688669953928945
FIN,1993,0.15628435299793186
FIN,1994,0.1549929975968627
FIN,1995,0.12544145169332743
FIN,1996,0.10364342331171017
FIN,1997,0.06109897070167625
FIN,1998,-0.014962808467903543
FRA,1993,0.03989261355643592
FRA,1994,0.0338751796242267
FRA,1995,0.037204713145591595
FRA,1996,0.03298527906025617
FRA,1997,0.009989261593043586
FRA,1999,0.08395772046106542
FRA,2000,0.08913971036046009
FRA,2001,0.08250135844963802
FRA,2002,0.06102708551202363
FRA,2003,0.033160713966816635
DEU,1993,-0.08404376749005715
DEU,1994,-0.10566185164235031
DEU,1995,-0.09694496703497657
DEU,1996,-0.08928163946635959
DEU,1997,-0.09417472177097153
DEU,1998,-0.10760896213587057
DEU,1999,-0.09014424631968043
DEU,2000,-0.10746879784702446
DEU,2001,-0.1010860050259963
DEU,2002,-0.18024140620759121
DEU,2003,-0.13346131127586347
GRC,1993,NA
GRC,1994,NA
GRC,1995,NA
GRC,1996,NA
GRC,1997,NA
GRC,1998,NA
GRC,1999,NA
GRC,2000,NA
GRC,2001,0.27005132995317715
GRC,2002,0.2728491310999659
GRC,2003,0.2821160851895438
ISL,1993,NA
ISL,1994,NA
ISL,1995,NA
ISL,1996,NA
ISL,1997,NA
ISL,1998,NA
ISL,1999,NA
ISL,2000,NA
ISL,2001,NA
ISL,2002,NA
ISL,2003,NA
IRL,1993,NA
IRL,1994,NA
IRL,1995,NA
IRL,1996,NA
ITA,1993,-0.05012477932061843
ITA,1994,-0.019132037097138288
ITA,1995,-0.045310339457814486
ITA,1996,-0.06129662880558995
ITA,1997,-0.08299634394592104
ITA,1999,-0.04321191559992932
ITA,2000,-0.06516690490249288
ITA,2001,-0.10207729710109092
ITA,2002,-0.1334550241523147
ITA,2003,-0.1378629939739061
JPN,1993,0.12442421432088124
JPN,1994,0.12535925330844488
JPN,1995,0.12008860507248709
JPN,1996,0.11923856404261002
JPN,1997,0.1017664079817856
JPN,1998,0.12350585011028048
JPN,1999,0.16454695346414738
JPN,2000,0.1781937434240778
JPN,2001,0.18481352586437583
JPN,2002,0.19572058965973682
JPN,2003,0.21461914722455055
MEX,1993,0.1611438389754415
MEX,1994,0.1525840960056899
MEX,1995,0.14224458974191934
MEX,1996,0.15319945270629476
MEX,1997,0.16427893100198998
MEX,1998,0.1702071182773518
MEX,1999,0.2140785582995356
MEX,2000,0.24458740118015487
MEX,2001,0.20231089183559714
MEX,2002,0.2104917640481161
MEX,2003,0.20315381450107106
NLD,1993,-0.2328041981836444
NLD,1994,-0.19607576412553174
NLD,1995,-0.20097879713625433
NLD,1996,-0.17858334782470486
