iso,year,EHB_dev
AUS,1993,0.0563579225182711
AUS,1994,0.05332958296341772
AUS,1995,0.051120469869953
AUS,1996,0.07142589000300315
AUS,1997,0.13593080075989128
AUS,1998,0.42470807425086515
AUS,1999,0.31412265565815156
AUS,2000,0.1336792177022681
AUS,2001,0.14771565760807392
AUS,2002,0.14526035125981518
AUS,2003,0.16561750791532515
AUT,1993,0.029899165293471697
AUT,1994,-0.003076911792063597
AUT,1995,-0.02345557839078838
AUT,1996,-0.035352915820752395
AUT,1997,-0.09194793333912454
AUT,1998,-3.547013132604431
AUT,1999,-0.14850725534364284
AUT,2000,-0.49909146307394636
AUT,2001,-0.42898933868651845
AUT,2002,-0.3174277765971498
AUT,2003,-0.25485056333303313
BEL,1993,-0.29098900299311614
BEL,1994,-0.2769112454767786
BEL,1995,-0.23753602916575978
BEL,1996,-0.19207939800026963
BEL,1997,-0.08257836167653965
BEL,1998,0.25523766327696534
BEL,1999,0.03638263624718652
BEL,2000,-0.12185184363746471
BEL,2001,-0.10219545538993025
BEL,2002,-0.16098519000984146
BEL,2003,-0.16327475636193878
CAN,1993,0.05460930420183385
CAN,1994,0.04385105303890535
CAN,1995,0.04401000974843838
CAN,1996,0.05112644092961627
CAN,1997,0.12409773621549014
CAN,1998,0.4096162595554987
CAN,1999,0.3048753555608399
CAN,2000,0.01963476686255694
CAN,2001,0.001342855068248272
CAN,2002,0.11787896235696427
CAN,2003,0.06077925744736312
DNK,1993,-0.007736924294369563
DNK,1994,-0.009873958692562246
DNK,1995,-0.008918421202806281
DNK,1996,-0.03155382243113769
DNK,1997,0.025886972005878195
DNK,1998,0.25684831437722094
DNK,1999,0.0685748676120308
DNK,2000,-0.09208109647661278
DNK,2001,-0.11668969455098666
DNK,2002,-0.05969891236773994
DNK,2003,-0.025946141787277277
FIN,1993,0.15471071271932813
FIN,1994,0.15515494032276078
FIN,1995,0.12667595581915836
FIN,1996,0.10550410309174973
FIN,1997,0.13084421256862522
FIN,1998,0.3144513316068827
FRA,1993,0.03831897327783218
FRA,1994,0.03403712235012479
FRA,1995,0.03843921727142252
FRA,1996,0.03484595884029573
FRA,1997,0.07973450345999256
FRA,1999,0.300024515936144
FRA,2000,0.11540768210119412
FRA,2001,0.10395082538396394
FRA,2002,0.07689847434188113
FRA,2003,0.0459032421334683
DEU,1993,-0.08561740776866089
DEU,1994,-0.10549990891645222
DEU,1995,-0.09571046290914564
DEU,1996,-0.08742095968632002
DEU,1997,-0.024429479904022555
DEU,1998,0.2218051779389157
DEU,1999,0.12592254915539813
DEU,2000,-0.08120082610629042
DEU,2001,-0.07963653809167037
DEU,2002,-0.1643700173777337
DEU,2003,-0.1207187831092118
GRC,1993,NA
GRC,1994,NA
GRC,1995,NA
GRC,1996,NA
GRC,1997,NA
GRC,1998,NA
GRC,1999,NA
GRC,2000,NA
GRC,2001,0.2915007968875031
GRC,2002,0.2887205199298234
GRC,2003,0.29485861335619545
ISL,1993,NA
ISL,1994,NA
ISL,1995,NA
ISL,1996,NA
ISL,1997,NA
ISL,1998,NA
ISL,1999,NA
ISL,2000,NA
ISL,2001,NA
ISL,2002,NA
ISL,2003,NA
IRL,1993,NA
IRL,1994,NA
IRL,1995,NA
IRL,1996,NA
IRL,1997,-1.302956903999854
IRL,1998,-2.382441388741721
IRL,1999,-3.956761858682849
ITA,1993,-0.05169841959922217
ITA,1994,-0.018970094371240198
ITA,1995,-0.04407583533198356
ITA,1996,-0.05943594902555038
ITA,1997,-0.013251102078972066
ITA,1999,0.17285487987514925
ITA,2000,-0.03889893316175885
ITA,2001,-0.080627830166765
ITA,2002,-0.11758363532245719
ITA,2003,-0.12512046580725444
JPN,1993,0.1228505740422775
JPN,1994,0.12552119603434297
JPN,1995,0.12132310919831801
JPN,1996,0.12109924382264958
JPN,1997,0.17151164984873457
JPN,1998,0.45291999018506673
JPN,1999,0.38061374893922595
JPN,2000,0.20446171516481182
JPN,2001,0.20626299279870175
JPN,2002,0.21159197848959443
JPN,2003,0.22736167539120222
MEX,1993,0.15957019869683775
MEX,1994,0.15274603873158799
MEX,1995,0.14347909386775026
MEX,1996,0.15506013248633432
MEX,1997,0.23402417286893895
MEX,1998,0.49962125835213805
MEX,1999,0.43014535377461416
MEX,2000,0.2708553729208889
MEX,2001,0.22376035876992306
MEX,2002,0.2263631528779736
MEX,2003,0.21589634266772273
NLD,1993,-0.23437783846224813
NLD,1994,-0.19591382139963365
NLD,1995,-0.1997442930104234
NLD,1996,-0.1767226680446653
NLD,1997,-0.08374619406307049
NLD,1998,0.1724311520016351
NLD,1999,0.025400217649751533
NLD,2000,-0.1702081718713716
NLD,2001,-0.2038538342882389
NLD,2002,-0.28976489249066106
NLD,2003,-0.35509340177753923
NZL,1993,0.1432966299231091
NZL,1994,0.13078049265204672
NZL,1995,0.12903523736406775
NZL,1996,0.05459956564193302
NZL,1997,0.10969366689062565
NZL,1998,0.3549672743193037
NZL,1999,0.2893169651061458
NZL,2000,-0.013979552140769735
NZL,2001,-0.1375751522159444
NZL,2002,-0.11292379900995386
NZL,2003,-0.08524142868501805
NOR,1993,-0.051459284239355974
NOR,1994,-3.685489278559828e-4
NOR,1995,0.002294027756835515
NOR,1996,-0.0010365597659115489
NOR,1997,0.053400082120009684
NOR,1998,0.12850513392337354
NOR,1999,0.048553481953880095
NOR,2000,-0.16120945058826552
NOR,2001,-0.11471002137937247
NOR,2002,-0.20176734696747112
NOR,2003,-0.17020832239213113
PRT,1993,NA
PRT,1994,NA
PRT,1995,NA
PRT,1996,NA
PRT,1997,0.1073128697904121
PRT,1998,0.4320090942847992
PRT,1999,0.3114014316408805
PRT,2000,0.12591877312552902
PRT,2001,0.09400150344015801
PRT,2002,0.04109453040920752
PRT,2003,-0.0332541603049048
ESP,1993,0.11234234683768762
ESP,1994,0.11899015234314514
ESP,1995,0.1217544825120962
ESP,1996,0.13410381142788397
ESP,1997,0.1757236786172196
ESP,1998,0.44655034158488144
ESP,1999,0.2713195061915227
ESP,2000,0.10603769337005797
ESP,2001,0.1592851203245239
ESP,2002,0.19277179414524115
ESP,2003,0.2075710787830216
SWE,1993,0.009593732080791506
SWE,1994,-0.009584940523925556
SWE,1995,-0.018938257923706736
SWE,1996,-0.00310035796829522
SWE,1997,0.04143502745087857
SWE,1998,0.27059187748053987
SWE,1999,0.14506268667431443
SWE,2000,-0.024561530502603013
SWE,2001,-0.07907421134868453
SWE,2002,-0.1081588021291141
SWE,2003,-0.07871168632324355
CHE,1993,-0.23961355012250884
CHE,1994,-0.23823858620117266
CHE,1995,-0.18784299827280848
CHE,1996,-0.20590739872020725
CHE,1997,-0.08300330382242604
CHE,1998,0.17683439547699847
CHE,1999,0.03950324120419679
CHE,2000,-0.0985794446474848
CHE,2001,-0.22956332232631826
CHE,2002,-0.10345050764091057
CHE,2003,-0.14534902703204433
TUR,1993,0.15300712198046562
TUR,1994,0.13902275607990888
TUR,1995,0.13254831272549283
TUR,1996,0.15227093500796285
TUR,1997,0.24123660105816302
TUR,1998,0.5092723747257746
TUR,1999,0.4475033299937543
TUR,2000,0.2828555485941382
TUR,2001,0.29482217806380695
TUR,2002,0.3000396233553624
TUR,2003,0.3178692167411129
GBR,1993,-0.08175736229328834
GBR,1994,-0.0847461399185705
GBR,1995,-0.08492167640480108
GBR,1996,-0.070885501689682
GBR,1997,0.007354931368302342
GBR,1998,0.29065171815968777
GBR,1999,0.16907354073607894
GBR,2000,-0.025202201608086394
GBR,2001,-0.03000346824740352
GBR,2002,-0.052315377830380205
GBR,2003,-0.05149288237208105
USA,1993,0.008693108200863997
USA,1994,-0.010249178295985595
USA,1995,-0.009536363521309488
USA,1996,-0.016540550098637863
USA,1997,0.0437263738608481
USA,1998,0.3124330898456053
USA,1999,0.22461815011722652
USA,2000,0.06801374397320892
USA,2001,0.08027657834692892
USA,2002,0.08782687057755101
USA,2003,0.07340468485026663
