"","year","variable","value"
"1",1970,"ehb_crude",-2.3293175542843
"2",1971,"ehb_crude",-2.32068209546773
"3",1972,"ehb_crude",-2.27550032816966
"4",1973,"ehb_crude",-2.34436152659149
"5",1974,"ehb_crude",-2.32439664447712
"6",1975,"ehb_crude",-2.322203982594
"7",1976,"ehb_crude",-2.22080760723384
"8",1977,"ehb_crude",-2.14679082887826
"9",1978,"ehb_crude",-2.07212301421927
"10",1979,"ehb_crude",-1.97877735231142
"11",1980,"ehb_crude",-1.96868966867968
"12",1981,"ehb_crude",-1.95654761867316
"13",1982,"ehb_crude",-1.87422569450983
"14",1983,"ehb_crude",-1.7684427521446
"15",1984,"ehb_crude",-1.73147162426198
"16",1985,"ehb_crude",-1.59756038379441
"17",1986,"ehb_crude",-1.54737317898306
"18",1987,"ehb_crude",-1.49721514418566
"19",1988,"ehb_crude",-1.51989145903616
"20",1989,"ehb_crude",-1.52471891039389
"21",1990,"ehb_crude",-1.50366308612872
"22",1991,"ehb_crude",-1.45473572981331
"23",1992,"ehb_crude",-1.40576020001193
"24",1993,"ehb_crude",-1.33033698114531
"25",1994,"ehb_crude",-1.31641203640969
"26",1995,"ehb_crude",-1.32467558111941
"27",1996,"ehb_crude",-1.31661787986788
"28",1997,"ehb_crude",-1.21031007637468
"29",1998,"ehb_crude",-1.09676032292521
"30",1999,"ehb_crude",-0.95733877504093
"31",2000,"ehb_crude",-0.893464544390391
"32",2001,"ehb_crude",-0.879375637863256
"33",2002,"ehb_crude",-0.813827367075374
"34",2003,"ehb_crude",-0.764696671383905
"35",2004,"ehb_crude",-0.691997217393553
"36",2005,"ehb_crude",-0.698383243596203
"37",2006,"ehb_crude",-0.538692315482412
"38",2007,"ehb_crude",-0.470977366048905
"39",2008,"ehb_crude",-0.65427700592358
"40",2009,"ehb_crude",-0.44663990093461
"41",2010,"ehb_crude",-0.457294347335314
"42",2011,"ehb_crude",-0.538411360456391
"43",2012,"ehb_crude",-0.444428095829551
"44",2013,"ehb_crude",-0.385918436467905
"45",2014,"ehb_crude",-0.379357036611539
"46",2015,"ehb_crude",-0.350686717491476
"47",2016,"ehb_crude",-0.29986539954908
"48",2017,"ehb_crude",-0.220214566189959
"49",2018,"ehb_crude",-0.238512817939565
"50",2019,"ehb_crude",-0.125488572158254
"51",2020,"ehb_crude",0.0358703095990054
"52",2021,"ehb_crude",-0.0507156165960072
"53",2022,"ehb_crude",-0.119243024541584
"54",2023,"ehb_crude",-0.0809353021595009
"55",2024,"ehb_crude",-0.0625591984667972
