"","year","variable","value"
"1",1970,"ehb_crude",-2.3293175542843
"2",1971,"ehb_crude",-2.32068209546773
"3",1972,"ehb_crude",-2.27550032816966
"4",1973,"ehb_crude",-2.34436152659149
"5",1974,"ehb_crude",-2.32439664447712
"6",1975,"ehb_crude",-2.322203982594
"7",1976,"ehb_crude",-2.22080760723384
"8",1977,"ehb_crude",-2.14679082887826
"9",1978,"ehb_crude",-2.07212301421927
"10",1979,"ehb_crude",-1.97877735231142
"11",1980,"ehb_crude",-1.96868966867968
"12",1981,"ehb_crude",-1.95654761867316
"13",1982,"ehb_crude",-1.87422569450983
"14",1983,"ehb_crude",-1.7684427521446
"15",1984,"ehb_crude",-1.73147162426198
"16",1985,"ehb_crude",-1.59756038379441
"17",1986,"ehb_crude",-1.54737317898306
"18",1987,"ehb_crude",-1.49721514418566
"19",1988,"ehb_crude",-1.51989145903616
"20",1989,"ehb_crude",-1.52471891039389
"21",1990,"ehb_crude",-1.50366308612872
"22",1991,"ehb_crude",-1.45473572981331
"23",1992,"ehb_crude",-1.40576020001193
"24",1993,"ehb_crude",-1.33033698114531
"25",1994,"ehb_crude",-1.31641203640969
"26",1995,"ehb_crude",-1.32467558111941
"27",1996,"ehb_crude",-1.31661787986788
"28",1997,"ehb_crude",-1.21031007637468
"29",1999,"ehb_crude",-0.95733877504093
"30",2000,"ehb_crude",-0.893464544390391
"31",2001,"ehb_crude",-0.879375637863256
"32",2002,"ehb_crude",-0.813827367075374
"33",2003,"ehb_crude",-0.764696671383905
"34",2004,"ehb_crude",-0.691997217393553
"35",2005,"ehb_crude",-0.698383243596203
"36",2006,"ehb_crude",-0.538692315482412
"37",2007,"ehb_crude",-0.470977366048905
"38",2008,"ehb_crude",-0.65427700592358
"39",2009,"ehb_crude",-0.44663990093461
"40",2010,"ehb_crude",-0.457294347335314
"41",2011,"ehb_crude",-0.538411360456391
"42",2012,"ehb_crude",-0.444428095829551
"43",2013,"ehb_crude",-0.385918436467905
"44",2014,"ehb_crude",-0.379357036611539
"45",2015,"ehb_crude",-0.350686717491476
"46",2016,"ehb_crude",-0.29986539954908
"47",2017,"ehb_crude",-0.220214566189959
"48",2018,"ehb_crude",-0.238512817939565
"49",2019,"ehb_crude",-0.125488572158254
"50",2020,"ehb_crude",0.0358703095990054
"51",2021,"ehb_crude",-0.0507156165960072
"52",2022,"ehb_crude",-0.119243024541584
"53",2023,"ehb_crude",-0.0809353021595009
"54",2024,"ehb_crude",-0.0625591984667972
"55",1998,"ehb_crude",-1.09676032292521
