REF_AREA,TIME_PERIOD,measure,OBS_VALUE,Population,OBS_VALUE_per_capita
AUS,1992,GDP,628301.926,17478635,0.03594685317245883
AUS,1993,GDP,653301.082,17634808,0.0370461125519484
AUS,1994,GDP,678715.617,17805468,0.038118381218623404
AUS,1995,GDP,704952.555,18004882,0.039153411558042986
AUS,1996,GDP,732572.301,18224767,0.04019652492676587
AUS,1997,GDP,766833.343,18423037,0.04162361194845345
AUS,1998,GDP,805391.414,18607584,0.04328296537583815
AUS,1999,GDP,836931.004,18812264,0.04448858489334404
AUS,2000,GDP,853932.913,19028802,0.04487581052133497
AUS,2001,GDP,887661.601,19274701,0.046053196934157374
AUS,2002,GDP,915101.707,19495210,0.04693982301293498
AUS,2003,GDP,953709.313,19720737,0.048360733830586554
AUS,2004,GDP,983803.431,19932722,0.04935620087412045
AUS,2005,GDP,1011063.898,20176844,0.05011011127409223
AUS,2006,GDP,1049377.873,20450966,0.05131189758958085
AUS,2007,GDP,1087407.17,20827622,0.0522098571790865
AUS,2008,GDP,1108664.33,21249199,0.052174405727011174
AUS,2009,GDP,1133166.344,21691653,0.05223974143418208
AUS,2010,GDP,1160302.674,22031750,0.05266502542921012
AUS,2011,GDP,1206163.305,22340024,0.053991137386423575
AUS,2012,GDP,1238180.343,22733465,0.054465095532071336
AUS,2013,GDP,1270387.764,23128129,0.05492825485364596
AUS,2014,GDP,1297883.374,23475686,0.055286281048400464
AUS,2015,GDP,1333648.376,23815995,0.05599801209229343
AUS,2016,GDP,1364233.071,24190907,0.056394457264458915
AUS,2017,GDP,1403443.454,24592588,0.05706774146746979
AUS,2018,GDP,1434235.243,24963258,0.0574538484920518
AUS,2019,GDP,1432320.081,25334826,0.056535619427581625
AUS,2020,GDP,1461066.007,25649248,0.05696330773518194
AUS,2021,GDP,1523205.81,25685412,0.059302370154701044
AUS,2022,GDP,1577794.78,26014399,0.0606508257215552
AUS,2023,GDP,1599464.335,26652777,0.06001117013060215
AUS,2024,GDP,1621063.467,27204809,0.05958738644333066
AUS,1992,GNI,529772.747,17478635,0.030309732253119306
AUS,1993,GNI,550607.461,17634808,0.03122276471623621
AUS,1994,GNI,568504.537,17805468,0.031928648940875916
AUS,1995,GNI,593555.459,18004882,0.03296636206779917
AUS,1996,GNI,621488.359,18224767,0.0341013061511294
AUS,1997,GNI,651102.337,18423037,0.035341748323037075
AUS,1998,GNI,677625.13,18607584,0.03641661002309596
AUS,1999,GNI,711785.74,18812264,0.03783626149409768
AUS,2000,GNI,729409.322,19028802,0.03833185725512305
AUS,2001,GNI,761259.566,19274701,0.03949527237802548
AUS,2002,GNI,787509.004,19495210,0.04039499979738612
AUS,2003,GNI,834923.913,19720737,0.042337358537868026
AUS,2004,GNI,867943.626,19932722,0.04354365781050877
AUS,2005,GNI,907619.821,20176844,0.044983240243122266
AUS,2006,GNI,950392.978,20450966,0.04647178905876622
AUS,2007,GNI,1001150.971,20827622,0.0480684242781053
AUS,2008,GNI,1042006.48,21249199,0.04903744748213803
AUS,2009,GNI,1053526.203,21691653,0.04856827660851849
AUS,2010,GNI,1119355.939,22031750,0.050806492403009294
AUS,2011,GNI,1176629.456,22340024,0.05266912228921509
AUS,2012,GNI,1189623.987,22733465,0.05232919781476339
AUS,2013,GNI,1209408.801,23128129,0.05229168347340159
AUS,2014,GNI,1214676.136,23475686,0.05174188034377355
AUS,2015,GNI,1217855.391,23815995,0.05113602816090615
AUS,2016,GNI,1275988.57,24190907,0.05274661962860674
AUS,2017,GNI,1312062.46,24592588,0.053351947342833536
AUS,2018,GNI,1355913.553,24963258,0.05431636980237115
AUS,2019,GNI,1371584.827,25334826,0.05413831644235489
AUS,2020,GNI,1441763.518,25649248,0.05621075198773858
AUS,2021,GNI,1508847.43,25685412,0.0587433610175301
AUS,2022,GNI,1555419.389,26014399,0.059790710098664976
AUS,2023,GNI,1562589.333,26652777,0.05862763692503787
AUS,2024,GNI,1579262.117,27204809,0.05805084376809998
AUS,1992,NNI,436076.896,17478635,0.024949139106114408
AUS,1993,NNI,453159.099,17634808,0.02569685470916383
AUS,1994,NNI,468696.764,17805468,0.026323192628242068
AUS,1995,NNI,491918.001,18004882,0.02732136767127938
AUS,1996,NNI,518062.478,18224767,0.02842628813855343
AUS,1997,NNI,541189.547,18423037,0.029375696688879255
AUS,1998,NNI,562710.024,18607584,0.030240896615057602
AUS,1999,NNI,592023.766,18812264,0.03147009663483353
AUS,2000,NNI,604174.679,19028802,0.031750536844095595
AUS,2001,NNI,631757.602,19274701,0.03277651891980062
AUS,2002,NNI,654465.493,19495210,0.033570579285886123
AUS,2003,NNI,696029.074,19720737,0.035294272927020934
AUS,2004,NNI,720972.258,19932722,0.03617028612549756
AUS,2005,NNI,753134.431,20176844,0.03732667165390187
AUS,2006,NNI,787792.941,20450966,0.03852106257474586
AUS,2007,NNI,831928.554,20827622,0.039943520868585
AUS,2008,NNI,865758.997,21249199,0.04074313563537148
AUS,2009,NNI,872254.525,21691653,0.04021152860042524
AUS,2010,NNI,933234.346,22031750,0.04235861182157568
AUS,2011,NNI,985518.252,22340024,0.04411446702116345
AUS,2012,NNI,991634.913,22733465,0.043620051452781174
AUS,2013,NNI,1002029.231,23128129,0.043325131531391926
AUS,2014,NNI,996534.485,23475686,0.04244964279212118
AUS,2015,NNI,991130.813,23815995,0.04161618328354536
AUS,2016,NNI,1045039.202,24190907,0.04319967010744988
AUS,2017,NNI,1074800.662,24592588,0.04370425194778199
AUS,2018,NNI,1113681.62,24963258,0.04461283138603143
AUS,2019,NNI,1123395.541,25334826,0.04434194815468636
AUS,2020,NNI,1187951.684,25649248,0.04631526366776913
AUS,2021,NNI,1239014.304,25685412,0.04823805450346679
AUS,2022,NNI,1273950.929,26014399,0.048970992141698144
AUS,2023,NNI,1274773.961,26652777,0.04782893583659218
AUS,2024,NNI,1285490.46,27204809,0.04725232439602866
AUS,1992,consumption,442755.377,17478635,0.025331233073978603
AUS,1993,consumption,451126.43,17634808,0.025581590114278532
AUS,1994,consumption,470921.659,17805468,0.02644814834409295
AUS,1995,consumption,487820.696,18004882,0.02709380133677077
AUS,1996,consumption,500914.32,18224767,0.02748536208995155
AUS,1997,consumption,525278.854,18423037,0.028512066387317143
AUS,1998,consumption,553627.714,18607584,0.029752799396203185
AUS,1999,consumption,575539.979,18812264,0.030593871051352462
AUS,2000,consumption,592649.07,19028802,0.03114484401067392
AUS,2001,consumption,610559.912,19274701,0.0316767514058973
