iso,year,gdp_const2000,cons_const2000,pop_thousands,ppp_gdp,ppp_actual_individual_consumption
AUS,1992,489718.0,393730.0,17587.0,1.31,1.3
AUS,1993,508800.0,401337.0,17766.0,1.31,1.3
AUS,1994,530222.0,419418.0,17961.0,1.31,1.3
AUS,1995,552848.0,435735.0,18195.0,1.31,1.3
AUS,1996,573801.0,446972.0,18420.0,1.31,1.3
AUS,1997,599393.0,467471.0,18625.0,1.31,1.3
AUS,1998,631221.0,489305.0,18836.0,1.31,1.3
AUS,1999,654955.0,507985.0,19046.0,1.31,1.3
AUS,2000,668426.0,521442.0,19282.0,1.31,1.3
AUS,2001,694359.0,536258.0,19529.0,1.31,1.3
AUS,2002,716641.0,557582.0,19757.0,1.31,1.3
AUS,2003,743681.0,584637.0,20007.0,1.31,1.3
AUT,1992,173419.0,135803.0,7840.7,0.914,0.877
AUT,1993,173997.0,136529.0,7905.6,0.914,0.877
AUT,1994,178627.0,140739.0,7936.1,0.914,0.877
AUT,1995,182038.0,142265.0,7948.3,0.914,0.877
AUT,1996,186806.0,146447.0,7959.0,0.914,0.877
AUT,1997,190242.0,147621.0,7968.0,0.914,0.877
AUT,1998,197017.0,150260.0,7976.8,0.914,0.877
AUT,1999,203560.0,153609.0,7992.3,0.914,0.877
AUT,2000,210392.0,158155.0,8011.6,0.914,0.877
AUT,2001,211901.0,158817.0,8031.6,0.914,0.877
AUT,2002,214372.0,159095.0,8053.1,0.914,0.877
AUT,2003,215996.0,160036.0,8098.0,0.914,0.877
BEL,1992,206888.0,161431.0,10047.0,0.921,0.897
BEL,1993,204898.0,160835.0,10086.0,0.921,0.897
BEL,1994,211510.0,164222.0,10116.0,0.921,0.897
BEL,1995,216554.0,166778.0,10137.0,0.921,0.897
BEL,1996,219100.0,169280.0,10155.0,0.921,0.897
BEL,1997,226686.0,171781.0,10180.0,0.921,0.897
BEL,1998,231289.0,176150.0,10203.0,0.921,0.897
BEL,1999,238671.0,180799.0,10222.0,0.921,0.897
BEL,2000,247924.0,186541.0,10246.0,0.921,0.897
BEL,2001,249706.0,188841.0,10281.0,0.921,0.897
BEL,2002,251963.0,190468.0,10330.0,0.921,0.897
BEL,2003,255135.0,194877.0,10374.0,0.921,0.897
CAN,1992,785316.0,647344.0,28366.7,1.23,1.21
CAN,1993,803732.0,655543.0,28681.7,1.23,1.21
CAN,1994,842393.0,667071.0,28999.0,1.23,1.21
CAN,1995,865837.0,675652.0,29302.1,1.23,1.21
CAN,1996,879778.0,685828.0,29610.8,1.23,1.21
CAN,1997,917122.0,707601.0,29907.2,1.23,1.21
CAN,1998,954550.0,727977.0,30157.1,1.23,1.21
CAN,1999,1008100.0,752622.0,30403.9,1.23,1.21
CAN,2000,1061042.0,781236.0,30689.0,1.23,1.21
CAN,2001,1079923.0,804231.0,31021.3,1.23,1.21
CAN,2002,1116950.0,830047.0,31361.6,1.23,1.21
CAN,2003,1139279.0,857276.0,31629.7,1.23,1.21
CHE,1992,371401.0,268335.0,6943.0,1.9,1.91
CHE,1993,370549.0,266664.0,6989.0,1.9,1.91
CHE,1994,374501.0,269729.0,7037.0,1.9,1.91
CHE,1995,375921.0,271672.0,7081.0,1.9,1.91
CHE,1996,377883.0,274436.0,7105.0,1.9,1.91
CHE,1997,385091.0,277834.0,7113.0,1.9,1.91
CHE,1998,395847.0,283011.0,7132.0,1.9,1.91
CHE,1999,401047.0,288564.0,7167.0,1.9,1.91
CHE,2000,415529.0,295430.0,7209.0,1.9,1.91
CHE,2001,419856.0,302352.0,7285.0,1.9,1.91
CHE,2002,421222.0,304677.0,7343.0,1.9,1.91
CHE,2003,419737.0,306581.0,7405.0,1.9,1.91
DEU,1992,1802830.0,1408930.0,80594.0,0.981,0.929
DEU,1993,1783246.0,1410513.0,81179.0,0.981,0.929
