STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,SECTOR,Institutional sector,COUNTERPART_SECTOR,Counterpart institutional sector,TRANSACTION,Transaction,INSTR_ASSET,Financial instruments and non-financial assets,ACTIVITY,Economic activity,EXPENDITURE,Expenditure,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TRANSFORMATION,Transformation,TABLE_IDENTIFIER,Table identifier,TIME_PERIOD,Time period,OBS_VALUE,Observation value,REF_YEAR_PRICE,Price reference year,CONF_STATUS,Confidentiality status,DECIMALS,Decimals,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,CURRENCY,Currency
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE3_POP_EMPNC(2.0),"Annual population and employment, national concept",I,A,Annual,AUS,Australia,S1,Total economy,S1,Total economy,POP,Total population,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,PS,Persons,_Z,Not applicable,N,Non transformed data,T0110,Table 0110 - Population and employment,1988,,16532.2,,,,F,Free (free for publication),2,Two,A,Normal value,3,Thousands,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE3_POP_EMPNC(2.0),"Annual population and employment, national concept",I,A,Annual,CAN,Canada,S1,Total economy,S1,Total economy,POP,Total population,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,PS,Persons,_Z,Not applicable,N,Non transformed data,T0110,Table 0110 - Population and employment,1988,,26791.747,,,,F,Free (free for publication),2,Two,A,Normal value,3,Thousands,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE3_POP_EMPNC(2.0),"Annual population and employment, national concept",I,A,Annual,CHL,Chile,S1,Total economy,S1,Total economy,POP,Total population,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,PS,Persons,_Z,Not applicable,N,Non transformed data,T0110,Table 0110 - Population and employment,1988,,12748.135,,,,F,Free (free for publication),2,Two,A,Normal value,3,Thousands,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE3_POP_EMPNC(2.0),"Annual population and employment, national concept",I,A,Annual,CRI,Costa Rica,S1,Total economy,S1,Total economy,POP,Total population,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,PS,Persons,_Z,Not applicable,N,Non transformed data,T0110,Table 0110 - Population and employment,1988,,2876.683,,,,F,Free (free for publication),2,Two,A,Normal value,3,Thousands,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE3_POP_EMPNC(2.0),"Annual population and employment, national concept",I,A,Annual,DNK,Denmark,S1,Total economy,S1,Total economy,POP,Total population,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,PS,Persons,_Z,Not applicable,N,Non transformed data,T0110,Table 0110 - Population and employment,1988,,5129.775,,,,F,Free (free for publication),2,Two,A,Normal value,3,Thousands,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE3_POP_EMPNC(2.0),"Annual population and employment, national concept",I,A,Annual,FIN,Finland,S1,Total economy,S1,Total economy,POP,Total population,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,PS,Persons,_Z,Not applicable,N,Non transformed data,T0110,Table 0110 - Population and employment,1988,,4946.5,,,,F,Free (free for publication),2,Two,A,Normal value,3,Thousands,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE3_POP_EMPNC(2.0),"Annual population and employment, national concept",I,A,Annual,DEU,Germany,S1,Total economy,S1,Total economy,POP,Total population,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,PS,Persons,_Z,Not applicable,N,Non transformed data,T0110,Table 0110 - Population and employment,1988,,78115,,,,F,Free (free for publication),2,Two,A,Normal value,3,Thousands,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE3_POP_EMPNC(2.0),"Annual population and employment, national concept",I,A,Annual,ISL,Iceland,S1,Total economy,S1,Total economy,POP,Total population,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,PS,Persons,_Z,Not applicable,N,Non transformed data,T0110,Table 0110 - Population and employment,1988,,249.885,,,,F,Free (free for publication),2,Two,A,Normal value,3,Thousands,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE3_POP_EMPNC(2.0),"Annual population and employment, national concept",I,A,Annual,ITA,Italy,S1,Total economy,S1,Total economy,POP,Total population,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,PS,Persons,_Z,Not applicable,N,Non transformed data,T0110,Table 0110 - Population and employment,1988,,56629.3,,,,F,Free (free for publication),2,Two,A,Normal value,3,Thousands,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE3_POP_EMPNC(2.0),"Annual population and employment, national concept",I,A,Annual,KOR,Korea,S1,Total economy,S1,Total economy,POP,Total population,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,PS,Persons,_Z,Not applicable,N,Non transformed data,T0110,Table 0110 - Population and employment,1988,,42031,,,,F,Free (free for publication),2,Two,A,Normal value,3,Thousands,_Z,Not applicable
