iso,country,year,gdp_nc,cons_nc,gni_nc,gni_approx,gdp_a3,acons_a4,gdp_b3,acons_b4,xr_c1,ppp_gdp_c2,ppp_cons_c3,pop_c4
AUS,Australia,1992,489718.0,393730.0,467551.0,0,283.9,201.8,372.8,267.3,1.3617,1.35,1.33,17587.0
AUS,Australia,1993,508800.0,401337.0,482910.0,0,295.0,206.6,387.4,273.6,1.4706,1.34,1.32,17766.0
AUS,Australia,1994,530222.0,419418.0,501254.0,0,307.4,216.8,403.7,287.1,1.3678,1.32,1.31,17961.0
AUS,Australia,1995,552848.0,435735.0,525446.0,0,320.5,225.1,420.9,298.1,1.349,1.31,1.31,18195.0
AUS,Australia,1996,573801.0,446972.0,550497.0,0,332.7,231.6,436.8,306.7,1.2779,1.32,1.3,18420.0
AUS,Australia,1997,599393.0,467471.0,577561.0,0,347.5,242.6,456.3,321.3,1.3474,1.32,1.3,18625.0
AUS,Australia,1998,631221.0,489305.0,602831.0,0,366.0,254.8,480.6,337.5,1.5918,1.31,1.3,18836.0
AUS,Australia,1999,654955.0,507985.0,632204.0,0,379.7,265.1,498.6,351.1,1.55,1.3,1.3,19046.0
AUS,Australia,2000,668426.0,521442.0,649724.0,0,387.5,272.7,508.9,361.2,1.7248,1.31,1.3,19282.0
AUS,Australia,2001,694359.0,536258.0,677721.0,0,402.6,281.1,528.6,372.3,1.9334,1.33,1.31,19529.0
AUS,Australia,2002,716641.0,557582.0,701121.0,0,415.5,292.8,545.6,387.8,1.8406,1.34,1.31,19757.0
AUS,Australia,2003,743681.0,584637.0,738087.0,0,431.2,308.5,566.2,408.5,1.5419,1.35,1.3,20007.0
AUT,Austria,1992,173419.0,135803.0,172597.0,0,159.8,112.7,189.7,139.5,0.7986,0.939,0.935,7841.0
AUT,Austria,1993,173997.0,136529.0,172907.0,0,160.3,113.3,190.4,140.1,0.8453,0.943,0.946,7906.0
AUT,Austria,1994,178627.0,140739.0,177278.0,0,164.6,116.9,195.4,144.6,0.8301,0.948,0.951,7936.0
AUT,Austria,1995,182038.0,142265.0,179978.0,0,167.7,117.4,199.2,145.3,0.7327,0.947,0.951,7948.0
AUT,Austria,1996,186806.0,146447.0,185497.0,0,172.1,120.9,204.4,149.6,0.7694,0.938,0.941,7959.0
AUT,Austria,1997,190242.0,147621.0,187427.0,0,175.3,122.5,208.1,151.5,0.8869,0.937,0.935,7968.0
AUT,Austria,1998,197017.0,150260.0,194111.0,0,181.5,124.8,215.6,154.3,0.8996,0.94,0.937,7977.0
AUT,Austria,1999,203560.0,153609.0,200048.0,0,187.5,127.2,222.7,157.3,0.9386,0.931,0.917,7992.0
