"","iso","country","year","gdp_usd_ppp","gni_usd_ppp","cons_usd_ppp","gdp_b3_adj","acons_b4_adj","pop_c4_adj","d_log_gdp_ppp","d_log_gni_ppp","d_log_cons_ppp","d_log_acons_b4","d_log_gdp_b3","agg_d_log_gdp_ppp","agg_d_log_gni_ppp","agg_d_log_cons_ppp","agg_d_log_acons_b4","agg_d_log_gdp_b3","dev_gdp_ppp","dev_gni_ppp","dev_cons_ppp","dev_acons_b4","dev_gdp_b3"
"1","AUS","Australia",1992,373830534351.145,356909160305.344,302869230769.231,3.728e+11,2.673e+11,17587000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","AUT","Austria",1992,189736323851.203,188836980306.346,154849486887.115,1.897e+11,1.395e+11,7841000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","BEL","Belgium",1992,224634093376.764,229597176981.542,179967670011.148,2.246e+11,1.609e+11,10047000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","CAN","Canada",1992,638468292682.927,615566666666.667,534995041322.314,6.367e+11,4.69e+11,28367000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","CHE","Switzerland",1992,195474210526.316,198914210526.316,140489528795.812,1.958e+11,1.292e+11,6943000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","DEU","Germany",1992,1837747196738.02,1856918450560.65,1516609257265.88,1.8374e+12,1.3436e+12,80594000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","DNK","Denmark",1992,122923305588.585,116978478002.378,97065110565.1106,1.23e+11,8.62e+10,5171000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","ESP","Spain",1992,653148247978.437,649204417479.918,540008450704.225,6.531e+11,4.88e+11,39011000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","FIN","Finland",1992,99402451481.1032,95178753830.4392,76146221786.0648,9.94e+10,6.72e+10,5042000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","FRA","France",1992,1322267759562.84,1322069945355.19,1102230681818.18,1.3223e+12,9.645e+11,58754000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
