"iso","country","year","gdp_b3_adj","acons_b4_adj","pop_c4_adj","gdp_usd_ppp","cons_usd_ppp","gni_usd_ppp"
"AUS","Australia",1992,3.728e+11,2.673e+11,17587000,373830534351.145,302869230769.231,356909160305.344
"AUS","Australia",1993,3.874e+11,2.736e+11,17766000,388396946564.885,308720769230.769,368633587786.26
"AUS","Australia",1994,4.037e+11,2.871e+11,17961000,404749618320.611,322629230769.231,382636641221.374
"AUS","Australia",1995,4.209e+11,2.981e+11,18195000,422021374045.802,335180769230.769,401103816793.893
"AUS","Australia",1996,4.368e+11,3.067e+11,18420000,438016030534.351,343824615384.615,420226717557.252
"AUS","Australia",1997,4.563e+11,3.213e+11,18625000,457551908396.947,359593076923.077,440886259541.985
"AUS","Australia",1998,4.806e+11,3.375e+11,18836000,481848091603.053,376388461538.461,460176335877.863
"AUS","Australia",1999,4.986e+11,3.511e+11,19046000,499965648854.962,390757692307.692,482598473282.443
"AUS","Australia",2000,5.089e+11,3.612e+11,19282000,510248854961.832,401109230769.231,495972519083.97
"AUS","Australia",2001,5.286e+11,3.723e+11,19529000,530045038167.939,412506153846.154,517344274809.16
"AUS","Australia",2002,5.456e+11,3.878e+11,19757000,547054198473.282,428909230769.231,535206870229.008
"AUS","Australia",2003,5.662e+11,4.085e+11,20007000,567695419847.328,449720769230.769,563425190839.695
"AUT","Austria",1992,1.897e+11,1.395e+11,7841000,189736323851.203,154849486887.115,188836980306.346
"AUT","Austria",1993,1.904e+11,1.401e+11,7906000,190368708971.554,155677309007.982,189176148796.499
"AUT","Austria",1994,1.954e+11,1.446e+11,7936000,195434354485.777,160477765108.324,193958424507.659
"AUT","Austria",1995,1.992e+11,1.453e+11,7948000,199166301969.365,162217787913.341,196912472647.702
"AUT","Austria",1996,2.044e+11,1.496e+11,7959000,204382932166.302,166986316989.738,202950765864.333
"AUT","Austria",1997,2.081e+11,1.515e+11,7968000,208142231947.484,168324971493.729,205062363238.512
"AUT","Austria",1998,2.156e+11,1.543e+11,7977000,215554704595.186,171334093500.57,212375273522.976
"AUT","Austria",1999,2.227e+11,1.573e+11,7992000,222713347921.225,175152793614.595,218870897155.361
"AUT","Austria",2000,2.302e+11,1.627e+11,8012000,230188183807.44,180336374002.28,225761487964.989
"AUT","Austria",2001,2.318e+11,1.636e+11,8032000,231839168490.153,181091220068.415,227362144420.131
"AUT","Austria",2002,2.345e+11,1.64e+11,8053000,234542669584.245,181408209806.157,234198030634.573
"AUT","Austria",2003,2.363e+11,1.65e+11,8098000,236319474835.886,182481185860.889,237324945295.405
"BEL","Belgium",1992,2.246e+11,1.609e+11,10047000,224634093376.764,179967670011.148,229597176981.542
"BEL","Belgium",1993,2.224e+11,1.602e+11,10086000,222473398479.913,179303232998.885,232019543973.941
"BEL","Belgium",1994,2.296e+11,1.641e+11,10116000,229652551574.376,183079152731.327,240877307274.701
"BEL","Belgium",1995,2.35e+11,1.667e+11,10137000,235129207383.279,185928651059.086,245953311617.807
"BEL","Belgium",1996,2.378e+11,1.693e+11,10155000,237893593919.653,188717948717.949,247346362649.294
"BEL","Belgium",1997,2.46e+11,1.718e+11,10180000,246130293159.609,191506131549.61,254643865363.735
"BEL","Belgium",1998,2.51e+11,1.765e+11,10203000,251128121606.949,196376811594.203,262369163952.226
"BEL","Belgium",1999,2.591e+11,1.807e+11,10222000,259143322475.57,201559643255.295,269116178067.318
"BEL","Belgium",2000,2.691e+11,1.861e+11,10246000,269190010857.763,207960981047.938,274259500542.888
"BEL","Belgium",2001,2.71e+11,1.884e+11,10281000,271124864277.959,210525083612.04,276155266015.201
"BEL","Belgium",2002,2.735e+11,1.893e+11,10330000,273575461454.94,212338907469.342,282528773072.747
"BEL","Belgium",2003,2.769e+11,1.939e+11,10374000,277019543973.941,217254180602.007,284352877307.275
"CAN","Canada",1992,6.367e+11,4.69e+11,28367000,638468292682.927,534995041322.314,615566666666.667
"CAN","Canada",1993,6.516e+11,4.774e+11,28682000,653440650406.504,541771074380.165,631236585365.854
"CAN","Canada",1994,6.829e+11,4.917e+11,28999000,684872357723.577,551298347107.438,660458536585.366
"CAN","Canada",1995,7.019e+11,4.994e+11,29302000,703932520325.203,558390082644.628,679413008130.081
"CAN","Canada",1996,7.132e+11,5.087e+11,29611000,715266666666.667,5.668e+11,691017886178.862
"CAN","Canada",1997,7.435e+11,5.253e+11,29907000,745627642276.423,584794214876.033,722421138211.382
"CAN","Canada",1998,7.739e+11,5.393e+11,30157000,776056910569.106,601633884297.521,751143902439.024
"CAN","Canada",1999,8.173e+11,5.581e+11,30404000,819593495934.959,622001652892.562,792404065040.65
"CAN","Canada",2000,8.602e+11,5.795e+11,30689000,862635772357.724,645649586776.86,840396747967.48
"CAN","Canada",2001,8.755e+11,5.955e+11,31021000,877986178861.789,664653719008.265,853521138211.382
"CAN","Canada",2002,9.055e+11,6.15e+11,31362000,908089430894.309,685989256198.347,887701626016.26
"CAN","Canada",2003,9.236e+11,6.342e+11,31630000,926243089430.894,708492561983.471,908564227642.276
"CHE","Switzerland",1992,1.958e+11,1.292e+11,6943000,195474210526.316,140489528795.812,198914210526.316
