"iso","year","Population","GDP","consumption","GDP_pc","consumption_pc","gdp_log_diff","consumption_log_diff","gdp_log_diff_total","cons_log_diff_total","gdp_dev","cons_dev","EHB_dev","ehb_crude_dev","eq_ehb_crude_dev","debt_ehb_crude_dev","fdi_ehb_crude_dev","eq_debt_ehb_crude_dev","time"
"AUT",1987,7574586,258641212790.023,194741991929.022,34145.9206866254,25709.9189221723,0.0230027302147651,0.0210834626208118,0.0270059171813415,0.0346797376065364,-0.00400318696657642,-0.0135962749857246,-0.0478790972603175,0.989013751333164,0.172175912344889,1.20190754170753,-0.417038705245973,1.14255697422934,-15
"AUT",1988,7585317,266146331740.683,198402883088.875,35087.0414170803,26156.175554545,0.0271887458334046,0.0172084537828248,0.0471614115641792,0.0354054233052086,-0.0199726657307746,-0.0181969695223838,-0.0494907006691168,0.865756846453706,0.252528886567846,1.08394777031789,-0.473522225025945,1.02016546312538,-14
"AUT",1989,7619566,277560224443.526,205105312027.614,36427.3010357186,26918.240753819,0.03748665005803,0.0287188302393826,0.0364993749121751,0.0310890679030678,0.000987275145854838,-0.00237023766368516,0.0122035347288612,0.990053365635346,0.124980599151645,1.18515773898309,0.0524104192285848,1.11895473018991,-13
"AUT",1990,7677850,288886640376.506,212675123646.43,37625.9812807629,27699.8279005751,0.032376281315063,0.0286220484555528,0.0354779248774442,0.0300066187352375,-0.00310164356238118,-0.00138457027968464,0.00164457656208883,0.90496982318042,0.324954063841616,1.07950899801038,0.342888175954585,1.03058368056839,-12
"AUT",1991,7754891,299709414227.092,219718587122.279,38647.7919840642,28332.904630417,0.0267948416359935,0.0225976368182099,0.0163772228894885,0.0187143606804501,0.010417618746505,0.00388327613775985,-0.0223369396750718,0.842294789248406,0.256637366266519,1.01782115417803,0.553394914586167,0.953715680223478,-11
"AUT",1992,7840709,304390339513.008,226271140435.441,38821.7876104072,28858.5050708349,0.0044919804606085,0.0183809156401509,0.00790765873402677,0.017467785096887,-0.00341567827341827,0.000913130543263918,-0.0374506150293897,0.724488834265733,0.38654550904961,0.905294156688647,0.52703871032404,0.843799039471961,-10
"AUT",1993,7905632,303411114328.736,227809283421.987,38379.1092639697,28816.0748466393,-0.0114683434056175,-0.00147136682785387,-0.0156622260867731,-0.0078655866190811,0.00419388268115561,0.00639421979122723,-0.0238984284869587,0.695158843822715,0.262013056228422,0.870367293194191,0.592889308261821,0.792786996760521,-9
"AUT",1994,7936118,309406417942.052,231741390068.115,38987.1241760836,29200.8498447371,0.0157181603153944,0.0132644272936613,0.0157456573635333,0.00902705454753239,-2.74970481388692e-05,0.0042373727461289,-0.0603776723991796,0.741030427312989,0.572644847013447,0.919748638697244,0.577619794968806,0.849036185028346,-8
"AUT",1995,7948278,316327052864.144,234997217306.534,39798.186835456,29565.8024677212,0.0205899120673863,0.0124205582720567,0.0201854778542341,0.0124038277418812,0.000404434213152172,1.67305301754794e-05,-0.0850398295668908,0.743349789747324,0.614283312254474,0.931381734370838,0.543339662618044,0.854955866126125,-7
"AUT",1996,7959016,320477543403.82,240150550175.765,40265.9755180566,30173.3970852384,0.0116854780440701,0.0203422735562953,0.00878124176077222,0.012972414990978,0.00290423628329783,0.00736985856531724,-0.107030512752929,0.757137069090268,0.656688016644318,0.953241769328448,0.56054493437991,0.873168262671836,-6
"AUT",1997,7968041,327214139422.784,242609174039.915,41065.8202465053,30447.7818374573,0.0196693189397266,0.00905250049110329,0.0203033290702379,0.014016072019631,-0.000634010130511342,-0.00496357152852767,-0.230198455958123,0.824075054255692,1.24970928309725,0.972167973336717,0.747401505356704,0.919694536364291,-5
"AUT",1999,7992323,348633047508.445,255016694316.926,43620.9907317866,31907.7062221992,0.0315003896270163,0.0242348079431451,0.0266077438832628,0.0306474373764782,0.00489264574375348,-0.0064126294333331,-0.425831879937032,0.911798221146762,1.53261901820652,1.0707861751846,0.661317692202358,1.02126844060044,-3
"AUT",2000,8011566,356316610815.344,259741103722.193,44475.276221321,32420.7656433453,0.0193949709395156,0.0159515774380736,0.0274538245065052,0.0270630010367388,-0.00805885356698965,-0.0111114235986651,-0.611640092970277,1.11085225121787,2.23322147982047,1.21578936999137,0.845832733509452,1.22131428216117,-2
"AUT",2001,8042293,358502688155.455,261623458223.303,44577.1732210521,32530.9533267817,0.00228847257632125,0.0033929137177271,0.0178565361426219,0.0155973048152482,-0.0155680635663007,-0.0122043910975211,-0.558729203225776,1.12943138367698,1.85282778188024,1.28310666991321,0.880992611980516,1.24216053350201,-1
"AUT",2002,8080292,361300755266.916,260931462362.572,44713.8241126578,32292.3308170759,0.00306080125366925,-0.00736228010344497,0.00676783528112779,0.00816514376511357,-0.00370703402745853,-0.0155274238685585,-0.446727577875979,1.22583192735423,1.87615320418276,1.37969615636954,1.03502777606655,1.33037805562861,0
