iso,year,Population,consumption,GDP,GNI,NNI,consumption_pc,GDP_pc,GNI_pc,NNI_pc,gdp_log_diff,consumption_log_diff,gdp_log_diff_total,consumption_log_diff_total,gdp_dev,consumption_dev,EHB_dev,ehb_crude_dev,time,resid_stage1
AUS,1993,17634808,451126.43,653301.082,550607.461,453159.099,0.025581590114278532,0.0370461125519484,0.03122276471623621,0.02569685470916383,0.030121874977886876,0.009834813415192212,7.506699939936468e-4,4.024419786907707e-4,0.02937120498389323,0.009432371436501441,0.0563579225182711,0.756982985996284,-5,-0.00987132927363425
AUS,1994,17805468,470921.659,678715.617,568504.537,468696.764,0.02644814834409295,0.03811838121862341,0.031928648940875916,0.026323192628242068,0.028533190612413772,0.033313193337297875,0.02192266706654955,0.016872771348837468,0.006610523545864222,0.016440421988460407,0.05332958296341772,0.5729438954671293,-4,0.009823715240622567
AUS,1995,18004882,487820.696,704952.555,593555.459,491918.001,0.02709380133677077,0.039153411558042986,0.03296636206779917,0.02732136767127938,0.026790946855335562,0.02411881880241884,0.013371735050302203,0.00923424394204897,0.01341921180503336,0.01488457486036987,0.051120469869953,0.539101393439418,-3,0.004385876218118225
AUS,1996,18224767,500914.32,732572.301,621488.359,518062.478,0.02748536208995155,0.04019652492676587,0.0341013061511294,0.02842628813855343,0.026292987949574798,0.014348606557250232,0.02098947950889274,0.01611839226672851,0.005303508440682059,-0.0017697857094782776,0.07142589000300315,0.33372506852958495,-2,-0.0077231367563774115
AUS,1997,18423037,525278.854,766833.343,651102.337,541189.547,0.028512066387317143,0.04162361194845345,0.035341748323037075,0.029375696688879255,0.03488705388028679,0.036673804365814355,0.026335157855756908,0.018975927724345087,0.008551896024529881,0.017697876641469268,0.13593080075989128,0.06394199449920457,-1,0.009700141423272685
AUS,1998,18607584,553627.714,805391.414,677625.13,562710.024,0.029752799396203185,0.04328296537583815,0.03641661002309596,0.0302408966150576,0.03909154710780083,0.0425958452312698,0.023230864628554837,0.0263528230874015,0.01586068247924599,0.016243022143868302,0.4247080742508651,-0.020036149637486123,0,0.0026933270246166205
AUS,1999,18812264,575539.979,836931.004,711785.74,592023.766,0.030593871051352466,0.04448858489334404,0.03783626149409768,0.03147009663483353,0.027473488746109886,0.027876471541535608,0.025309875083651345,0.029891484046359107,0.002163613662458541,-0.002015012504823499,0.31412265565815156,-0.006942953143087571,1,-0.006318600583655604
AUS,2000,19028802,592649.07,853932.913,729409.322,604174.679,0.03114484401067392,0.04487581052133497,0.03833185725512305,0.031750536844095595,0.008666271387291147,0.01784901374895176,0.03087750969983727,0.028969714362745425,-0.022211238312546122,-0.011120700613793666,0.1336792177022681,-0.0647511811723489,2,-4.89927108132476e-4
AUS,2001,19274701,610559.912,887661.601,761259.566,631757.602,0.0316767514058973,0.046053196934157374,0.03949527237802548,0.03277651891980062,0.02589827499828168,0.016934307475846122,0.0061081024849212184,0.015292912361159594,0.01979017251336046,0.001641395114686528,0.14771565760807392,-0.009571538222777898,3,-0.013471573273194162
AUS,2002,19495210,634468.309,915101.707,787509.004,654465.493,0.03254483070456794,0.04693982301293498,0.04039499979738612,0.033570579285886123,0.019069236519754895,0.027035527440755214,0.004057365313375083,0.012811404001128235,0.015011871206379812,0.014224123439626979,0.14526035125981518,0.07907138071574304,4,0.002001090470081301
