"iso","year","Population","GDP","GNI","GDP_pc","GNI_pc","gdp_log_diff","GNI_log_diff","gdp_log_diff_total","gni_log_diff_total","gdp_dev","gni_dev","EHB_dev","ehb_crude_dev","eq_ehb_crude_dev","debt_ehb_crude_dev","fdi_ehb_crude_dev","eq_debt_ehb_crude_dev","time"
"AUS",1979,14515729,4116826374.90719,4074132682.00174,283.611410416052,280.670208296238,0.0272185852475966,0.0289594603316159,0.0213511408666314,0.0192587753371782,0.0058674443809652,0.00970068499443766,0.0679355121542392,-0.682172108776926,-0.928269188806388,-1.48248239578263,1.24204180124281,-1.47279770991698,-18
"AUS",1980,14695356,4230856432.4396,4217075321.77102,287.904317012776,286.966530227034,0.0150231643021614,0.0221852454137688,-0.0143713718427758,-0.0146897262343799,0.0293945361449373,0.0368749716481487,0.0787514803682686,-0.694636639391884,-0.92885344220052,-1.4924165965299,1.33527490452946,-1.47386417591579,-17
"AUS",1981,14923260,4460248013.10247,4375761243.82268,298.87893215708,293.217517072187,0.0374103898792439,0.0215491231349345,0.00392451438861485,0.00205227691936916,0.0334858754906291,0.0194968462155654,0.0541027298309739,-0.829664681279516,-0.984317720886921,-1.76473425897406,1.17594990373258,-1.74003376173321,-16
"AUS",1982,15184247,4314248935.52204,4281565920.67479,284.126630416512,281.974201333447,-0.0506185616854271,-0.0390991305560098,-0.00950349762972369,-0.00750064242438686,-0.0411150640557034,-0.0315984881316229,0.0619037413481585,-0.835502778475571,-0.303008202876241,-1.82167172491927,1.27151185743786,-1.73134766238761,-15
"AUS",1983,15393472,4421941608.92239,4368553641.32456,287.260834262887,283.792612954671,0.0109706126740354,0.006428153213899,0.0202666548371102,0.0151644196104073,-0.00929604216307478,-0.00873626639650826,0.0602372158128247,-0.898321192981765,-0.0349481944608705,-1.89481440473239,1.41211052344202,-1.72014318329266,-14
"AUS",1984,15579391,4687819726.49217,4622787055.79635,300.898778809272,296.724503274637,0.0463832919595903,0.0445603745813026,0.033466951615627,0.0358213371428482,0.0129163403439634,0.00873903743845439,0.0458782739452792,-0.868428949327289,0.0978820205660069,-1.73827405538928,1.35122243605741,-1.56754004776211,-13
"AUS",1985,15788312,4865363936.73655,4778542975.97449,308.162388527447,302.663323094609,0.02385295434512,0.0198169329127467,0.0256004088749631,0.0250839146695823,-0.00174745452984304,-0.0052669817568356,0.0298997983938789,-0.548465438919637,0.615324363301793,-1.47322584869438,1.45162345851334,-1.19066737672019,-12
"AUS",1986,16018350,4897436537.1245,4808358074.04756,305.739138995246,300.178112854792,-0.00789462807740371,-0.0082450348315124,0.028439137789543,0.0255760684131019,-0.0363337658669467,-0.0338211032446143,0.0475531029948495,-0.264322210968129,1.13135075876635,-1.38830526940614,1.71443073735683,-0.903365226922316,-11
"AUS",1987,16263874,5114837714.96244,5019936050.86642,314.49073664506,308.655616175237,0.0282223700428652,0.0278501366126269,0.0271658063998403,0.030585903684095,0.00105656364302487,-0.00273576707146805,0.0586915269315127,-0.0970185950781011,1.05476567064901,-1.2082368555691,1.86621683680581,-0.825945960033314,-10
"AUS",1988,16532164,5412993111.07209,5265689098.21373,327.421934059697,318.511786975603,0.0402950358994962,0.0314333374911069,0.037673542427684,0.0419184681371103,0.00262149347181229,-0.0104851306460034,0.0241966076470326,0.0630153297363316,1.22815901261174,-0.978626806443476,1.94726405689692,-0.59727306931244,-9
"AUS",1989,16814416,5531783739.82694,5339323897.54094,328.990536443665,317.544415312488,0.00477932836527639,-0.00304178280320055,0.029873416077348,0.0259109193799247,-0.0250940877120716,-0.0289527021831253,0.0002445366939412,0.0281784117429609,0.968874472179157,-1.02651836950335,1.6594025600395,-0.561858259451232,-8
"AUS",1990,17065128,5289335311.04955,5077072074.88501,309.94993480562,297.511514410264,-0.0596182019332128,-0.0651647711601848,0.0156173379728966,0.014462022118396,-0.0752355399061093,-0.0796267932785808,-0.0256293628276535,0.00192839753815854,0.987747883303206,-0.9528431479085,1.79676637506745,-0.577958959918062,-7
"AUS",1991,17284036,5224860256.6868,5023680795.17247,302.293992947411,290.654381602333,-0.0250107533845965,-0.0233180589186688,0.0003541422942126,-0.000701929248921651,-0.0253648956788091,-0.0226161296697471,-0.0308875983942709,0.0060839034496416,1.21092083579064,-0.90011649680361,1.67991416896586,-0.462663699149755,-6
"AUS",1992,17478635,5428434151.83375,5284159305.19595,310.575405449782,302.321051111597,0.0270266931550225,0.0393546666350337,0.00923198100799816,0.00846168213681064,0.0177947121470243,0.0308929844982231,-0.0352788266725287,0.0266960551613549,1.53669303032745,-0.913096418118571,1.81397348523871,-0.45803985243194,-5
"AUS",1993,17634808,5603968231.65016,5480924284.13893,317.778806077739,310.801471960394,0.0229288388014579,0.0276648186664596,-0.00145181244744208,-0.0019248527288056,0.0243806512489,0.0295896713952652,-0.0320286875207326,0.143399160753927,1.5636949432456,-0.834617137049552,1.86937001289265,-0.350211327749302,-4
"AUS",1994,17805468,5840471491.88773,5639641665.01439,328.015612501044,316.736502798713,0.0317056439584791,0.0189158522464234,0.0208846981019448,0.0208625071264645,0.0108209458565343,-0.00194665488004109,-0.0391361538559715,0.114276950828624,1.58066253963556,-0.897164866136696,1.81408615370832,-0.421570448010313,-3
"AUS",1995,18004882,5955200987.43082,5745066485.71781,330.754791252218,319.083817695545,0.00831608257358774,0.00738361290243184,0.0185402070840777,0.0171462987601352,-0.0102241245104899,-0.00976268585770335,-0.045749242274728,0.198886221298125,1.73649730774935,-0.775177189755927,1.77191154830945,-0.298092618697098,-2
"AUS",1996,18224767,6107355385.64649,5902664286.22065,335.112947432825,323.881467797127,0.0130903426029993,0.014923789055743,0.0162009184302532,0.0191439177495552,-0.00311057582725383,-0.00422012869381216,-0.0330428418400678,0.272932755190745,1.71016767848438,-0.651885845886674,1.83724740877744,-0.216435765450039,-1
"AUS",1997,18423037,6451270116.27569,6248371734.66892,350.174084559223,339.160787370124,0.0439627837672569,0.0460966852389548,0.0196573004483573,0.0229557821538515,0.0243054833188996,0.0231409030851033,-0.0346578180158259,0.231845440576395,1.66050967718872,-0.65229394863625,1.73015637516077,-0.251823038935821,0
"AUS",1998,18607584,6750216366.79606,6540086533.1769,362.766943134372,351.474244758315,0.0353301828587824,0.0356621422227059,0.0162726214220008,0.0186707358073166,0.0190575614367816,0.0169914064153893,-0.00439199109854649,0.317926870454974,1.64962394626058,-0.573259001375922,1.74883582915753,-0.169591759238441,1
