iso,year,time,gdp_usd_ppp,gni_usd_ppp,cons_usd_ppp,pop_c4_adj,gdp_pc,gni_pc,cons_pc,d_log_gdp,d_log_gni,d_log_cons,agg_d_log_gdp_gni,agg_d_log_gni,n_agg_gni,dev_gdp_gni,dev_gni,time_gdp_gni,ehb_gdp_gni,agg_d_log_gdp_cons,agg_d_log_cons,n_agg_cons,dev_gdp_cons,dev_cons,time_gdp_cons,ehb_gdp_cons,EHB_dev
AUS,1993,-5,388396946564.885,368633587786.26,308720769230.769,17766000,21861.811694522403,20749.385781057077,17377.055568544914,0,0,0,0,0,22,0,0,-0,0,0,0,22,0,0,-0,0,0.0563579225182711
AUS,1994,-4,404749618320.611,382636641221.374,322629230769.231,17961000,22534.915557074273,21303.749302453874,17962.765479050777,0,0,0,0,0,22,0,0,-0,0,0,0,22,0,0,-0,0,0.05332958296341772
AUS,1995,-3,422021374045.802,401103816793.893,335180769230.769,18195000,23194.35966176433,22044.72749622935,18421.586657365704,0,0,0,0,0,22,0,0,-0,0,0,0,22,0,0,-0,0,0.051120469869953
AUS,1996,-2,438016030534.351,420226717557.252,343824615384.615,18420000,23779.371907402336,22813.611159459935,18665.83145410505,0,0,0,0,0,22,0,0,-0,0,0,0,22,0,0,-0,0,0.07142589000300315
AUS,1997,-1,457551908396.947,440886259541.985,359593076923.077,18625000,24566.545417285746,23671.745478764293,19307.01084150749,0,0,0,0,0,22,0,0,-0,0,0,0,22,0,0,-0,0,0.07388523390275537
AUS,1998,0,481848091603.053,460176335877.863,376388461538.461,18836000,25581.23230001343,24430.682516344394,19982.398680105172,0,0,0,0,0,22,0,0,0,0,0,0,22,0,0,0,0,0.0952939341760789
AUS,1999,1,499965648854.962,482598473282.443,390757692307.692,19046000,26250.42785125286,25338.573626086476,20516.522750587632,0,0,0,0,0,22,0,0,0,0,0,0,22,0,0,0,0,0.11628456272400912
AUS,2000,2,510248854961.832,495972519083.97,401109230769.231,19282000,26462.444505851672,25722.04745793849,20802.26277197547,0,0,0,0,0,22,0,0,0,0,0,0,22,0,0,0,0,0.1336792177022681
AUS,2001,3,530045038167.939,517344274809.16,412506153846.154,19529000,27141.43264723944,26491.078642488606,21122.748417540784,0,0,0,0,0,22,0,0,0,0,0,0,22,0,0,0,0,0.14771565760807392
AUS,2002,4,547054198473.282,535206870229.008,428909230769.231,19757000,27689.132888256416,27089.48070197945,21709.22866676272,0,0,0,0,0,22,0,0,0,0,0,0,22,0,0,0,0,0.14526035125981518
AUS,2003,5,567695419847.328,563425190839.695,449720769230.769,20007000,28374.839798436948,28161.403050916928,22478.17110165287,0,0,0,0,0,20,0,0,0,0,0,0,22,0,0,0,0,0.16561750791532515
AUT,1993,-5,190368708971.554,189176148796.499,155677309007.982,7906000,24079.017072040726,23928.174651720085,19691.03326688363,0,0,0,0,0,22,0,0,-0,0,0,0,22,0,0,-0,0,0.02989916529347169
AUT,1994,-4,195434354485.777,193958424507.659,160477765108.324,7936000,24626.30474871182,24440.325668807836,20221.492579173893,0,0,0,0,0,22,0,0,-0,-0,0,0,22,0,0,-0,-0,-0.00307691179206359
AUT,1995,-3,199166301969.365,196912472647.702,162217787913.341,7948000,25058.66909529001,24775.09721284625,20409.88775960506,0,0,0,0,0,22,0,0,-0,-0,0,0,22,0,0,-0,-0,-0.02345557839078838
AUT,1996,-2,204382932166.302,202950765864.333,166986316989.738,7959000,25679.47382413645,25499.53082853788,20980.816307292123,0,0,0,0,0,22,0,0,-0,-0,0,0,22,0,0,-0,-0,-0.03535291582075239
AUT,1997,-1,208142231947.484,205062363238.512,168324971493.729,7968000,26122.268065698296,25735.73835824699,21125.12192441378,0,0,0,0,0,22,0,0,-0,-0,0,0,22,0,0,-0,-0,-0.15399350019626046
AUT,1998,0,215554704595.186,212375273522.976,171334093500.57,7977000,27022.02640029911,26623.451613761565,21478.512410752162,0,0,0,0,0,22,0,0,0,NA,0,0,22,0,0,0,NA,NA
AUT,1999,1,222713347921.225,218870897155.361,175152793614.595,7992000,27867.035525678806,27386.248392812937,21916.015217041415,0,0,0,0,0,22,0,0,0,-0,0,0,22,0,0,0,-0,-0.3463453482777853
AUT,2000,2,230188183807.44,225761487964.989,180336374002.28,8012000,28730.427334927608,28177.919116948204,22508.2843237993,0,0,0,0,0,22,0,0,0,-0,0,0,22,0,0,0,-0,-0.4990914630739464
AUT,2001,3,231839168490.153,227362144420.131,181091220068.415,8032000,28864.43830803698,28307.0398929446,22546.21763799988,0,0,0,0,0,22,0,0,0,-0,0,0,22,0,0,0,-0,-0.4289893386865185
AUT,2002,4,234542669584.245,234198030634.573,181408209806.157,8053000,29124.88135902707,29082.08501609003,22526.78626675239,0,0,0,0,0,22,0,0,0,-0,0,0,22,0,0,0,-0,-0.3174277765971498
AUT,2003,5,236319474835.886,237324945295.405,182481185860.889,8098000,29182.449349948874,29306.612162929734,22534.105440959374,0,0,0,0,0,20,0,0,0,-0,0,0,22,0,0,0,-0,-0.25485056333303313
BEL,1993,-5,222473398479.913,232019543973.941,179303232998.885,10086000,22057.644108656852,23004.118974215846,17777.437338775035,0,0,0,0,0,22,0,0,-0,-0,0,0,22,0,0,-0,-0,-0.29098900299311614
BEL,1994,-4,229652551574.376,240877307274.701,183079152731.327,10116000,22701.912967020166,23811.517128776293,18097.97871998092,0,0,0,0,0,22,0,0,-0,-0,0,0,22,0,0,-0,-0,-0.2769112454767786
BEL,1995,-3,235129207383.279,245953311617.807,185928651059.086,10137000,23195.14722139479,24262.929034014698,18341.58538611877,0,0,0,0,0,22,0,0,-0,-0,0,0,22,0,0,-0,-0,-0.23753602916575975
BEL,1996,-2,237893593919.653,247346362649.294,188717948717.949,10155000,23426.25247854781,24357.101196385425,18583.746796449926,0,0,0,0,0,22,0,0,-0,-0,0,0,22,0,0,-0,-0,-0.19207939800026963
BEL,1997,-1,246130293159.609,254643865363.735,191506131549.61,10180000,24177.82840467672,25014.132157537817,18811.997205266205,0,0,0,0,0,22,0,0,-0,-0,0,0,22,0,0,-0,-0,-0.14462392853367556
BEL,1998,0,251128121606.949,262369163952.226,196376811594.203,10203000,24613.164912961776,25714.903847125945,19246.967714809663,0,0,0,0,0,22,0,0,0,-0,0,0,22,0,0,0,-0,-0.07417647679782091
BEL,1999,1,259143322475.57,269116178067.318,201559643255.295,10222000,25351.52831887791,26327.15496647603,19718.219844971143,0,0,0,0,0,22,0,0,0,-0,0,0,22,0,0,0,-0,-0.16145545668695593
BEL,2000,2,269190010857.763,274259500542.888,207960981047.938,10246000,26272.69284186639,26767.47028527113,20296.796901028498,0,0,0,0,0,22,0,0,0,-0,0,0,22,0,0,0,-0,-0.12185184363746472
BEL,2001,3,271124864277.959,276155266015.201,210525083612.04,10281000,26371.448718797685,26860.739812780954,20477.101800606946,0,0,0,0,0,22,0,0,0,-0,0,0,22,0,0,0,-0,-0.10219545538993025
BEL,2002,4,273575461454.94,282528773072.747,212338907469.342,10330000,26483.58774975218,27350.316851185577,20555.557354244145,0,0,0,0,0,22,0,0,0,-0,0,0,22,0,0,0,-0,-0.16098519000984146
BEL,2003,5,277019543973.941,284352877307.275,217254180602.007,10374000,26703.252744740792,27410.14818847841,20942.180509158185,0,0,0,0,0,20,0,0,0,-0,0,0,22,0,0,0,-0,-0.16327475636193878
CAN,1993,-5,653440650406.504,631236585365.854,541771074380.165,28682000,22782.255435691513,22008.10910556635,18888.8876082618,0,0,0,0,0,22,0,0,-0,0,0,0,22,0,0,-0,0,0.05460930420183385
CAN,1994,-4,684872357723.577,660458536585.366,551298347107.438,28999000,23617.10258021232,22775.217648379807,19010.943381062727,0,0,0,0,0,22,0,0,-0,0,0,0,22,0,0,-0,0,0.04385105303890535
CAN,1995,-3,703932520325.203,679413008130.081,558390082644.628,29302000,24023.360873838064,23186.57457272818,19056.38122464774,0,0,0,0,0,22,0,0,-0,0,0,0,22,0,0,-0,0,0.04401000974843838
CAN,1996,-2,715266666666.667,691017886178.862,566800000000,29611000,24155.437731473674,23336.5264995732,19141.535240282326,0,0,0,0,0,22,0,0,-0,0,0,0,22,0,0,-0,0,0.05112644092961627
CAN,1997,-1,745627642276.423,722421138211.382,584794214876.033,29907000,24931.542524372988,24155.586926518274,19553.7571430111,0,0,0,0,0,22,0,0,-0,0,0,0,22,0,0,-0,0,0.06205216935835422
CAN,1998,0,776056910569.106,751143902439.024,601633884297.521,30157000,25733.889663066817,24907.779369268297,19950.05750895384,0,0,0,0,0,22,0,0,0,0,0,0,22,0,0,0,0,0.08020211948071243
CAN,1999,1,819593495934.959,792404065040.65,622001652892.562,30404000,26956.765423462668,26062.493916611304,20457.88885977378,0,0,0,0,0,22,0,0,0,0,0,0,22,0,0,0,0,0.10703726262669744
