Series Name,Series Code,Country Name,Country Code,2015 [YR2015]
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Austria,AUT,0.901296423367096
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Belgium,BEL,0.901296423367096
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Bulgaria,BGR,1.7644
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Croatia,HRV,6.85830375
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Cyprus,CYP,0.901296423367096
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Czechia,CZE,24.59875
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Denmark,DNK,6.72790683129629
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Estonia,EST,0.901296423367096
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Finland,FIN,0.901296423367096
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,France,FRA,0.901296423367096
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Germany,DEU,0.901296423367096
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Greece,GRC,0.901296423367096
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Hungary,HUN,279.3325
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Ireland,IRL,0.901296423367096
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Italy,ITA,0.901296423367096
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Latvia,LVA,0.901296423367096
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Lithuania,LTU,0.901296423367096
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Luxembourg,LUX,0.901296423367096
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Malta,MLT,0.901296423367096
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Netherlands,NLD,0.901296423367096
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Poland,POL,3.7695
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Portugal,PRT,0.901296423367096
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Romania,ROU,4.00566666666666
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Slovenia,SVN,0.901296423367096
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Slovak Republic,SVK,0.901296423367096
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Spain,ESP,0.901296423367096
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Sweden,SWE,8.43484083333333
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 04/08/2026,,,,
